Dataset: ArticularyWordRecognition
Arguments: Namespace(batch_size=8, dataset='ArticularyWordRecognition', epochs=1000, eval=True, gpu=0, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 2.460374, val loss = 0.906745, total loss = 1.650736, Epoch time: 1.80 seconds, remaining time: 29.89 minutes
Epoch #1: train loss = 1.570446, val loss = 0.538112, total loss = 1.032469, Epoch time: 1.24 seconds, remaining time: 25.26 minutes
Epoch #2: train loss = 1.389639, val loss = 0.401455, total loss = 0.874670, Epoch time: 1.17 seconds, remaining time: 23.31 minutes
Epoch #3: train loss = 1.196078, val loss = 0.328471, total loss = 0.743945, Epoch time: 1.14 seconds, remaining time: 22.18 minutes
Epoch #4: train loss = 1.219780, val loss = 0.381709, total loss = 0.783039, Epoch time: 1.14 seconds, remaining time: 21.49 minutes
Epoch #5: train loss = 1.112211, val loss = 0.293104, total loss = 0.685352, Epoch time: 1.12 seconds, remaining time: 21.00 minutes
Epoch #6: train loss = 1.070827, val loss = 0.266218, total loss = 0.651524, Epoch time: 1.09 seconds, remaining time: 20.55 minutes
Epoch #7: train loss = 0.960758, val loss = 0.206113, total loss = 0.567493, Epoch time: 1.09 seconds, remaining time: 20.21 minutes
Epoch #8: train loss = 0.908595, val loss = 0.170458, total loss = 0.523932, Epoch time: 1.12 seconds, remaining time: 20.00 minutes
Epoch #9: train loss = 0.874514, val loss = 0.171616, total loss = 0.508215, Epoch time: 1.13 seconds, remaining time: 19.85 minutes
Epoch #10: train loss = 0.880153, val loss = 0.168442, total loss = 0.509261, Epoch time: 1.12 seconds, remaining time: 18.72 minutes
Epoch #11: train loss = 0.854790, val loss = 0.166738, total loss = 0.496228, Epoch time: 1.12 seconds, remaining time: 18.51 minutes
Epoch #12: train loss = 0.797375, val loss = 0.153793, total loss = 0.461987, Epoch time: 1.12 seconds, remaining time: 18.41 minutes
Epoch #13: train loss = 0.763970, val loss = 0.159969, total loss = 0.449209, Epoch time: 1.13 seconds, remaining time: 18.38 minutes
Epoch #14: train loss = 0.736020, val loss = 0.149065, total loss = 0.430142, Epoch time: 1.12 seconds, remaining time: 18.34 minutes
Epoch #15: train loss = 0.740644, val loss = 0.152333, total loss = 0.434059, Epoch time: 1.11 seconds, remaining time: 18.30 minutes
Epoch #16: train loss = 0.803345, val loss = 0.130136, total loss = 0.452518, Epoch time: 1.09 seconds, remaining time: 18.30 minutes
Epoch #17: train loss = 0.714427, val loss = 0.134826, total loss = 0.412381, Epoch time: 1.10 seconds, remaining time: 18.30 minutes
Epoch #18: train loss = 0.705624, val loss = 0.128268, total loss = 0.404748, Epoch time: 1.10 seconds, remaining time: 18.26 minutes
Epoch #19: train loss = 0.700802, val loss = 0.149402, total loss = 0.413453, Epoch time: 1.12 seconds, remaining time: 18.21 minutes
Epoch #20: train loss = 0.680062, val loss = 0.137294, total loss = 0.397211, Epoch time: 1.11 seconds, remaining time: 18.18 minutes
Epoch #21: train loss = 0.691300, val loss = 0.110505, total loss = 0.388632, Epoch time: 1.11 seconds, remaining time: 18.14 minutes
Epoch #22: train loss = 0.640217, val loss = 0.137190, total loss = 0.378076, Epoch time: 1.13 seconds, remaining time: 18.13 minutes
Epoch #23: train loss = 0.638289, val loss = 0.086061, total loss = 0.350508, Epoch time: 1.15 seconds, remaining time: 18.15 minutes
Epoch #24: train loss = 0.753991, val loss = 0.171742, total loss = 0.450565, Epoch time: 1.17 seconds, remaining time: 18.21 minutes
Epoch #25: train loss = 0.723620, val loss = 0.112772, total loss = 0.405291, Epoch time: 1.12 seconds, remaining time: 18.21 minutes
Epoch #26: train loss = 0.632347, val loss = 0.097509, total loss = 0.353629, Epoch time: 1.14 seconds, remaining time: 18.27 minutes
Epoch #27: train loss = 0.686885, val loss = 0.135500, total loss = 0.399544, Epoch time: 1.11 seconds, remaining time: 18.26 minutes
Epoch #28: train loss = 0.612604, val loss = 0.131504, total loss = 0.361890, Epoch time: 1.14 seconds, remaining time: 18.30 minutes
Epoch #29: train loss = 0.577545, val loss = 0.086809, total loss = 0.321809, Epoch time: 1.15 seconds, remaining time: 18.33 minutes
Epoch #30: train loss = 0.564843, val loss = 0.084378, total loss = 0.314460, Epoch time: 1.15 seconds, remaining time: 18.37 minutes
Epoch #31: train loss = 0.565722, val loss = 0.078448, total loss = 0.311790, Epoch time: 1.15 seconds, remaining time: 18.41 minutes
Epoch #32: train loss = 0.702194, val loss = 0.130120, total loss = 0.404071, Epoch time: 1.10 seconds, remaining time: 18.34 minutes
Epoch #33: train loss = 0.656747, val loss = 0.111153, total loss = 0.372423, Epoch time: 1.13 seconds, remaining time: 18.28 minutes
Epoch #34: train loss = 0.613804, val loss = 0.104087, total loss = 0.348177, Epoch time: 1.12 seconds, remaining time: 18.19 minutes
Epoch #35: train loss = 0.560695, val loss = 0.086108, total loss = 0.313375, Epoch time: 1.14 seconds, remaining time: 18.19 minutes
Epoch #36: train loss = 0.586198, val loss = 0.088428, total loss = 0.326797, Epoch time: 1.14 seconds, remaining time: 18.16 minutes
