Dataset: AtrialFibrillation
Arguments: Namespace(batch_size=8, dataset='AtrialFibrillation', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 67.286110, val loss = 29.229715, total loss = 48.257913, Epoch time: 0.61 seconds, remaining time: 10.16 minutes
Epoch #1: train loss = 33.146484, val loss = 23.203632, total loss = 28.175058, Epoch time: 0.05 seconds, remaining time: 5.49 minutes
Epoch #2: train loss = 26.862898, val loss = 13.815167, total loss = 20.339033, Epoch time: 0.06 seconds, remaining time: 3.97 minutes
Epoch #3: train loss = 29.239996, val loss = 11.219120, total loss = 20.229558, Epoch time: 0.06 seconds, remaining time: 3.22 minutes
Epoch #4: train loss = 15.421999, val loss = 9.678975, total loss = 12.550487, Epoch time: 0.05 seconds, remaining time: 2.74 minutes
Epoch #5: train loss = 6.776708, val loss = 7.440254, total loss = 7.108481, Epoch time: 0.05 seconds, remaining time: 2.42 minutes
Epoch #6: train loss = 8.099053, val loss = 5.398803, total loss = 6.748928, Epoch time: 0.05 seconds, remaining time: 2.20 minutes
Epoch #7: train loss = 4.076652, val loss = 6.383701, total loss = 5.230176, Epoch time: 0.05 seconds, remaining time: 2.02 minutes
Epoch #8: train loss = 6.034717, val loss = 4.226631, total loss = 5.130674, Epoch time: 0.07 seconds, remaining time: 1.93 minutes
Epoch #9: train loss = 4.065711, val loss = 4.768297, total loss = 4.417004, Epoch time: 0.05 seconds, remaining time: 1.82 minutes
Epoch #10: train loss = 3.293538, val loss = 3.962099, total loss = 3.627819, Epoch time: 0.05 seconds, remaining time: 0.89 minutes
Epoch #11: train loss = 4.903934, val loss = 3.584020, total loss = 4.243977, Epoch time: 0.06 seconds, remaining time: 0.90 minutes
Epoch #12: train loss = 3.419289, val loss = 3.826777, total loss = 3.623033, Epoch time: 0.05 seconds, remaining time: 0.88 minutes
Epoch #13: train loss = 3.398544, val loss = 4.199368, total loss = 3.798956, Epoch time: 0.05 seconds, remaining time: 0.86 minutes
Epoch #14: train loss = 3.937982, val loss = 3.067865, total loss = 3.502923, Epoch time: 0.05 seconds, remaining time: 0.87 minutes
Epoch #15: train loss = 3.293532, val loss = 2.953251, total loss = 3.123392, Epoch time: 0.05 seconds, remaining time: 0.87 minutes
Epoch #16: train loss = 3.470680, val loss = 3.466654, total loss = 3.468667, Epoch time: 0.05 seconds, remaining time: 0.86 minutes
