Dataset: BasicMotions
Arguments: Namespace(batch_size=8, dataset='BasicMotions', epochs=1000, eval=True, gpu=0, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 14.147633, val loss = 3.438763, total loss = 8.793198, Epoch time: 0.96 seconds, remaining time: 16.01 minutes
Epoch #1: train loss = 4.169014, val loss = 2.073874, total loss = 3.121444, Epoch time: 0.58 seconds, remaining time: 9.62 minutes
Epoch #2: train loss = 3.208966, val loss = 1.669479, total loss = 2.439222, Epoch time: 0.46 seconds, remaining time: 7.65 minutes
Epoch #3: train loss = 2.876906, val loss = 1.591483, total loss = 2.234195, Epoch time: 0.42 seconds, remaining time: 6.92 minutes
Epoch #4: train loss = 2.470505, val loss = 1.511641, total loss = 1.991073, Epoch time: 0.39 seconds, remaining time: 6.44 minutes
Epoch #5: train loss = 2.500687, val loss = 1.510018, total loss = 2.005353, Epoch time: 0.37 seconds, remaining time: 6.09 minutes
Epoch #6: train loss = 2.153327, val loss = 1.510608, total loss = 1.831968, Epoch time: 0.35 seconds, remaining time: 5.83 minutes
Epoch #7: train loss = 2.425815, val loss = 1.520882, total loss = 1.973349, Epoch time: 0.34 seconds, remaining time: 5.67 minutes
Epoch #8: train loss = 2.413114, val loss = 1.520352, total loss = 1.966733, Epoch time: 0.33 seconds, remaining time: 5.51 minutes
Epoch #9: train loss = 2.294979, val loss = 1.562081, total loss = 1.928530, Epoch time: 0.33 seconds, remaining time: 5.40 minutes
Epoch #10: train loss = 2.282555, val loss = 1.557972, total loss = 1.920263, Epoch time: 0.32 seconds, remaining time: 5.32 minutes
Epoch #11: train loss = 2.310855, val loss = 1.556814, total loss = 1.933834, Epoch time: 0.32 seconds, remaining time: 5.27 minutes
Epoch #12: train loss = 2.199626, val loss = 1.535390, total loss = 1.867508, Epoch time: 0.32 seconds, remaining time: 5.19 minutes
Epoch #13: train loss = 2.019311, val loss = 1.489380, total loss = 1.754346, Epoch time: 0.31 seconds, remaining time: 5.11 minutes
