Dataset: Epilepsy
Arguments: Namespace(batch_size=8, dataset='Epilepsy', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 5.046694, val loss = 2.004680, total loss = 3.525687, Epoch time: 1.69 seconds, remaining time: 28.08 minutes
Epoch #1: train loss = 2.475000, val loss = 1.760636, total loss = 2.117818, Epoch time: 1.33 seconds, remaining time: 22.14 minutes
Epoch #2: train loss = 2.177588, val loss = 1.522996, total loss = 1.850292, Epoch time: 1.20 seconds, remaining time: 19.98 minutes
Epoch #3: train loss = 2.112463, val loss = 1.427020, total loss = 1.769741, Epoch time: 1.14 seconds, remaining time: 18.99 minutes
Epoch #4: train loss = 1.993763, val loss = 1.288353, total loss = 1.641058, Epoch time: 1.10 seconds, remaining time: 18.28 minutes
Epoch #5: train loss = 1.980836, val loss = 1.164560, total loss = 1.572698, Epoch time: 1.08 seconds, remaining time: 17.90 minutes
Epoch #6: train loss = 1.848134, val loss = 0.922285, total loss = 1.385210, Epoch time: 1.06 seconds, remaining time: 17.56 minutes
Epoch #7: train loss = 1.783764, val loss = 0.841717, total loss = 1.312741, Epoch time: 1.05 seconds, remaining time: 17.30 minutes
Epoch #8: train loss = 1.802081, val loss = 0.877395, total loss = 1.339738, Epoch time: 1.04 seconds, remaining time: 17.13 minutes
Epoch #9: train loss = 1.737048, val loss = 0.857302, total loss = 1.297175, Epoch time: 1.03 seconds, remaining time: 16.99 minutes
Epoch #10: train loss = 1.694038, val loss = 0.734591, total loss = 1.214314, Epoch time: 1.02 seconds, remaining time: 16.86 minutes
Epoch #11: train loss = 1.679039, val loss = 0.876428, total loss = 1.277734, Epoch time: 1.02 seconds, remaining time: 16.74 minutes
Epoch #12: train loss = 1.647204, val loss = 0.694874, total loss = 1.171039, Epoch time: 1.01 seconds, remaining time: 16.67 minutes
Epoch #13: train loss = 1.597628, val loss = 0.586925, total loss = 1.092277, Epoch time: 1.01 seconds, remaining time: 16.60 minutes
Epoch #14: train loss = 1.532344, val loss = 0.565843, total loss = 1.049094, Epoch time: 1.01 seconds, remaining time: 16.51 minutes
Epoch #15: train loss = 1.574860, val loss = 0.666820, total loss = 1.120840, Epoch time: 1.00 seconds, remaining time: 16.40 minutes
Epoch #16: train loss = 1.547008, val loss = 0.543876, total loss = 1.045442, Epoch time: 1.00 seconds, remaining time: 16.35 minutes
Epoch #17: train loss = 1.462017, val loss = 0.514046, total loss = 0.988032, Epoch time: 1.00 seconds, remaining time: 16.29 minutes
Epoch #18: train loss = 1.410100, val loss = 0.426385, total loss = 0.918243, Epoch time: 0.99 seconds, remaining time: 16.26 minutes
Epoch #19: train loss = 1.480565, val loss = 0.435770, total loss = 0.958168, Epoch time: 0.99 seconds, remaining time: 16.21 minutes
Epoch #20: train loss = 1.436151, val loss = 0.468329, total loss = 0.952240, Epoch time: 0.99 seconds, remaining time: 16.16 minutes
Epoch #21: train loss = 1.361218, val loss = 0.484764, total loss = 0.922991, Epoch time: 0.99 seconds, remaining time: 16.11 minutes
Epoch #22: train loss = 1.374182, val loss = 0.439157, total loss = 0.906670, Epoch time: 0.99 seconds, remaining time: 16.07 minutes
Epoch #23: train loss = 1.373406, val loss = 0.426387, total loss = 0.899897, Epoch time: 0.99 seconds, remaining time: 16.03 minutes
Epoch #24: train loss = 1.343423, val loss = 0.387466, total loss = 0.865445, Epoch time: 0.98 seconds, remaining time: 15.99 minutes
Epoch #25: train loss = 1.402445, val loss = 0.426648, total loss = 0.914547, Epoch time: 0.98 seconds, remaining time: 15.95 minutes
Epoch #26: train loss = 1.367475, val loss = 0.361939, total loss = 0.864707, Epoch time: 0.98 seconds, remaining time: 15.91 minutes
Epoch #27: train loss = 1.302401, val loss = 0.312779, total loss = 0.807590, Epoch time: 0.98 seconds, remaining time: 15.88 minutes
Epoch #28: train loss = 1.347231, val loss = 0.358291, total loss = 0.852761, Epoch time: 0.98 seconds, remaining time: 15.85 minutes
Epoch #29: train loss = 1.257772, val loss = 0.304929, total loss = 0.781350, Epoch time: 0.98 seconds, remaining time: 15.83 minutes
Epoch #30: train loss = 1.308381, val loss = 0.418964, total loss = 0.863673, Epoch time: 0.98 seconds, remaining time: 15.78 minutes
Epoch #31: train loss = 1.290040, val loss = 0.269766, total loss = 0.779903, Epoch time: 0.98 seconds, remaining time: 15.76 minutes
Epoch #32: train loss = 1.295794, val loss = 0.292706, total loss = 0.794250, Epoch time: 0.98 seconds, remaining time: 15.72 minutes
Epoch #33: train loss = 1.248479, val loss = 0.267315, total loss = 0.757897, Epoch time: 0.98 seconds, remaining time: 15.70 minutes
Epoch #34: train loss = 1.288114, val loss = 0.299683, total loss = 0.793899, Epoch time: 0.98 seconds, remaining time: 15.68 minutes
Epoch #35: train loss = 1.205230, val loss = 0.291090, total loss = 0.748160, Epoch time: 0.97 seconds, remaining time: 15.66 minutes
Epoch #36: train loss = 1.186295, val loss = 0.218983, total loss = 0.702639, Epoch time: 0.97 seconds, remaining time: 15.65 minutes
Epoch #37: train loss = 1.203217, val loss = 0.213298, total loss = 0.708258, Epoch time: 0.97 seconds, remaining time: 15.62 minutes
Epoch #38: train loss = 1.130610, val loss = 0.191849, total loss = 0.661229, Epoch time: 0.97 seconds, remaining time: 15.60 minutes
Epoch #39: train loss = 1.167295, val loss = 0.224668, total loss = 0.695982, Epoch time: 0.97 seconds, remaining time: 15.58 minutes
Epoch #40: train loss = 1.191322, val loss = 0.253391, total loss = 0.722356, Epoch time: 0.97 seconds, remaining time: 15.56 minutes
Epoch #41: train loss = 1.269254, val loss = 0.260190, total loss = 0.764722, Epoch time: 0.97 seconds, remaining time: 15.54 minutes
Epoch #42: train loss = 1.164670, val loss = 0.263959, total loss = 0.714314, Epoch time: 0.97 seconds, remaining time: 15.51 minutes
Epoch #43: train loss = 1.130943, val loss = 0.228321, total loss = 0.679632, Epoch time: 0.97 seconds, remaining time: 15.48 minutes
Epoch #44: train loss = 1.205247, val loss = 0.290819, total loss = 0.748033, Epoch time: 0.97 seconds, remaining time: 15.45 minutes
Epoch #45: train loss = 1.148288, val loss = 0.281469, total loss = 0.714878, Epoch time: 0.97 seconds, remaining time: 15.43 minutes
Epoch #46: train loss = 1.116950, val loss = 0.229952, total loss = 0.673451, Epoch time: 0.97 seconds, remaining time: 15.41 minutes
Epoch #47: train loss = 1.078335, val loss = 0.164157, total loss = 0.621246, Epoch time: 0.97 seconds, remaining time: 15.39 minutes
Epoch #48: train loss = 1.118611, val loss = 0.219089, total loss = 0.668850, Epoch time: 0.97 seconds, remaining time: 15.37 minutes
Epoch #49: train loss = 1.084303, val loss = 0.235763, total loss = 0.660033, Epoch time: 0.97 seconds, remaining time: 15.35 minutes
Epoch #50: train loss = 1.136611, val loss = 0.258946, total loss = 0.697779, Epoch time: 0.97 seconds, remaining time: 15.32 minutes
Epoch #51: train loss = 1.122375, val loss = 0.226273, total loss = 0.674324, Epoch time: 0.97 seconds, remaining time: 15.31 minutes
Epoch #52: train loss = 1.120393, val loss = 0.208337, total loss = 0.664365, Epoch time: 0.97 seconds, remaining time: 15.29 minutes
Epoch #53: train loss = 1.039351, val loss = 0.160308, total loss = 0.599830, Epoch time: 0.97 seconds, remaining time: 15.27 minutes
