Dataset: HandMovementDirection
Arguments: Namespace(batch_size=8, dataset='HandMovementDirection', epochs=1000, eval=True, gpu=0, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 3.576471, val loss = 1.378649, total loss = 2.894388, Epoch time: 1.76 seconds, remaining time: 29.26 minutes
Epoch #1: train loss = 1.888497, val loss = 1.121236, total loss = 1.650381, Epoch time: 1.44 seconds, remaining time: 24.03 minutes
Epoch #2: train loss = 1.722104, val loss = 0.802338, total loss = 1.436659, Epoch time: 1.35 seconds, remaining time: 22.45 minutes
Epoch #3: train loss = 1.548578, val loss = 0.655990, total loss = 1.271568, Epoch time: 1.29 seconds, remaining time: 21.40 minutes
Epoch #4: train loss = 1.432492, val loss = 0.527023, total loss = 1.151484, Epoch time: 1.26 seconds, remaining time: 20.87 minutes
Epoch #5: train loss = 1.282975, val loss = 0.336528, total loss = 0.989250, Epoch time: 1.24 seconds, remaining time: 20.57 minutes
Epoch #6: train loss = 1.180713, val loss = 0.257664, total loss = 0.894250, Epoch time: 1.23 seconds, remaining time: 20.28 minutes
Epoch #7: train loss = 1.026577, val loss = 0.194467, total loss = 0.768336, Epoch time: 1.22 seconds, remaining time: 20.11 minutes
Epoch #8: train loss = 0.925542, val loss = 0.155944, total loss = 0.686701, Epoch time: 1.21 seconds, remaining time: 19.92 minutes
Epoch #9: train loss = 0.906443, val loss = 0.148626, total loss = 0.671258, Epoch time: 1.20 seconds, remaining time: 19.77 minutes
Epoch #10: train loss = 0.716751, val loss = 0.109976, total loss = 0.528441, Epoch time: 1.20 seconds, remaining time: 19.72 minutes
Epoch #11: train loss = 0.779510, val loss = 0.176389, total loss = 0.592334, Epoch time: 1.19 seconds, remaining time: 19.58 minutes
Epoch #12: train loss = 0.854295, val loss = 0.150922, total loss = 0.636007, Epoch time: 1.18 seconds, remaining time: 19.45 minutes
Epoch #13: train loss = 0.785340, val loss = 0.107108, total loss = 0.574855, Epoch time: 1.18 seconds, remaining time: 19.34 minutes
