Dataset: Libras
Arguments: Namespace(batch_size=8, dataset='Libras', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 2.901334, val loss = 1.224532, total loss = 2.062933, Epoch time: 1.71 seconds, remaining time: 28.48 minutes
Epoch #1: train loss = 1.884095, val loss = 0.890911, total loss = 1.387503, Epoch time: 1.37 seconds, remaining time: 22.73 minutes
Epoch #2: train loss = 1.631075, val loss = 0.612856, total loss = 1.121966, Epoch time: 1.26 seconds, remaining time: 20.89 minutes
Epoch #3: train loss = 1.469301, val loss = 0.463159, total loss = 0.966230, Epoch time: 1.20 seconds, remaining time: 19.89 minutes
Epoch #4: train loss = 1.452301, val loss = 0.551203, total loss = 1.001752, Epoch time: 1.16 seconds, remaining time: 19.19 minutes
Epoch #5: train loss = 1.491842, val loss = 0.515246, total loss = 1.003544, Epoch time: 1.13 seconds, remaining time: 18.71 minutes
Epoch #6: train loss = 1.368176, val loss = 0.352860, total loss = 0.860518, Epoch time: 1.11 seconds, remaining time: 18.45 minutes
Epoch #7: train loss = 1.222006, val loss = 0.312836, total loss = 0.767421, Epoch time: 1.10 seconds, remaining time: 18.24 minutes
Epoch #8: train loss = 1.218290, val loss = 0.291763, total loss = 0.755027, Epoch time: 1.10 seconds, remaining time: 18.14 minutes
Epoch #9: train loss = 1.115850, val loss = 0.222846, total loss = 0.669348, Epoch time: 1.09 seconds, remaining time: 18.07 minutes
Epoch #10: train loss = 1.135936, val loss = 0.285104, total loss = 0.710520, Epoch time: 1.09 seconds, remaining time: 17.98 minutes
Epoch #11: train loss = 0.967227, val loss = 0.197694, total loss = 0.582460, Epoch time: 1.09 seconds, remaining time: 17.96 minutes
Epoch #12: train loss = 0.980909, val loss = 0.201231, total loss = 0.591070, Epoch time: 1.09 seconds, remaining time: 17.89 minutes
Epoch #13: train loss = 0.976938, val loss = 0.179896, total loss = 0.578417, Epoch time: 1.09 seconds, remaining time: 17.85 minutes
Epoch #14: train loss = 1.012530, val loss = 0.207840, total loss = 0.610185, Epoch time: 1.08 seconds, remaining time: 17.79 minutes
