Dataset: NATOPS
Arguments: Namespace(batch_size=8, dataset='NATOPS', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 2.932403, val loss = 1.186964, total loss = 2.059684, Epoch time: 1.26 seconds, remaining time: 20.96 minutes
Epoch #1: train loss = 1.765186, val loss = 0.956985, total loss = 1.361086, Epoch time: 0.68 seconds, remaining time: 16.13 minutes
Epoch #2: train loss = 1.562391, val loss = 0.811982, total loss = 1.187187, Epoch time: 0.64 seconds, remaining time: 14.29 minutes
Epoch #3: train loss = 1.446959, val loss = 0.660819, total loss = 1.053889, Epoch time: 0.65 seconds, remaining time: 13.42 minutes
Epoch #4: train loss = 1.366750, val loss = 0.528756, total loss = 0.947753, Epoch time: 0.65 seconds, remaining time: 12.87 minutes
Epoch #5: train loss = 1.366319, val loss = 0.506861, total loss = 0.936590, Epoch time: 0.64 seconds, remaining time: 12.49 minutes
Epoch #6: train loss = 1.220229, val loss = 0.451607, total loss = 0.835918, Epoch time: 0.64 seconds, remaining time: 12.20 minutes
Epoch #7: train loss = 1.152557, val loss = 0.396240, total loss = 0.774399, Epoch time: 0.66 seconds, remaining time: 12.03 minutes
Epoch #8: train loss = 1.144054, val loss = 0.327449, total loss = 0.735751, Epoch time: 0.65 seconds, remaining time: 11.87 minutes
Epoch #9: train loss = 1.072873, val loss = 0.282433, total loss = 0.677653, Epoch time: 0.66 seconds, remaining time: 11.76 minutes
Epoch #10: train loss = 1.144499, val loss = 0.305909, total loss = 0.725204, Epoch time: 0.65 seconds, remaining time: 10.75 minutes
Epoch #11: train loss = 1.124171, val loss = 0.313221, total loss = 0.718696, Epoch time: 0.65 seconds, remaining time: 10.69 minutes
Epoch #12: train loss = 0.982456, val loss = 0.234470, total loss = 0.608463, Epoch time: 0.67 seconds, remaining time: 10.73 minutes
Epoch #13: train loss = 1.031472, val loss = 0.242177, total loss = 0.636824, Epoch time: 0.65 seconds, remaining time: 10.72 minutes
Epoch #14: train loss = 0.955370, val loss = 0.232711, total loss = 0.594041, Epoch time: 0.67 seconds, remaining time: 10.74 minutes
Epoch #15: train loss = 0.855153, val loss = 0.169159, total loss = 0.512156, Epoch time: 0.67 seconds, remaining time: 10.78 minutes
Epoch #16: train loss = 0.855472, val loss = 0.171100, total loss = 0.513286, Epoch time: 0.69 seconds, remaining time: 10.85 minutes
Epoch #17: train loss = 1.025218, val loss = 0.254166, total loss = 0.639692, Epoch time: 0.70 seconds, remaining time: 10.90 minutes
Epoch #18: train loss = 0.833180, val loss = 0.163840, total loss = 0.498510, Epoch time: 0.67 seconds, remaining time: 10.93 minutes
Epoch #19: train loss = 0.895942, val loss = 0.185808, total loss = 0.540875, Epoch time: 0.67 seconds, remaining time: 10.94 minutes
Epoch #20: train loss = 1.054602, val loss = 0.282830, total loss = 0.668716, Epoch time: 0.67 seconds, remaining time: 10.95 minutes
