Dataset: StandWalkJump
Arguments: Namespace(batch_size=8, dataset='StandWalkJump', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 57.226643, val loss = 23.839775, total loss = 40.533209, Epoch time: 0.81 seconds, remaining time: 13.55 minutes
Epoch #1: train loss = 26.480083, val loss = 18.352400, total loss = 22.416242, Epoch time: 0.19 seconds, remaining time: 8.37 minutes
Epoch #2: train loss = 13.266316, val loss = 13.151390, total loss = 13.208853, Epoch time: 0.19 seconds, remaining time: 6.63 minutes
Epoch #3: train loss = 9.911743, val loss = 8.194921, total loss = 9.053332, Epoch time: 0.13 seconds, remaining time: 5.51 minutes
Epoch #4: train loss = 7.015396, val loss = 6.662944, total loss = 6.839170, Epoch time: 0.21 seconds, remaining time: 5.10 minutes
Epoch #5: train loss = 6.256516, val loss = 4.668810, total loss = 5.462663, Epoch time: 0.19 seconds, remaining time: 4.77 minutes
Epoch #6: train loss = 5.918348, val loss = 5.743335, total loss = 5.830842, Epoch time: 0.16 seconds, remaining time: 4.47 minutes
Epoch #7: train loss = 4.489515, val loss = 3.796704, total loss = 4.143110, Epoch time: 0.19 seconds, remaining time: 4.30 minutes
Epoch #8: train loss = 4.496482, val loss = 4.764072, total loss = 4.630277, Epoch time: 0.13 seconds, remaining time: 4.05 minutes
Epoch #9: train loss = 3.346363, val loss = 3.404596, total loss = 3.375480, Epoch time: 0.11 seconds, remaining time: 3.82 minutes
Epoch #10: train loss = 3.843250, val loss = 4.610831, total loss = 4.227040, Epoch time: 0.12 seconds, remaining time: 2.67 minutes
Epoch #11: train loss = 3.945055, val loss = 3.112959, total loss = 3.529007, Epoch time: 0.15 seconds, remaining time: 2.60 minutes
Epoch #12: train loss = 3.884709, val loss = 3.155699, total loss = 3.520204, Epoch time: 0.15 seconds, remaining time: 2.52 minutes
Epoch #13: train loss = 3.734539, val loss = 4.675541, total loss = 4.205040, Epoch time: 0.18 seconds, remaining time: 2.60 minutes
Epoch #14: train loss = 3.682911, val loss = 2.775612, total loss = 3.229262, Epoch time: 0.15 seconds, remaining time: 2.50 minutes
Epoch #15: train loss = 3.507152, val loss = 2.894967, total loss = 3.201060, Epoch time: 0.15 seconds, remaining time: 2.43 minutes
Epoch #16: train loss = 3.418734, val loss = 4.518952, total loss = 3.968843, Epoch time: 0.22 seconds, remaining time: 2.51 minutes
Epoch #17: train loss = 2.901371, val loss = 4.519991, total loss = 3.710681, Epoch time: 0.11 seconds, remaining time: 2.39 minutes
Epoch #18: train loss = 3.127241, val loss = 4.523768, total loss = 3.825505, Epoch time: 0.13 seconds, remaining time: 2.39 minutes
Epoch #19: train loss = 3.519835, val loss = 2.663239, total loss = 3.091537, Epoch time: 0.19 seconds, remaining time: 2.51 minutes
Epoch #20: train loss = 3.271485, val loss = 4.494639, total loss = 3.883062, Epoch time: 0.21 seconds, remaining time: 2.67 minutes
Epoch #21: train loss = 3.104649, val loss = 4.657115, total loss = 3.880882, Epoch time: 0.14 seconds, remaining time: 2.65 minutes
Epoch #22: train loss = 3.290272, val loss = 2.648411, total loss = 2.969341, Epoch time: 0.17 seconds, remaining time: 2.68 minutes
Epoch #23: train loss = 3.163199, val loss = 4.582234, total loss = 3.872717, Epoch time: 0.12 seconds, remaining time: 2.58 minutes
Epoch #24: train loss = 3.268983, val loss = 2.894428, total loss = 3.081706, Epoch time: 0.16 seconds, remaining time: 2.59 minutes
Epoch #25: train loss = 3.337069, val loss = 2.784784, total loss = 3.060927, Epoch time: 0.13 seconds, remaining time: 2.55 minutes
Epoch #26: train loss = 3.134444, val loss = 4.726549, total loss = 3.930497, Epoch time: 0.12 seconds, remaining time: 2.40 minutes
Epoch #27: train loss = 3.129103, val loss = 4.788663, total loss = 3.958883, Epoch time: 0.13 seconds, remaining time: 2.43 minutes
Epoch #28: train loss = 3.117203, val loss = 4.640139, total loss = 3.878671, Epoch time: 0.17 seconds, remaining time: 2.49 minutes
Epoch #29: train loss = 3.063746, val loss = 2.676562, total loss = 2.870154, Epoch time: 0.23 seconds, remaining time: 2.56 minutes
