Dataset: UWaveGestureLibrary
Arguments: Namespace(batch_size=8, dataset='UWaveGestureLibrary', epochs=1000, eval=True, gpu=1, irregular=0, iters=None, loader='UEA', lr=0.001, max_threads=8, max_train_length=3000, repr_dims=320, run_name='UEA', save_every=None, seed=42)
Loading data... done
Epoch #0: train loss = 3.308773, val loss = 1.620165, total loss = 2.080694, Epoch time: 1.38 seconds, remaining time: 23.05 minutes
Epoch #1: train loss = 1.960184, val loss = 1.146148, total loss = 1.368158, Epoch time: 0.82 seconds, remaining time: 18.33 minutes
Epoch #2: train loss = 1.741469, val loss = 0.917996, total loss = 1.142579, Epoch time: 0.82 seconds, remaining time: 16.76 minutes
Epoch #3: train loss = 1.632622, val loss = 0.790656, total loss = 1.020283, Epoch time: 0.80 seconds, remaining time: 15.90 minutes
Epoch #4: train loss = 1.472370, val loss = 0.637776, total loss = 0.865393, Epoch time: 0.81 seconds, remaining time: 15.41 minutes
Epoch #5: train loss = 1.357329, val loss = 0.613352, total loss = 0.816255, Epoch time: 0.78 seconds, remaining time: 14.98 minutes
Epoch #6: train loss = 1.276982, val loss = 0.447711, total loss = 0.673876, Epoch time: 0.78 seconds, remaining time: 14.68 minutes
Epoch #7: train loss = 1.121714, val loss = 0.407109, total loss = 0.602002, Epoch time: 0.78 seconds, remaining time: 14.45 minutes
Epoch #8: train loss = 1.192366, val loss = 0.390979, total loss = 0.609539, Epoch time: 0.77 seconds, remaining time: 14.25 minutes
Epoch #9: train loss = 1.077397, val loss = 0.315464, total loss = 0.523263, Epoch time: 0.79 seconds, remaining time: 14.12 minutes
Epoch #10: train loss = 1.074991, val loss = 0.319169, total loss = 0.525302, Epoch time: 0.78 seconds, remaining time: 13.11 minutes
Epoch #11: train loss = 0.938250, val loss = 0.289129, total loss = 0.466162, Epoch time: 0.78 seconds, remaining time: 13.03 minutes
Epoch #12: train loss = 0.956734, val loss = 0.300627, total loss = 0.479565, Epoch time: 0.76 seconds, remaining time: 12.91 minutes
Epoch #13: train loss = 1.097005, val loss = 0.366520, total loss = 0.565743, Epoch time: 0.75 seconds, remaining time: 12.80 minutes
Epoch #14: train loss = 1.056474, val loss = 0.384992, total loss = 0.568123, Epoch time: 0.79 seconds, remaining time: 12.74 minutes
Epoch #15: train loss = 0.909160, val loss = 0.293827, total loss = 0.461645, Epoch time: 0.75 seconds, remaining time: 12.68 minutes
Epoch #16: train loss = 0.959339, val loss = 0.326970, total loss = 0.499434, Epoch time: 0.74 seconds, remaining time: 12.59 minutes
Epoch #17: train loss = 1.021345, val loss = 0.343310, total loss = 0.528228, Epoch time: 0.74 seconds, remaining time: 12.51 minutes
Epoch #18: train loss = 0.840193, val loss = 0.238901, total loss = 0.402890, Epoch time: 0.75 seconds, remaining time: 12.47 minutes
Epoch #19: train loss = 0.923966, val loss = 0.291603, total loss = 0.464066, Epoch time: 0.74 seconds, remaining time: 12.37 minutes
Epoch #20: train loss = 0.872106, val loss = 0.271598, total loss = 0.435373, Epoch time: 0.75 seconds, remaining time: 12.31 minutes
Epoch #21: train loss = 0.960413, val loss = 0.325964, total loss = 0.498995, Epoch time: 0.74 seconds, remaining time: 12.22 minutes
Epoch #22: train loss = 0.902014, val loss = 0.279952, total loss = 0.449605, Epoch time: 0.76 seconds, remaining time: 12.21 minutes
