date,OT1,OT2,OT3
2023-01-01 00:00:00,0.35,0.22,0.55
2023-01-01 01:00:00,0.4,0.01,0.51
2023-01-01 02:00:00,0.44,-0.71,0.52
2023-01-01 03:00:00,0.47,-0.33,0.44
2023-01-01 04:00:00,0.48,-0.4,0.45
2023-01-01 05:00:00,0.47,0.19,0.56
2023-01-01 06:00:00,0.44,0.36,0.71
2023-01-01 07:00:00,0.42,-0.58,0.63
2023-01-01 08:00:00,0.43,-1.45,0.7
2023-01-01 09:00:00,0.37,-0.87,0.81
2023-01-01 10:00:00,0.28,0.42,0.86
2023-01-01 11:00:00,0.18,0.71,0.89
2023-01-01 12:00:00,0.18,-0.95,0.93
2023-01-01 13:00:00,0.16,-2.46,0.95
2023-01-01 14:00:00,0.17,-1.1,0.95
2023-01-01 15:00:00,0.12,0.58,0.96
2023-01-01 16:00:00,0.12,1.02,0.98
2023-01-01 17:00:00,0.17,-0.47,1.0
2023-01-01 18:00:00,0.2,-2.46,0.98
2023-01-01 19:00:00,0.32,-0.91,0.94
2023-01-01 20:00:00,0.42,0.51,0.93
2023-01-01 21:00:00,0.47,0.91,0.91
2023-01-01 22:00:00,0.56,-1.18,0.88
2023-01-01 23:00:00,0.7,-2.18,0.87
2023-01-02 00:00:00,0.79,-0.67,0.87
2023-01-02 01:00:00,0.83,0.13,0.9
2023-01-02 02:00:00,0.88,0.63,0.9
2023-01-02 03:00:00,0.89,-1.17,0.86
2023-01-02 04:00:00,0.89,-2.0,0.82
2023-01-02 05:00:00,0.9,-0.6,0.84
2023-01-02 06:00:00,0.89,0.04,0.77
2023-01-02 07:00:00,0.85,0.64,0.79
2023-01-02 08:00:00,0.8,-1.27,0.82
2023-01-02 09:00:00,0.7,-1.08,0.69
2023-01-02 10:00:00,0.59,-0.74,0.63
2023-01-02 11:00:00,0.49,0.18,0.66
2023-01-02 12:00:00,0.47,0.48,0.45
2023-01-02 13:00:00,0.38,-0.94,0.17
2023-01-02 14:00:00,0.36,-0.52,-0.37
2023-01-02 15:00:00,0.33,-0.4,-0.69
2023-01-02 16:00:00,0.28,0.02,-0.8
2023-01-02 17:00:00,0.2,-0.22,-0.77
2023-01-02 18:00:00,0.21,-0.96,-0.73
2023-01-02 19:00:00,0.14,-0.45,-0.79
2023-01-02 20:00:00,0.16,-0.14,-0.67
2023-01-02 21:00:00,0.31,0.54,-0.47
2023-01-02 22:00:00,0.41,-0.72,-0.45
2023-01-02 23:00:00,0.45,-0.63,-0.38
2023-01-03 00:00:00,0.46,-0.76,-0.28
2023-01-03 01:00:00,0.52,-0.35,-0.19
2023-01-03 02:00:00,0.61,0.56,-0.11
2023-01-03 03:00:00,0.64,0.04,-0.07
2023-01-03 04:00:00,0.66,-1.7,-0.06
2023-01-03 05:00:00,0.66,-1.13,-0.01
2023-01-03 06:00:00,0.7,-0.32,0.07
2023-01-03 07:00:00,0.72,0.03,0.08
2023-01-03 08:00:00,0.74,0.16,0.05
2023-01-03 09:00:00,0.72,-1.48,-0.02
2023-01-03 10:00:00,0.77,-0.76,-0.06
2023-01-03 11:00:00,0.77,-0.1,-0.16
2023-01-03 12:00:00,0.78,0.44,-0.29
2023-01-03 13:00:00,0.77,-0.55,-0.47
2023-01-03 14:00:00,0.74,-1.52,-0.48
2023-01-03 15:00:00,0.72,-0.4,-0.55
2023-01-03 16:00:00,0.69,0.3,-0.53
2023-01-03 17:00:00,0.7,0.76,-0.57
2023-01-03 18:00:00,0.7,-1.1,-0.48
2023-01-03 19:00:00,0.74,-1.2,-0.51
2023-01-03 20:00:00,0.74,-0.81,-0.69
2023-01-03 21:00:00,0.72,0.0,-0.78
2023-01-03 22:00:00,0.71,0.6,-0.5
2023-01-03 23:00:00,0.74,-1.13,-0.26
2023-01-04 00:00:00,0.68,-1.67,-0.03
2023-01-04 01:00:00,0.65,-0.23,0.09
2023-01-04 02:00:00,0.62,-0.04,0.05
2023-01-04 03:00:00,0.61,0.35,0.07
2023-01-04 04:00:00,0.6,-1.65,0.16
2023-01-04 05:00:00,0.58,-1.06,0.16
2023-01-04 06:00:00,0.58,-0.25,0.17
2023-01-04 07:00:00,0.63,0.16,0.25
2023-01-04 08:00:00,0.63,-0.71,0.34
2023-01-04 09:00:00,0.65,-2.26,0.33
2023-01-04 10:00:00,0.66,-0.48,0.39
2023-01-04 11:00:00,0.67,-0.2,0.26
2023-01-04 12:00:00,0.68,0.35,0.28
2023-01-04 13:00:00,0.69,-1.23,0.42
2023-01-04 14:00:00,0.72,-1.78,0.35
2023-01-04 15:00:00,0.73,-0.58,0.3
2023-01-04 16:00:00,0.78,0.26,0.27
2023-01-04 17:00:00,0.77,0.52,0.38
2023-01-04 18:00:00,0.73,-1.95,0.44
2023-01-04 19:00:00,0.72,-0.89,0.5
2023-01-04 20:00:00,0.72,-0.38,0.6
2023-01-04 21:00:00,0.72,-0.27,0.72
2023-01-04 22:00:00,0.68,0.29,0.74
2023-01-04 23:00:00,0.7,-1.11,0.67
2023-01-05 00:00:00,0.71,-1.48,0.66
2023-01-05 01:00:00,0.71,-0.33,0.7
2023-01-05 02:00:00,0.72,-0.06,0.6
2023-01-05 03:00:00,0.72,0.32,0.69
2023-01-05 04:00:00,0.7,-1.65,0.81
2023-01-05 05:00:00,0.7,-0.99,0.89
2023-01-05 06:00:00,0.69,-0.53,0.88
2023-01-05 07:00:00,0.66,0.2,0.82
2023-01-05 08:00:00,0.69,-0.18,0.75
2023-01-05 09:00:00,0.7,-2.39,0.85
2023-01-05 10:00:00,0.68,-0.44,0.78
2023-01-05 11:00:00,0.69,-0.2,0.76
2023-01-05 12:00:00,0.7,0.28,0.74
2023-01-05 13:00:00,0.69,-1.26,0.81
2023-01-05 14:00:00,0.66,-2.14,0.88
2023-01-05 15:00:00,0.7,-1.06,0.75
2023-01-05 16:00:00,0.7,0.07,0.53
2023-01-05 17:00:00,0.7,0.6,0.39
2023-01-05 18:00:00,0.7,-1.45,0.14
2023-01-05 19:00:00,0.63,-1.42,-0.07
2023-01-05 20:00:00,0.58,-0.67,-0.1
2023-01-05 21:00:00,0.52,0.2,-0.18
2023-01-05 22:00:00,0.45,0.51,-0.17
2023-01-05 23:00:00,0.43,-1.06,-0.27
2023-01-06 00:00:00,0.42,-1.1,-0.25
2023-01-06 01:00:00,0.34,-0.78,-0.19
2023-01-06 02:00:00,0.34,0.5,-0.11
2023-01-06 03:00:00,0.34,0.45,-0.05
2023-01-06 04:00:00,0.3,-1.5,0.05
2023-01-06 05:00:00,0.27,-0.79,0.11
2023-01-06 06:00:00,0.22,-0.33,0.22
2023-01-06 07:00:00,0.22,0.09,0.32
2023-01-06 08:00:00,0.2,0.12,0.41
2023-01-06 09:00:00,0.2,-1.2,0.39
2023-01-06 10:00:00,0.13,-0.7,0.51
2023-01-06 11:00:00,0.11,-0.61,0.74
2023-01-06 12:00:00,0.07,0.3,0.64
2023-01-06 13:00:00,0.04,0.32,0.47
2023-01-06 14:00:00,0.05,-0.93,0.35
2023-01-06 15:00:00,0.1,-0.26,0.42
2023-01-06 16:00:00,0.15,-0.84,0.39
2023-01-06 17:00:00,0.26,0.04,0.37
2023-01-06 18:00:00,0.37,0.11,0.39
2023-01-06 19:00:00,0.39,-0.78,0.4
2023-01-06 20:00:00,0.41,0.63,0.4
2023-01-06 21:00:00,0.41,-0.59,0.46
2023-01-06 22:00:00,0.48,-0.07,0.45
2023-01-06 23:00:00,0.54,0.1,0.38
2023-01-07 00:00:00,0.55,-0.32,0.23
2023-01-07 01:00:00,0.58,0.8,-0.15
2023-01-07 02:00:00,0.55,-0.66,-0.4
2023-01-07 03:00:00,0.52,0.35,-0.16
2023-01-07 04:00:00,0.51,0.22,-0.18
2023-01-07 05:00:00,0.5,-1.06,-0.26
