date,OT1,OT2
2023-01-01 00:00:00,0.67892,0.27315
2023-01-01 01:00:00,0.68085,0.27315
2023-01-01 02:00:00,0.68085,0.27315
2023-01-01 03:00:00,0.68085,0.27315
2023-01-01 04:00:00,0.67892,0.26852
2023-01-01 05:00:00,0.66344,0.25694
2023-01-01 06:00:00,0.6383,0.24769
2023-01-01 07:00:00,0.59961,0.24074
2023-01-01 08:00:00,0.54159,0.23843
2023-01-01 09:00:00,0.47195,0.25231
2023-01-01 10:00:00,0.39652,0.28009
2023-01-01 11:00:00,0.33075,0.32407
2023-01-01 12:00:00,0.27079,0.39583
2023-01-01 13:00:00,0.2147,0.48611
2023-01-01 14:00:00,0.18182,0.58796
2023-01-01 15:00:00,0.16248,0.66667
2023-01-01 16:00:00,0.14894,0.72685
2023-01-01 17:00:00,0.14507,0.75694
2023-01-01 18:00:00,0.14894,0.74074
2023-01-01 19:00:00,0.16054,0.68056
2023-01-01 20:00:00,0.18375,0.59491
2023-01-01 21:00:00,0.23404,0.49537
2023-01-01 22:00:00,0.29014,0.40741
2023-01-01 23:00:00,0.3617,0.33565
2023-01-02 00:00:00,0.43907,0.28704
2023-01-02 01:00:00,0.51644,0.25926
2023-01-02 02:00:00,0.59381,0.25
2023-01-02 03:00:00,0.66151,0.26852
2023-01-02 04:00:00,0.706,0.29398
2023-01-02 05:00:00,0.73694,0.31944
2023-01-02 06:00:00,0.74275,0.31944
2023-01-02 07:00:00,0.72921,0.30324
2023-01-02 08:00:00,0.69826,0.27315
2023-01-02 09:00:00,0.64603,0.24769
2023-01-02 10:00:00,0.57447,0.23148
2023-01-02 11:00:00,0.4913,0.2338
2023-01-02 12:00:00,0.41586,0.2662
2023-01-02 13:00:00,0.34623,0.32639
2023-01-02 14:00:00,0.28627,0.40509
2023-01-02 15:00:00,0.23404,0.48843
2023-01-02 16:00:00,0.19536,0.57407
2023-01-02 17:00:00,0.17795,0.63657
2023-01-02 18:00:00,0.17215,0.67361
2023-01-02 19:00:00,0.17021,0.69213
2023-01-02 20:00:00,0.17215,0.69213
2023-01-02 21:00:00,0.72147,0.23611
2023-01-02 22:00:00,0.7234,0.23611
2023-01-02 23:00:00,0.7234,0.23611
2023-01-03 00:00:00,0.7234,0.23611
2023-01-03 01:00:00,0.7234,0.23611
2023-01-03 02:00:00,0.71567,0.2338
2023-01-03 03:00:00,0.67505,0.22685
2023-01-03 04:00:00,0.59188,0.22685
2023-01-03 05:00:00,0.4971,0.25
2023-01-03 06:00:00,0.42747,0.3125
2023-01-03 07:00:00,0.36944,0.38194
2023-01-03 08:00:00,0.30948,0.49306
2023-01-03 09:00:00,0.27853,0.62269
2023-01-03 10:00:00,0.26306,0.71528
2023-01-03 11:00:00,0.26112,0.76389
2023-01-03 12:00:00,0.25919,0.7662
2023-01-03 13:00:00,0.27466,0.69676
2023-01-03 14:00:00,0.30754,0.55787
2023-01-03 15:00:00,0.37718,0.43056
2023-01-03 16:00:00,0.46035,0.35185
2023-01-03 17:00:00,0.55899,0.30556
2023-01-03 18:00:00,0.65377,0.29861
2023-01-03 19:00:00,0.73114,0.2963
2023-01-03 20:00:00,0.79304,0.30556
2023-01-03 21:00:00,0.82012,0.31481
2023-01-03 22:00:00,0.80851,0.30787
2023-01-03 23:00:00,0.75629,0.28704
2023-01-04 00:00:00,0.66538,0.27083
2023-01-04 01:00:00,0.54932,0.26157
2023-01-04 02:00:00,0.45841,0.31481
2023-01-04 03:00:00,0.39458,0.3912
2023-01-04 04:00:00,0.33849,0.48843
2023-01-04 05:00:00,0.30754,0.59722
2023-01-04 06:00:00,0.2882,0.6713
2023-01-04 07:00:00,0.28046,0.71759
2023-01-04 08:00:00,0.28046,0.73148
2023-01-04 09:00:00,0.2882,0.6875
2023-01-04 10:00:00,0.31141,0.58102
2023-01-04 11:00:00,0.3675,0.46759
2023-01-04 12:00:00,0.44101,0.37731
2023-01-04 13:00:00,0.52031,0.30556
2023-01-04 14:00:00,0.59768,0.25926
2023-01-04 15:00:00,0.67118,0.25231
2023-01-04 16:00:00,0.73501,0.2662
2023-01-04 17:00:00,0.78143,0.27778
2023-01-04 18:00:00,0.67118,0.38426
2023-01-04 19:00:00,0.67118,0.38657
2023-01-04 20:00:00,0.67311,0.38657
2023-01-04 21:00:00,0.67311,0.38426
2023-01-04 22:00:00,0.67311,0.37963
2023-01-04 23:00:00,0.65957,0.36574
2023-01-05 00:00:00,0.61702,0.3588
2023-01-05 01:00:00,0.55706,0.38889
2023-01-05 02:00:00,0.49323,0.4537
2023-01-05 03:00:00,0.46615,0.52315
2023-01-05 04:00:00,0.46228,0.62037
2023-01-05 05:00:00,0.47389,0.71759
2023-01-05 06:00:00,0.54545,1.0
2023-01-05 07:00:00,0.47969,0.80556
2023-01-05 08:00:00,0.44874,0.7037
2023-01-05 09:00:00,0.45068,0.59259
2023-01-05 10:00:00,0.46809,0.48611
2023-01-05 11:00:00,0.51064,0.38426
2023-01-05 12:00:00,0.56673,0.2963
2023-01-05 13:00:00,0.64603,0.24306
2023-01-05 14:00:00,0.74662,0.25926
2023-01-05 15:00:00,0.83559,0.34259
2023-01-05 16:00:00,0.87621,0.44676
2023-01-05 17:00:00,0.87234,0.48148
2023-01-05 18:00:00,0.86267,0.44907
2023-01-05 19:00:00,0.84913,0.38657
2023-01-05 20:00:00,0.82785,0.32407
2023-01-05 21:00:00,0.7795,0.25926
2023-01-05 22:00:00,0.69826,0.23611
2023-01-05 23:00:00,0.60348,0.2662
2023-01-06 00:00:00,0.52805,0.32639
2023-01-06 01:00:00,0.47776,0.40046
2023-01-06 02:00:00,0.44874,0.46528
2023-01-06 03:00:00,0.43907,0.53009
2023-01-06 04:00:00,0.4294,0.62269
2023-01-06 05:00:00,0.44487,0.75231
2023-01-06 06:00:00,0.45648,0.84028
2023-01-06 07:00:00,0.51257,0.9838
2023-01-06 08:00:00,0.5087,0.96991
2023-01-06 09:00:00,0.47195,0.81713
2023-01-06 10:00:00,0.46422,0.76389
2023-01-06 11:00:00,0.44101,0.6412
2023-01-06 12:00:00,0.45068,0.54167
2023-01-06 13:00:00,0.47776,0.44213
2023-01-06 14:00:00,0.53191,0.34259
2023-01-06 15:00:00,0.71567,0.68056
2023-01-06 16:00:00,0.71373,0.68056
2023-01-06 17:00:00,0.70986,0.68981
2023-01-06 18:00:00,0.7118,0.68287
2023-01-06 19:00:00,0.71567,0.65741
2023-01-06 20:00:00,0.71373,0.65509
2023-01-06 21:00:00,0.69439,0.58102
2023-01-06 22:00:00,0.6499,0.52083
2023-01-06 23:00:00,0.60348,0.49769
2023-01-07 00:00:00,0.53965,0.50926
2023-01-07 01:00:00,0.45648,0.52083
2023-01-07 02:00:00,0.36557,0.54167
2023-01-07 03:00:00,0.32302,0.63889
2023-01-07 04:00:00,0.25532,0.72917
2023-01-07 05:00:00,0.21857,0.80324
2023-01-07 06:00:00,0.21083,0.8125
2023-01-07 07:00:00,0.22437,0.76389
2023-01-07 08:00:00,0.24758,0.65046
2023-01-07 09:00:00,0.30948,0.59259
2023-01-07 10:00:00,0.34816,0.54861
2023-01-07 11:00:00,0.44294,0.5
2023-01-07 12:00:00,0.54932,0.48843
2023-01-07 13:00:00,0.62476,0.46065
2023-01-07 14:00:00,0.68859,0.49306
2023-01-07 15:00:00,0.73501,0.56481
2023-01-07 16:00:00,0.76983,0.61574
2023-01-07 17:00:00,0.78723,0.63426
2023-01-07 18:00:00,0.77756,0.61111
2023-01-07 19:00:00,0.73888,0.55556
2023-01-07 20:00:00,0.67311,0.45833
2023-01-07 21:00:00,0.59574,0.47222
2023-01-07 22:00:00,0.51064,0.49306
2023-01-07 23:00:00,0.40426,0.51852
2023-01-08 00:00:00,0.33849,0.57407
2023-01-08 01:00:00,0.29594,0.59259
2023-01-08 02:00:00,0.26306,0.68519
2023-01-08 03:00:00,0.23598,0.75231
2023-01-08 04:00:00,0.22437,0.7662
2023-01-08 05:00:00,0.23017,0.74306
2023-01-08 06:00:00,0.24758,0.67824
2023-01-08 07:00:00,0.30174,0.61111
2023-01-08 08:00:00,0.35397,0.57639
2023-01-08 09:00:00,0.41006,0.52315
2023-01-08 10:00:00,0.4913,0.48611
2023-01-08 11:00:00,0.55899,0.4838
2023-01-08 12:00:00,0.77756,0.63426
2023-01-08 13:00:00,0.77563,0.63426
2023-01-08 14:00:00,0.77369,0.61806
2023-01-08 15:00:00,0.75822,0.50694
2023-01-08 16:00:00,0.71373,0.40509
2023-01-08 17:00:00,0.65184,0.38426
2023-01-08 18:00:00,0.56286,0.36574
2023-01-08 19:00:00,0.46228,0.39352
2023-01-08 20:00:00,0.38878,0.43519
2023-01-08 21:00:00,0.34623,0.4838
2023-01-08 22:00:00,0.32882,0.53472
2023-01-08 23:00:00,0.31141,0.57176
2023-01-09 00:00:00,0.29207,0.61806
2023-01-09 01:00:00,0.29594,0.7338
2023-01-09 02:00:00,0.29014,0.72454
2023-01-09 03:00:00,0.29981,0.58796
2023-01-09 04:00:00,0.34236,0.51852
2023-01-09 05:00:00,0.42166,0.45139
2023-01-09 06:00:00,0.51451,0.41667
2023-01-09 07:00:00,0.58994,0.43287
2023-01-09 08:00:00,0.64797,0.44444
2023-01-09 09:00:00,0.69246,0.45602
2023-01-09 10:00:00,0.74662,0.51852
2023-01-09 11:00:00,0.80464,0.56713
2023-01-09 12:00:00,0.84139,0.61574
2023-01-09 13:00:00,0.84526,0.60648
2023-01-09 14:00:00,0.81625,0.55556
2023-01-09 15:00:00,0.75242,0.46991
2023-01-09 16:00:00,0.66731,0.40972
2023-01-09 17:00:00,0.58027,0.43056
2023-01-09 18:00:00,0.49323,0.4213
2023-01-09 19:00:00,0.40619,0.44676
2023-01-09 20:00:00,0.33849,0.51157
2023-01-09 21:00:00,0.29594,0.55787
2023-01-09 22:00:00,0.23017,0.59954
2023-01-09 23:00:00,0.17795,0.68519
2023-01-10 00:00:00,0.16248,0.71759
2023-01-10 01:00:00,0.17408,0.7037
2023-01-10 02:00:00,0.23598,0.58102
2023-01-10 03:00:00,0.32108,0.52778
2023-01-10 04:00:00,0.38298,0.46991
2023-01-10 05:00:00,0.46422,0.4375
2023-01-10 06:00:00,0.55899,0.44213
2023-01-10 07:00:00,0.6325,0.46296
2023-01-10 08:00:00,0.68085,0.4838
2023-01-10 09:00:00,0.74468,0.58565
2023-01-10 10:00:00,0.74468,0.59028
2023-01-10 11:00:00,0.74662,0.58333
2023-01-10 12:00:00,0.73501,0.55787
2023-01-10 13:00:00,0.7118,0.47222
2023-01-10 14:00:00,0.65764,0.43287
2023-01-10 15:00:00,0.59188,0.45139
2023-01-10 16:00:00,0.5029,0.45139
2023-01-10 17:00:00,0.41199,0.47685
2023-01-10 18:00:00,0.36557,0.53704
2023-01-10 19:00:00,0.31528,0.5625
2023-01-10 20:00:00,0.27466,0.67593
2023-01-10 21:00:00,0.24952,0.71759
2023-01-10 22:00:00,0.25145,0.71991
2023-01-10 23:00:00,0.26112,0.6713
2023-01-11 00:00:00,0.30561,0.59028
2023-01-11 01:00:00,0.3559,0.50694
2023-01-11 02:00:00,0.45455,0.46296
2023-01-11 03:00:00,0.53191,0.47222
2023-01-11 04:00:00,0.60542,0.47454
2023-01-11 05:00:00,0.65764,0.46991
2023-01-11 06:00:00,0.70793,0.55324
2023-01-11 07:00:00,0.73888,0.62037
2023-01-11 08:00:00,0.74855,0.64583
2023-01-11 09:00:00,0.74662,0.64352
2023-01-11 10:00:00,0.73308,0.59722
2023-01-11 11:00:00,0.69439,0.49769
2023-01-11 12:00:00,0.62863,0.4537
2023-01-11 13:00:00,0.52998,0.43519
2023-01-11 14:00:00,0.41973,0.44676
2023-01-11 15:00:00,0.32108,0.46296
2023-01-11 16:00:00,0.24371,0.52546
