tsne-1,tsne-2,cluster
-34.32067,11.075729,0
2.8974736,-30.730522,0
29.192753,16.364655,3
5.127621,-23.141483,0
-0.26375228,-43.92791,0
9.189337,-32.22062,0
8.501383,-27.590277,0
23.171028,17.6046,3
-31.07637,-0.30368298,0
5.1843443,7.098701,0
-17.992685,10.615376,0
9.383628,-24.429047,0
-12.17679,-4.4899597,0
-31.68008,11.234562,0
34.325565,16.315495,3
1.1535692,-6.172226,0
-33.628223,-2.6711848,0
14.328119,-21.97805,0
37.592598,14.975747,3
25.83484,6.928457,3
-24.901499,30.223812,0
-6.3794518,-31.912401,0
-28.580961,13.375526,0
26.450615,12.1849785,3
-1.4378358,-37.28796,0
33.53774,-11.448936,3
-46.175877,9.812364,0
-42.355755,-5.8365755,0
-26.462486,-14.782454,0
12.72821,-22.624342,0
-5.1092625,-28.35762,0
-6.5536423,-42.12851,0
-18.422085,16.321236,0
-4.21765,-32.317814,0
35.818676,8.788282,3
-23.66033,7.6052246,0
-32.649765,1.7834249,0
30.717148,8.815047,3
-15.122133,32.441853,0
-16.237007,8.609501,0
-23.083578,16.34291,0
-9.414424,-23.980715,1
-38.96736,2.3106391,0
38.78172,-1.3071966,3
43.335064,6.6984525,3
3.1841516,-14.22554,0
0.31982124,-42.02997,0
-12.483508,2.5998971,0
-20.393366,-0.27444765,0
34.30702,11.916117,3
-11.488229,21.639027,0
-25.922382,10.165181,0
3.181939,0.60288805,0
-37.69437,28.241522,0
-27.403332,21.703169,0
-22.107056,-4.8747244,0
4.2261977,-13.698709,0
-40.51544,28.216051,2
12.989625,-20.173002,0
3.5890026,-24.933083,0
-24.961102,9.039031,0
-24.932959,25.102175,0
-46.81587,15.5436535,0
-9.702524,5.5286365,0
28.742035,14.286621,3
-34.581993,4.5666986,0
0.84127706,-0.88460284,0
-37.067787,26.074984,0
-25.570438,16.288921,0
-21.966623,8.963472,0
32.2957,4.732019,3
-34.26275,21.365414,0
-23.449818,18.102425,0
31.172441,6.4827147,3
27.99589,21.774832,3
33.42845,18.760712,3
1.0498016,23.713703,0
7.0337534,-30.26792,1
-18.369099,0.102576815,0
43.763977,1.860539,3
26.857416,17.499146,3
12.202879,-31.286541,0
-12.779076,20.397669,0
-16.397568,0.07139329,0
36.275944,11.738543,3
-28.974455,19.978355,0
5.1154613,-21.258308,0
27.829824,2.707123,3
7.1963534,-10.629987,0
-27.269354,-3.2052853,0
-13.481105,-0.67240953,0
-28.009758,7.6034913,0
5.74792,-29.215189,0
-33.832115,7.8654094,0
-4.536018,16.19557,0
13.643312,-24.214249,0
27.54298,5.4079437,3
-19.802778,8.5880575,0
-2.9196796,-37.80245,0
6.0561323,-13.623577,0
30.17771,20.602695,3
42.468136,-11.787523,3
-11.326202,0.69563556,0
-36.70821,5.0931544,0
-6.7545342,-21.947575,1
-21.863352,18.534517,0
10.790734,-38.650436,0
28.234068,-4.6178045,3
-11.93489,-33.834515,0
-16.604773,-7.0303683,0
-28.567705,10.422627,0
0.2664329,-8.547846,0
10.970999,-9.645072,0
-20.92633,27.209393,0
30.166155,-6.0158334,3
-46.32468,-2.819644,2
34.94069,-0.6171079,3
41.253376,10.982084,3
-43.526627,14.186054,0
41.60312,14.4823065,3
-3.7107456,3.5155299,0
-44.45619,3.7510166,0
-9.953532,-36.829533,0
33.70211,-8.982316,3
31.547283,2.505372,3
-39.64675,23.335913,0
16.630621,-25.544754,0
17.419313,-38.89698,1
14.261175,-31.745398,0
-3.9986985,-9.745041,0
3.2148552,3.5106082,0
24.327234,10.310814,3
30.877722,-11.385373,3
-31.891146,14.080979,0
-2.662008,-35.69636,0
38.113693,2.0341225,3
-38.710613,19.918554,0
28.78936,19.00428,3
29.101307,-11.637986,3
33.487427,7.014218,3
7.707618,-25.667507,0
-20.976025,25.021616,0
-3.0962675,1.4187858,0
8.110275,-38.331116,0
-3.5005615,-29.536386,0
-2.2607338,-4.517257,0
-29.619204,-1.567524,0
13.53311,-33.79003,1
-19.456432,2.5019171,0
15.185454,-19.945723,0
22.127325,15.487658,3
-1.9044702,27.59303,0
22.528984,20.818481,3
-7.961982,-40.752464,0
8.776654,-35.8497,0
30.809502,-8.659374,3
-19.220318,19.581213,0
6.059382,-11.989525,0
-1.1367218,-30.624727,0
-4.8712163,24.358105,0
40.016945,2.3870137,3
33.113007,-13.524541,3
31.642765,15.4421015,3
2.6244528,8.634555,0
28.811485,-8.510849,3
2.4197726,-28.2975,0
-15.496507,-11.356467,0
-33.437187,-14.025077,0
20.316742,17.108917,3
-6.8704963,-29.696396,0
-31.595741,22.736229,0
-25.94817,19.664555,0
-21.033787,5.262896,0
1.0031203,13.836496,0
-13.477911,24.610645,0
44.37393,10.589003,3
33.056335,-7.2572947,3
6.6337953,-2.0727727,0
-31.39406,4.1889997,0
6.2909336,-6.0731974,0
3.1723034,-40.17378,0
3.440581,-35.09274,0
1.8166715,-23.637083,0
30.73284,13.371327,3
-3.1103072,-8.36403,0
-31.798794,29.88072,0
-9.70372,20.402033,0
27.73522,9.631832,3
24.744099,14.172806,3
1.1194628,-37.694828,0
4.674019,-39.08457,0
36.294075,17.688417,3
35.841793,-3.0393064,3
3.1448243,-12.389057,0
7.9287076,-41.442463,0
2.1171691,16.13057,0
-29.161327,2.8159199,0
-14.949348,-3.8681078,0
21.131155,6.7627006,3
28.832027,12.182881,3
11.630168,-34.838097,0
-0.36626294,-26.666836,0
-4.785022,-22.325212,1
-14.393675,7.8795705,0
-24.029852,20.903023,0
-7.565579,29.758188,0
-2.7150252,-27.85588,0
-14.385379,-7.1523767,0
42.497025,16.351322,3
-29.025703,32.2301,0
3.1640503,-21.788597,0
40.93388,18.235144,3
-21.1298,11.537232,0
2.4472477,-44.4701,0
-10.037588,25.125671,0
-36.00494,-9.837294,0
-28.5432,18.017548,0
-23.451912,4.839422,0
-15.857094,2.777991,0
28.630886,7.043555,3
-35.30374,17.037127,0
-0.5531856,-29.261871,0
42.903347,-6.1499524,3
-25.656977,12.626651,0
30.097,-9.936627,3
-29.64427,5.498529,0
35.245075,13.9259405,3
35.399143,20.392021,3
-23.14562,0.31218648,0
23.45225,8.47395,3
-1.5567776,-34.011322,0
-33.189285,-5.4086213,0
-11.651868,-36.888195,0
-18.93497,6.0799985,0
-0.24303336,25.963955,0
-0.034197923,21.58914,0
-32.043827,6.427038,0
35.248238,5.4952993,3
-24.737823,-6.972006,0
-0.41549313,-22.978687,0
33.2796,22.037485,3
0.7127146,-35.180958,0
-38.391808,-1.7606431,0
-25.567284,6.0649753,0
41.05236,-8.830487,3
-30.574875,15.429037,0
0.9533501,4.6854267,0
-4.985803,-33.751762,0
36.25687,-9.756617,3
12.335517,-39.462833,0
26.057308,19.388147,3
-18.81937,-4.2248073,0
32.065697,-4.1311173,3
26.626331,15.181045,3
-25.157972,27.692846,0
0.6677203,-5.0281005,0
30.100143,10.528392,3
-27.902235,0.55525595,0
-9.289283,11.538522,0
24.456476,16.337448,3
30.979843,-3.0396454,3
41.84665,0.5660482,3
10.779031,-26.372856,0
-25.380894,-1.9442266,0
-8.982744,-3.471024,0
24.013765,12.285594,3
40.39067,8.7242985,3
-27.317093,3.1777558,0
-20.515423,14.509695,0
-35.77957,13.451514,0
-20.716648,22.271433,0
-23.611582,11.294025,0
-20.818459,30.06134,0
-17.55765,3.8278658,0
37.074738,-12.239294,3
24.402582,4.823792,3
-1.986728,20.444237,0
-1.066961,-38.773014,0
-10.993486,7.8324475,0
-9.186309,-1.2119123,0
-0.864622,9.723775,0
-15.009652,9.794703,0
-1.6317023,-2.273201,0
19.443666,14.967432,3
12.332515,-27.99126,0
-35.846222,-0.38508862,0
-18.903824,-10.537108,0
17.832592,-33.603085,1
40.14382,20.663946,3
-22.366497,-10.270607,0
-9.753458,-25.941744,1
31.784662,11.511975,3
6.755614,-35.97501,0
16.602448,-36.623306,0
4.4508924,-26.824797,0
-6.074031,17.273674,0
4.4334984,-43.277386,1
-43.539314,19.763092,0
-44.399227,-7.3454103,0
39.063606,-3.9872503,3
-14.737993,4.8164177,0
-15.982341,26.538046,0
27.144787,-9.53689,3
39.082176,6.867825,3
8.570926,-44.6226,0
-8.663897,-37.287487,0
4.259149,-37.149986,0
-18.908861,12.262323,0
33.17736,10.175293,3
-23.11681,13.289888,0
31.793966,17.95816,3
10.045694,-28.283558,0
5.2878094,-9.952135,0
-12.856011,12.439738,0
-26.596313,16.088324,0
26.606106,9.546901,3
-33.691093,17.678995,0
9.564383,-14.075248,0
-1.1897963,-9.255028,0
41.444447,-12.398433,3
0.5520469,3.1095731,0
-27.737677,26.115002,0
27.171618,-7.434022,3
-18.918882,21.6314,0
-45.68497,-6.0149198,0
8.021241,-4.923048,0
-22.161959,2.3598855,0
23.719599,21.320633,3
21.048029,12.668871,3
-20.518553,-8.675602,0
-36.340538,7.887062,0
-14.602914,16.349478,0
37.340496,-7.9900117,3
32.572357,13.475932,3
-37.899754,14.463845,0
34.971943,-6.370697,3
-7.5801153,8.291561,0
1.7962704,-33.11048,0
-12.762024,5.3688083,0
-9.19394,22.895863,0
-29.623041,-6.337419,0
-4.9437838,19.485737,0
-17.045918,15.322506,0
22.042076,13.432129,3
-16.202723,-2.0528808,0
-45.984596,21.891626,0
-11.5212145,25.102962,0
-26.367008,1.0282537,0
-35.237938,-4.611381,0
-0.5118376,4.906722,0
4.981372,-32.896637,0
-16.487055,5.881522,0
14.24511,-29.222754,0
30.029053,4.523963,3
-30.64076,-10.901539,0
-35.8589,1.536428,0
-21.998821,-2.7642527,0
-15.382906,13.339477,0
-26.857323,5.562492,0
21.152838,10.191717,3
-32.23558,18.74074,0
-7.46419,-24.026709,1
-1.6652266,12.972095,0
6.7245307,-33.45167,0
2.344535,-3.963224,0
15.059794,-23.831503,0
-18.156221,20.742338,0
8.472671,-22.764887,1
-38.29307,10.830782,2
-13.093442,27.256088,0
-24.882147,2.8641667,0
-30.256657,8.385042,0
-27.811703,-8.290362,0
11.4257555,-42.105225,0
-2.9432986,19.042246,0
-40.2523,8.699987,0
-10.452349,14.076266,0
