tsne-1,tsne-2,cluster
-23.328472,18.639462,3
11.488275,-30.67445,1
26.602407,11.5219965,0
7.5399714,-36.824734,1
12.922286,-22.726698,1
6.0321307,-30.637531,1
4.4584,-39.48702,1
30.514214,21.436224,0
-10.882156,6.1670985,3
-4.450176,3.1716619,3
-22.581125,2.6592908,3
0.843519,-35.505383,1
-17.006655,-3.604255,3
-23.990839,20.079779,3
23.49326,17.796673,0
5.337363,-2.1161633,3
-25.552637,17.111683,3
8.900243,-19.872852,1
26.524035,13.885227,0
33.31765,7.895909,0
-39.99365,12.593434,3
-3.884161,-28.574656,1
-29.726353,-4.917299,3
30.935707,14.823182,0
2.9087121,-25.526722,1
29.544546,-3.773645,2
-35.462456,25.043486,3
-45.40812,18.559103,3
-12.145583,24.673658,3
7.3955216,-19.090698,1
-2.3585248,-31.957743,1
-10.886645,-32.562717,1
-30.55164,8.035385,3
-2.491181,-27.617659,1
21.770256,5.323592,0
-15.452541,10.969503,3
-15.945106,14.973839,3
23.659077,7.935876,0
-12.755257,28.536322,3
-20.516266,1.5652719,3
-26.437122,11.198994,3
-6.241203,-19.376276,1
-34.36061,19.260029,3
34.497074,0.7253089,0
36.66488,6.25028,0
-3.222077,-10.343649,1
10.855754,-23.67004,1
-15.664043,-6.0005646,3
-14.294968,1.6507876,3
19.319817,13.137069,0
-9.916545,21.803493,3
-13.753911,12.813451,3
-0.2626242,1.8015306,3
-31.844936,31.96414,3
-32.28943,15.613285,3
-32.756874,-3.7752903,3
-2.4816408,-11.846831,1
-29.572664,32.59673,3
9.259683,-17.614014,1
7.3343945,-34.58449,1
-15.639151,11.802542,3
-37.051075,10.344288,3
-46.644485,7.2816668,3
-21.565905,-7.6797543,3
24.850674,10.1012945,0
-19.758146,17.618313,3
2.8275828,1.1497066,3
-33.94809,31.316803,3
-26.083408,12.89964,3
-12.926629,9.766547,3
31.856215,5.8041396,0
-35.775528,5.0867634,3
-28.406292,11.623341,3
28.415812,6.9144483,0
28.42699,15.605471,0
24.867802,18.880522,0
-4.8481297,29.453672,3
-2.4578023,-40.40744,1
-16.266783,0.8837893,3
41.78195,1.7709546,0
35.556286,12.208549,0
1.7162747,-32.51236,1
-12.081373,21.73314,3
-16.906483,-0.9804727,3
18.600683,15.217339,0
-30.32972,17.014986,3
7.8938603,-38.56046,1
25.781738,5.3145595,0
-0.5868069,-9.510008,1
-27.760206,-7.0673127,3
-11.275585,-1.8772848,3
-21.655323,11.076802,3
-0.25139976,-41.216442,1
-23.171026,14.88895,3
-3.7936661,18.978434,3
7.149909,-21.00827,1
28.556963,9.296025,0
-26.807947,-3.2872934,3
2.3430862,-24.139385,1
-1.3768198,-12.916804,1
29.702366,12.781453,0
40.374767,-11.565235,2
-13.722537,-5.0196214,3
-18.2488,15.69241,3
-6.255059,-22.985468,1
-29.536863,10.889161,3
16.413956,-33.70788,1
26.619295,-9.641951,2
-12.112087,-24.349522,1
-29.777771,-1.5520146,3
-26.209812,8.711689,3
4.4042177,-4.9297395,3
5.411597,-9.715704,1
-38.06004,16.530693,3
27.888905,-11.241561,2
-50.39816,16.655111,3
36.98024,-1.8955948,2
39.67347,11.341391,0
-44.721336,9.592064,3
38.62622,20.844505,0
3.8317103,8.678504,3
-24.686377,32.099983,3
-10.087691,-26.580843,1
33.26211,-10.553394,2
30.910679,3.7839925,0
-40.173134,26.094099,3
4.0427275,-19.653423,1
6.0841866,-43.672188,1
0.7720559,-30.937782,1
0.65716755,-2.356769,3
1.0165609,4.051337,3
33.377846,13.887057,0
30.070738,-9.540462,2
-27.156195,0.45754874,3
0.5424842,-24.944365,1
37.1886,2.7600837,0
-39.29694,21.898548,3
28.4667,14.001468,0
31.157913,-9.293304,2
30.314898,7.4462347,0
