tsne-1,tsne-2,cluster
-35.331963,6.195115,0
9.646897,-26.916882,0
38.633205,10.435055,3
2.7200952,-23.279222,0
-1.4646678,-42.27341,0
3.3376102,-30.434954,0
0.2670274,-31.809593,0
33.79528,14.845969,3
-13.706817,7.9375935,0
5.5605893,7.621928,0
-26.21628,3.6538796,0
-1.846531,-29.426405,0
-35.50508,-1.0932316,0
-12.86886,20.574749,0
40.89698,1.260901,3
5.5292773,-5.649399,0
-27.880503,-6.976516,0
-5.1878896,-26.424559,0
34.32521,3.8307238,3
32.275925,2.3312056,3
-17.348604,28.501852,0
3.2192254,-41.078632,0
-16.23597,16.502563,0
34.932636,7.083263,3
3.3077757,-33.156757,0
20.521986,18.386791,3
-23.949633,-15.996604,0
-23.1727,-10.854645,0
-8.574046,22.038605,0
-5.181135,-27.800621,0
6.1282783,-40.620487,0
19.92401,-29.189268,0
-34.720318,13.072663,0
2.6829884,-39.230526,0
43.751274,10.933766,3
-19.077282,1.2103041,0
-11.856598,6.111033,0
38.603237,2.4887087,3
-16.701635,-16.805437,0
-29.301998,1.0866466,0
-22.853016,16.375906,0
13.161766,-20.807283,1
-9.299561,12.999222,0
20.746397,9.040273,3
35.757195,-6.454487,3
-0.5701421,-14.543153,0
-0.67372185,-40.198654,0
-31.731277,4.418217,0
-25.634432,7.1602283,0
42.14858,7.481657,3
-11.21722,-2.161089,0
-17.53056,-1.1812036,0
3.2206278,1.0998945,0
-42.43593,22.35996,0
-29.522467,19.713041,0
-37.533775,16.167845,0
0.58080727,-13.073887,0
-41.59549,19.311266,2
-6.8153095,-25.069479,0
3.1001613,-27.182703,0
-17.793875,1.6386846,0
-18.133127,24.054697,0
-45.826603,28.05332,0
-28.981945,12.268525,0
37.445736,9.294342,3
-13.141453,17.120382,0
5.3143325,-0.12666102,0
-40.98114,23.532751,0
-22.432343,18.559431,0
-20.791191,-1.3229005,0
32.41386,0.17663707,3
-41.180763,10.878372,0
-24.497686,17.45775,0
34.29293,1.3334496,3
26.292435,8.777619,3
42.469746,2.043248,3
-1.1486585,17.122246,0
16.720959,-41.23649,1
-27.395708,5.9702635,0
29.357235,-8.072103,3
30.396614,6.200001,3
-3.3749108,-35.647663,0
-11.480662,-1.101762,0
-29.16144,5.1633644,0
44.060627,7.137095,3
-31.605154,20.46717,0
0.7472685,-24.00854,0
29.71879,-0.6854393,3
3.4474452,-16.466564,0
