tsne-1,tsne-2,cluster
-21.947474,4.9177914,2
-29.755331,-27.402357,2
-1.4243022,-28.058472,2
-57.31947,-0.04481814,2
28.009909,4.4754553,2
-25.14421,-14.083485,2
-7.530801,-5.141574,2
12.2545395,46.68398,1
44.769924,-15.380579,2
2.8600266,-6.54069,2
-14.824243,-2.7193887,2
36.914417,-22.884548,2
-19.130613,-5.180119,2
-26.692013,-49.292843,2
-53.863228,12.378787,3
-5.579322,28.372257,2
-2.641291,9.845437,2
-53.868153,-2.3277073,2
-2.586045,-12.481287,2
34.281654,-3.0322044,0
15.551981,43.410202,1
1.1876409,35.06845,2
-6.924586,29.629765,2
-0.24676573,29.025345,2
-5.9529867,-25.672634,2
-14.143895,10.220455,2
5.6568513,49.629078,1
-45.93897,-2.6875904,2
30.87815,-2.7382913,2
14.867805,-29.886728,2
-23.45022,-8.540353,2
21.721094,-28.024576,2
4.149293,-5.8764215,2
-15.986195,43.821705,2
24.79692,-44.11157,2
-2.881099,-19.805319,2
41.54474,12.222018,0
-35.034225,-29.404686,2
-21.510347,-23.306583,2
-2.1942422,-40.491486,2
10.23657,52.114006,1
-30.44525,40.362907,2
-6.804423,-12.449402,2
46.429794,15.4294615,2
-7.6444464,6.322478,2
19.066782,12.125652,1
-11.8012905,-40.58327,2
10.048843,-56.442734,2
1.2598913,54.35395,1
-4.2915697,34.69998,2
21.82445,-45.39863,2
-12.471279,-29.667957,2
-3.4284825,-37.489296,2
4.454802,-51.50356,2
15.027784,-23.077904,2
-18.304384,38.91465,2
-48.64481,-0.36398008,2
6.3821383,42.75119,1
36.844444,15.993867,0
6.9400487,-28.235746,2
-9.594548,40.299503,2
-15.88186,1.993485,2
2.3842366,-28.186316,2
-10.35857,-44.863197,2
10.580028,-52.44233,3
-19.12836,2.7206511,2
-9.558612,-17.077715,2
10.743043,28.291964,2
-24.175072,-43.61474,2
14.99378,-55.054585,2
49.962765,4.195122,0
-9.956696,-0.15755112,2
30.101793,-34.375774,2
-29.651566,5.3268666,2
-20.800314,-37.749214,2
29.027885,26.183023,2
-20.331177,-9.928289,2
11.96889,-56.0479,2
32.10601,31.366085,2
28.661419,23.733477,2
12.386808,5.291199,2
9.588038,-52.45917,2
-42.343792,17.053802,2
-8.70335,-34.357445,2
13.296219,58.843403,1
-38.049995,-0.44102997,2
-30.345222,-37.568665,2
0.13657944,12.659489,3
15.018581,47.85257,1
-17.335787,-17.744545,2
-31.31022,-5.1196866,2
-7.743429,37.710472,2
-8.331454,47.464745,1
29.111567,1.9905033,2
23.873993,-33.331764,2
21.090544,-27.111963,2
56.39157,3.463136,0
-12.9902725,1.9065118,2
-17.77739,37.34744,2
60.350857,1.4427385,0
20.132381,11.165223,1
-12.558319,-24.019056,2
0.5576482,34.666412,2
43.966133,-20.854866,2
37.785297,13.869621,2
18.695944,15.5665045,1
-31.340425,-9.398026,2
-1.0728341,33.299595,2
-47.435303,10.666529,3
5.4559603,-30.96679,2
-54.39055,13.623073,3
2.0202827,-2.6529446,2
-5.8414774,-50.494495,2
55.706882,9.561609,0
-9.328239,18.802996,2
4.306004,-22.999155,2
-11.518612,-27.698523,2
-37.019524,-17.713696,2
29.388687,27.726557,2
12.174714,-54.087215,2
-33.93792,26.083172,2
-10.552545,17.027779,2
-37.848938,20.244133,2
-3.6234708,-45.21197,2
-24.247717,28.525705,2
29.105352,11.951223,2
-25.342403,16.548828,2
13.355355,1.5475845,1
-17.098991,0.8091802,2
22.735956,-1.4573127,1
45.9707,-21.13643,0
10.983723,3.1353836,2
18.235088,15.454852,1
-52.866695,12.441145,3
-11.942298,-17.21083,2
-28.034372,4.933025,2
-37.224834,34.315178,2
17.890345,12.325421,1
18.818743,-4.797717,1
43.64763,-22.463682,2
31.9165,15.933829,0
2.1159658,-13.545783,2
51.795235,4.981553,0
47.09019,10.88581,2
-19.532495,20.128382,2
30.28187,32.77286,2
8.107326,-4.132221,2
36.94435,1.3650268,2
-39.48954,27.297808,2
27.465706,32.33673,2
-21.750784,-48.64218,2
54.389908,3.7901614,0
53.195953,14.4808655,2
21.988016,-12.86643,2
-6.973928,38.98137,2
-15.089573,20.169806,2
8.757591,49.973198,1
-9.007658,-9.678151,2
22.578382,-31.427938,2
16.606525,-3.545704,2
1.9972193,-12.552444,2
-12.823461,-21.385574,2
11.14315,3.6829793,2
21.863749,-25.44033,2
-31.896011,19.42873,2
-25.783752,-52.175102,2
-9.79875,41.20874,2
42.691044,-25.230637,2
-32.95077,38.644978,2
46.349113,5.508685,0
11.748643,-52.287926,3
-5.313285,-24.577906,2
17.860369,-24.012629,2
-2.5255404,-25.445889,2
-20.187782,-20.659903,2
-47.011475,28.959412,2
32.266872,-13.370138,0
-32.406178,36.48811,2
-29.643307,-50.701168,2
-36.20277,34.169613,2
-11.863271,36.579723,2
-42.0747,13.258294,2
23.539621,50.573776,1
-10.797338,38.169975,2
37.02959,14.324587,2
-29.570066,26.349901,2
23.472511,51.138897,1
-3.5363748,-32.140083,2
16.419825,-23.87826,2
45.77642,11.67287,2
5.6368046,29.1228,2
-11.044549,-27.8937,2
12.350116,21.849636,2
20.760748,-41.390415,2
-16.052647,13.944283,2
-43.01526,26.51064,2
20.698786,-30.800093,2
-10.026364,0.86550415,2
-36.699116,35.54595,2
61.103302,1.5881225,0
7.7232356,-31.462776,2
12.532705,48.898434,1
37.01537,-24.627726,2
1.8842576,45.940758,1
-31.881195,8.60251,2
42.365597,17.94048,2
-35.814793,39.88436,2
-23.11271,-43.093815,2
43.921387,4.700515,0
13.912128,53.872784,1
2.1062758,-0.65096134,2
-5.5161757,-23.904554,2
48.720657,17.6557,2
24.20203,-32.884228,2
-16.47839,45.840576,2
41.443752,-17.631706,2
39.80244,-15.576468,2
21.402159,-44.81793,2
-34.27716,-27.618025,2
-17.983465,-49.75896,2
-39.79917,26.66025,2
-39.924347,-34.957115,2
37.06711,-9.702987,0
-31.73375,38.869175,2
-4.0054417,15.015638,2
12.705634,-54.2239,2
-19.841629,-51.868607,2
44.3012,12.927915,0
-24.956942,-52.04745,2
-17.895462,-40.00113,2
-17.759573,-47.684517,2
32.230984,9.647046,0
7.728339,2.4795601,2
22.893484,-10.089616,3
34.3084,-7.4452543,0
52.73152,-2.5979066,0
-44.708557,-27.835096,3
-7.863856,-40.553684,2
55.449543,7.909758,0
-12.714838,-22.662708,2
48.830883,-3.2726698,0
-9.095563,24.559877,2
-20.509415,-7.8127894,2
16.797653,52.945972,1
17.026995,33.590332,2
17.462555,53.93365,1
28.291727,-44.956417,2
42.23345,6.2382717,0
22.725348,-45.34615,2
1.765638,-37.707108,2
-17.967712,-33.09163,2
-3.6680868,-5.3295007,2
46.57379,-3.2327483,0
1.2423513,-57.204453,2
0.5914283,-27.343847,2
23.214228,-8.211281,2
-36.685318,-42.98192,2
-42.48677,27.11649,2
-3.856407,-16.572403,2
12.9236965,42.390507,1
-12.827612,-4.533209,2
46.533802,6.559022,2
-15.896038,-25.326525,2
-27.30874,-9.518959,2
-3.6701608,-33.62038,2
-27.27421,0.34953544,2
-14.69279,-8.56959,2
-16.895721,-28.439938,2
36.044247,-21.38601,2
-31.054245,-41.00034,2
-4.8497486,-15.280057,2
51.969753,12.326068,2
15.428884,-4.248891,2
-20.245985,7.2060556,2
5.0135403,-32.357925,2
18.744009,-26.610052,2
27.758835,33.098343,2
-28.614239,29.641449,2
-50.44186,-12.769455,2
-1.1376266,13.075306,2
-2.824785,27.67255,2
-14.959764,0.37697738,2
35.767574,-25.276325,2
51.295933,-4.23849,0
41.72307,4.766437,0
-15.324685,27.146294,2
-15.7207575,-20.914476,2
27.921587,27.561539,2
-22.376408,-12.815781,2
-14.02166,43.36931,2
-54.951897,1.5186554,2
-12.804839,3.7875223,2
-17.22282,14.1352,2
27.648619,12.47874,2
8.987639,-7.2842183,2
-15.069761,-24.22093,2
-49.187084,-3.7004912,2
20.60625,-30.17031,2
-28.010555,2.3397558,2
-3.3092828,28.374819,2
-42.731785,-17.584206,2
-36.81725,27.417162,2
62.107044,1.7557851,0
13.634418,-5.0098534,2
8.033684,-22.492838,2
14.20351,60.538937,1
4.3475018,-58.332592,2
-25.503286,-5.1830745,2
-24.78352,8.899099,2
-46.228233,-4.849099,2
-24.935385,-6.2393613,2
-11.1847315,-42.104076,2
48.550884,3.3213482,2
4.813855,45.689022,1
-43.9774,15.414963,2
20.972498,-34.48538,2
56.905567,17.407711,0
14.333146,44.125896,1
33.018948,0.8585344,0
60.58485,3.6559749,0
2.9729426,-59.226864,2
-54.401283,-1.7720352,2
-21.781712,23.173365,2
7.198498,53.0798,1
41.515266,-21.830593,2
16.802975,-31.031258,2
-14.526645,40.398895,2
-7.7148457,-20.775818,2
3.870776,23.658064,2
-38.768505,30.200695,2
-8.50809,3.7132618,2
-30.923838,-11.863368,2
-9.548172,41.333035,2
5.2289987,49.9937,1
-8.497584,20.030157,2
26.024958,24.653025,2
-16.09343,-34.228626,2
48.012074,9.711072,0
-24.219082,10.339474,2
0.416644,-7.5965233,2
-14.052988,11.553453,2
-7.650693,-29.992046,2
49.887905,12.603722,2
-11.573157,6.5180597,2
15.775596,19.116379,2
21.429369,-7.2837677,1
-57.78433,2.448989,2
57.0261,-3.6999695,0
-42.634933,-3.9662511,2
-42.240986,34.83271,2
37.838245,-24.198956,2
15.136817,44.877945,1
-0.1489225,24.12237,1
28.77372,-35.3818,2
-35.649235,1.8337033,2
-4.646139,40.76903,2
-50.88627,3.7753556,2
32.23244,-13.581401,0
46.793457,13.787148,0
34.08111,-25.134964,2
36.215878,-0.23187435,2
17.215492,-38.98678,2
-22.542963,-23.05458,2
-13.499274,17.819344,2
