tsne-1,tsne-2,cluster
-22.026567,4.703732,1
-29.204382,-27.278992,1
-0.39043996,-27.771599,1
-57.36566,-1.0077362,1
27.371347,5.9113894,3
-25.036867,-14.816205,1
-7.746008,-5.5439725,1
14.163592,46.183605,1
38.87661,-29.621443,2
3.991128,-5.459756,1
-14.937843,-2.5801384,1
39.00595,-20.715473,2
-20.501955,-6.0602064,1
-24.077711,-49.80812,1
-52.080364,11.563759,1
-5.6185637,26.170996,1
-4.6337123,9.464708,1
-54.24123,-3.664445,1
-3.6176925,-12.162163,1
31.520037,-4.8163795,3
17.974733,45.166252,1
2.8518326,34.002575,1
-7.467191,27.626497,1
-0.22939166,29.407234,1
-6.5899625,-25.073019,1
-12.912864,9.970381,1
7.2799993,47.497047,1
-46.500675,-1.4443291,1
28.894339,-1.2092695,3
16.133287,-27.58466,1
-23.245289,-9.011869,1
21.429132,-25.61871,1
3.071892,-6.39462,1
-14.642141,42.37182,1
25.631062,-41.40832,1
-3.471345,-18.728407,1
35.910572,8.44917,3
-34.31965,-29.554005,1
-21.037758,-24.892859,1
-1.9558413,-39.716846,1
-0.40361598,50.9141,1
-32.643284,40.841724,1
-6.997724,-12.638432,1
45.52874,14.809262,3
-8.49866,7.0901637,1
20.208508,14.907645,1
-11.268704,-40.13666,1
10.798506,-54.297592,1
10.046745,51.51092,1
-3.6995716,34.549225,1
21.251656,-43.00509,1
-12.745793,-29.335138,1
-2.8295739,-35.77206,1
5.7585382,-50.5618,1
14.459248,-21.591711,1
-17.60035,38.584515,1
-49.104313,-7.996152,1
7.562547,41.112133,1
39.60573,-2.347818,3
7.0100574,-27.620148,1
-10.250081,38.232655,1
-15.920172,2.415542,1
2.0462444,-27.616446,1
-9.533293,-42.60877,1
11.173626,-50.622086,1
-18.763985,3.0647247,1
-9.935063,-16.650743,1
12.540349,30.287067,1
-23.824297,-42.93081,1
14.87725,-53.30426,1
48.652393,5.4886813,3
-10.052269,-0.30933845,1
28.769798,-33.504017,1
-29.800577,4.891164,1
-20.171036,-38.196712,1
31.36446,27.52161,0
-21.65462,-10.863038,1
12.987695,-54.788017,1
32.250797,32.94626,0
31.672709,24.798729,0
11.991572,7.059096,1
9.455234,-50.46581,1
-44.054226,18.317467,1
-10.0870075,-31.417488,1
7.085335,58.428013,1
-37.94997,-0.73344195,1
-29.926004,-37.920227,1
-3.191947,13.386679,1
13.948839,42.302246,1
-17.537493,-17.56756,1
-30.73118,-4.9189944,1
-7.3800364,36.6861,1
-7.621254,46.153282,1
26.696333,3.198795,3
24.074234,-31.83885,1
21.872452,-24.050457,1
58.19871,2.0982108,3
-12.729402,2.2501621,1
-18.447954,37.015476,1
56.213993,-0.37593558,3
22.003832,14.8125725,1
-12.913079,-22.576853,1
1.4000642,34.015278,1
41.421577,-26.597973,2
40.804134,1.3271087,3
19.84516,16.99483,1
-30.65408,-13.495066,1
1.9917157,31.167501,1
-44.393066,9.172117,1
4.6686416,-30.371626,1
-52.964985,11.1020355,1
1.9788817,-3.5865793,1
-4.967192,-49.74709,1
52.654156,15.162397,3
-16.793648,21.95267,1
4.401881,-21.648184,1
-10.882677,-26.947613,1
-39.029552,-16.472656,1
29.064037,27.50829,0
13.485008,-52.027195,1
-38.192036,24.000954,1
-18.365654,23.414827,1
-35.34185,15.718884,1
-2.3628836,-45.07656,1
-24.598349,27.656374,1
32.67231,12.731843,3
-25.259619,15.313627,1
13.080397,2.1365871,1
-16.690535,0.7165679,1
20.08998,10.175085,1
46.413315,-22.491116,2
10.816508,3.9317157,1
19.728163,18.712023,1
-51.42351,11.596241,1
-13.414278,-18.98626,1
-28.631144,3.18178,1
-37.137497,33.819733,1
19.024801,15.42003,1
19.716995,-2.122664,1
42.42386,-27.395372,2
34.585064,16.531662,3
2.2743976,-13.493069,1
46.534122,5.8714943,3
46.75175,9.717928,3
-18.941988,18.892206,1
30.39286,34.2954,0
9.578035,-4.6589966,1
36.02576,-2.5647657,3
-32.550095,28.49919,1
27.371325,32.60441,0
-21.11026,-48.39731,1
52.436558,3.6728394,3
41.659603,16.502575,3
16.93375,-10.089026,1
-5.894177,37.543232,1
-15.45569,17.848352,1
10.44947,49.54599,1
-10.41811,-9.316113,1
22.755743,-29.981464,1
16.93348,-0.57545745,1
2.0556335,-12.479213,1
-15.064484,-21.850105,1
10.283625,5.1492963,1
19.843029,-24.865559,1
-30.051188,21.28897,1
-25.304995,-53.549053,1
-9.418811,39.0405,1
43.455067,-27.653017,2
-34.868603,38.1906,1
44.225338,6.968923,3
12.348595,-51.07261,1
-6.8128576,-23.221567,1
17.47215,-22.830502,1
-3.0009346,-25.070292,1
-20.116133,-20.823395,1
-48.398346,25.792393,1
43.457367,-12.86427,2
-34.42198,36.57343,1
-28.653473,-50.806385,1
-37.919884,32.272232,1
-10.256651,33.874035,1
-43.80165,14.632689,1
11.257891,62.029778,1
-10.036448,35.303394,1
40.301704,-1.4786177,3
-25.796583,33.80837,1
14.138151,61.78227,1
-2.6538806,-31.540627,1
16.5759,-21.668316,1
45.08262,11.5171175,3
5.340564,27.946478,1
-10.790769,-28.196949,1
13.014727,24.312666,1
19.954666,-39.002975,1
-15.54302,12.763622,1
-34.48317,19.396727,1
19.914803,-28.827494,1
-10.067237,0.76653063,1
-37.94059,34.01131,1
56.23988,-1.3534523,3
7.3901343,-30.98431,1
11.858284,43.957478,1
39.993626,-19.306297,2
5.1795115,48.99454,1
-31.83796,8.238456,1
45.234222,-0.46058255,3
-38.030926,38.531757,1
-22.548708,-43.875103,1
39.85865,14.3879,3
2.885322,55.456036,1
1.8119912,-0.9526011,1
-6.5865655,-23.262548,1
46.593822,17.092533,3
24.13799,-31.324877,1
-13.667751,45.22119,1
38.877953,-26.557156,2
36.04053,-25.900345,2
21.223736,-42.944736,1
-33.16287,-28.685215,1
-17.52134,-50.05887,1
-32.155544,28.112532,1
-39.00962,-34.958206,1
31.679104,-11.76319,3
-34.239777,38.923046,1
-2.6839185,9.639657,1
14.16016,-52.094997,1
-19.38525,-51.61824,1
43.421547,14.289453,3
-23.331768,-51.825485,1
-17.322393,-39.96939,1
-18.591074,-44.306984,1
33.69754,9.799804,3
8.498693,2.713319,1
21.887377,-8.914651,1
32.097332,-7.905251,3
50.623104,-3.1253471,3
-44.262077,-29.03867,1
-8.035848,-39.796124,1
53.713295,14.473105,3
-10.9220705,-23.44256,1
48.452423,-7.130176,3
-7.7418113,20.046959,1
-19.857046,-8.657355,1
19.257471,54.894104,1
10.214103,16.054428,1
18.121193,55.50005,1
24.586031,-44.864502,1
37.962692,9.921545,3
22.561783,-42.505505,1
2.4102972,-37.321377,1
-17.676054,-34.330616,1
-3.4116333,-6.284612,1
45.27071,-5.637917,3
3.139619,-56.331703,1
1.1176068,-26.25372,1
19.190321,-9.241407,1
-34.507343,-43.991787,1
-34.294563,19.320654,1
-4.4262166,-15.123304,1
16.865263,47.837524,1
-12.377455,-4.751846,1
44.246017,8.893184,3
-15.557682,-25.587387,1
-28.292976,-9.883464,1
-3.2559867,-32.758957,1
-27.067083,-0.611989,1
-16.38164,-9.79746,1
-16.977661,-28.791636,1
37.075714,-20.968327,2
-29.189697,-41.327686,1
-5.2891855,-17.462442,1
49.112587,13.248569,3
16.541344,-2.4697158,1
-21.591114,5.4564114,1
4.812473,-32.251163,1
18.610193,-25.240408,1
27.695875,33.409283,0
-29.62592,28.49988,1
-49.637753,-13.499501,1
-4.769167,12.367204,1
-1.8645874,27.013983,1
-14.966932,0.8079258,1
39.743847,-17.85113,2
49.00406,-4.971729,3
37.408993,11.931782,3
-12.617207,19.584873,1
-17.310308,-20.72081,1
29.174541,29.549486,0
-22.46786,-12.508233,1
-12.542097,40.76477,1
-54.509464,-0.34688246,1
-12.660797,1.3444251,1
-16.14227,12.645697,1
31.660042,13.977539,3
8.911346,-6.894997,1
-15.412156,-24.209639,1
-49.156757,-4.1437516,1
21.076294,-28.537893,1
-28.367805,2.4436426,1
-1.7168646,28.564472,1
-41.991444,-19.518133,1
-38.892773,27.524588,1
55.00284,-2.4662306,3
13.856147,-2.2403917,1
