tsne-1,tsne-2,cluster
-23.285286,5.7363715,2
-30.728975,-26.923536,2
-0.759537,-27.961918,2
-58.90669,0.45265508,2
29.956709,8.722772,2
-24.976246,-13.599675,2
-4.6685667,-4.071213,2
6.456192,49.866077,1
35.28991,-27.704933,2
3.77464,-5.288518,2
-15.699675,2.775618,2
37.28959,-20.43745,2
-19.692202,-6.106069,2
-27.038994,-48.456318,2
-45.31046,3.6133559,3
-5.667096,28.388893,2
-2.8739693,10.095453,2
-55.169735,-2.1183753,2
-7.0218763,-7.185365,2
32.435192,-3.4851837,0
1.9481622,49.137947,1
3.3178804,33.61119,2
-7.4075685,27.274837,2
1.7656716,27.496218,2
-7.155831,-24.768732,2
-13.672603,11.467104,2
12.518172,46.704998,1
-46.558018,-2.2680671,2
29.857595,-0.95810705,2
15.190802,-29.239277,2
-21.705471,-7.5319147,2
21.637003,-27.512465,2
3.78596,-4.4372525,2
-15.930749,44.72793,2
24.50414,-43.309204,2
-3.4634206,-20.05035,2
38.523754,16.752132,0
-34.50818,-30.44726,2
-21.563225,-23.343899,2
-2.2228668,-40.40003,2
11.0378,53.155582,1
-29.664024,41.428703,2
-8.194511,-12.204701,2
45.489876,18.031996,2
-8.558258,7.709817,2
19.38811,12.941862,1
-11.571491,-41.86019,2
11.294827,-56.55147,2
6.7462835,63.472744,1
-6.910646,30.869799,2
21.459694,-44.688877,2
-12.304522,-29.274477,2
-3.9288688,-37.21437,2
3.930573,-51.730923,2
14.367374,-23.018188,2
-17.311792,39.523815,2
-51.82762,-7.467861,2
15.430668,43.984142,1
41.76768,1.5971639,0
6.8939767,-29.10318,2
-10.106391,40.216896,2
-16.30182,4.0847793,2
2.2852252,-28.719517,2
-9.234755,-43.51231,2
10.904484,-51.57151,3
-19.084084,4.192243,2
-9.075262,-15.374029,2
10.884974,26.711056,2
-24.475916,-44.004543,2
14.875343,-53.562874,2
50.136623,7.863667,0
-10.267653,0.017122783,2
29.160341,-34.844555,2
-29.84862,4.4528875,2
-19.607195,-40.421383,2
28.454723,26.596888,2
-20.162617,-10.039214,2
13.4724655,-55.262897,2
31.837444,32.035084,2
27.697071,24.255293,2
13.351059,5.385756,2
9.427705,-51.77404,2
-49.299854,17.68286,2
-10.121198,-32.378315,2
14.356605,60.201595,1
-38.90147,-0.85731006,2
-33.08453,-36.626457,2
-0.08894291,13.262281,3
6.1632123,51.160255,1
-15.964972,-18.075462,2
-31.546352,-5.937368,2
-7.686989,37.238396,2
-7.308414,47.336716,1
30.107346,6.2080545,2
23.641817,-32.93547,2
22.576025,-25.868353,2
59.42892,-1.1242589,0
-12.274918,4.0690756,2
-18.117409,37.5842,2
55.711407,-2.7082975,0
21.034409,12.948691,1
-14.843496,-22.034235,2
4.419133,32.464054,2
42.870766,-26.012932,2
42.941525,2.423734,2
19.545048,15.795364,1
-31.78978,-9.041983,2
2.7073565,33.54009,2
-44.137905,10.104722,3
4.1138215,-30.95329,2
-45.233036,2.594927,3
2.4125533,-1.6082332,2
-4.6837344,-50.50771,2
50.136803,17.994774,0
-10.061831,19.861168,2
3.8355286,-21.588394,2
-11.412499,-27.505928,2
-39.91513,-15.730288,2
26.811687,27.69448,2
12.396365,-52.74804,2
-40.601738,24.759684,2
-11.64452,18.037962,2
-40.25307,17.874672,2
-1.9263114,-45.501465,2
-27.782316,22.408524,2
33.730927,15.330697,2
-26.29171,16.380009,2
14.312823,0.7109077,1
-14.602465,5.880979,2
20.134548,8.392105,1
