tsne-1,tsne-2,cluster
0.032050572,0.3400202,2
0.0713434,0.7692414,2
0.028635427,0.3026952,3
0.06670719,0.71860284,2
0.077988565,0.8418412,2
0.05214806,0.5595411,2
-0.06731624,-0.7453645,0
0.02438109,0.25628906,1
0.06771859,0.72966117,2
-0.06562918,-0.7270036,0
-0.042072706,-0.4696319,1
0.05126353,0.5498792,3
0.03136049,0.33252835,1
-0.08072231,-0.8918761,0
0.018872926,0.19611543,1
0.06275763,0.67545116,2
-0.067906745,-0.75183976,0
0.08096511,0.87434685,2
-0.08208909,-0.90677935,0
0.06100448,0.6563109,2
-0.08003789,-0.88439804,0
-0.077728756,-0.859177,0
0.040184565,0.42883042,3
-0.07832281,-0.86562777,0
0.0051910514,0.046678875,1
0.04916663,0.52697605,3
0.04902611,0.5254145,3
0.078117855,0.8432544,2
-0.07772467,-0.859127,0
-0.08083376,-0.89309615,0
0.0133842435,0.13616586,1
-0.07950228,-0.87854874,0
0.05153037,0.5527717,3
-0.043686986,-0.48726833,1
-0.08186337,-0.90429884,0
-0.01322459,-0.15447932,1
-0.08377624,-0.9252125,0
-0.0829824,-0.91654897,0
0.01637767,0.16887297,1
-0.054069288,-0.60058564,1
0.029390298,0.31095344,2
0.010481882,0.10444709,1
0.02507604,0.26377413,3
-0.077256925,-0.8539919,0
0.062748104,0.67535466,2
0.054044295,0.5802416,2
0.07721243,0.8333567,2
0.04659254,0.49882224,3
-0.04242774,-0.47356614,3
0.080134414,0.8652796,2
-0.055004597,-0.61089027,1
-0.07885682,-0.8714692,0
-0.013718584,-0.15988182,1
-0.031565383,-0.35483852,1
0.011218322,0.1124915,0
0.063369915,0.68214726,2
0.05735414,0.61639917,2
-0.08276432,-0.91414464,0
0.0018789606,0.010502761,1
0.06281347,0.67607653,2
-0.077226676,-0.8536894,0
0.05005325,0.53664863,3
0.042734865,0.45670274,3
0.07092777,0.76469934,2
0.038298734,0.408263,3
-0.08216439,-0.90759414,0
0.082694106,0.89324254,2
0.055137653,0.5921982,2
-0.030424934,-0.34233627,1
-0.08228196,-0.9088905,0
-0.08073547,-0.8920177,0
0.049858253,0.53450316,3
0.082187474,0.88770914,2
0.080812536,0.8726871,2
0.058296762,0.62672293,2
