tsne-1,tsne-2,cluster
0.0322991,0.34165487,0
0.071701124,0.77086604,0
0.028874729,0.3043308,0
0.067051984,0.7202287,0
0.078364685,0.8434642,0
0.052452356,0.5611706,0
-0.06734401,-0.74370456,2
0.024607593,0.2579256,2
0.06806609,0.7312867,0
-0.06565157,-0.72534424,3
-0.042030275,-0.4679785,2
0.051565606,0.5515089,0
0.031606298,0.33416313,2
-0.08078701,-0.89021283,3
0.019083574,0.19775337,2
0.06309147,0.677078,0
-0.06793611,-0.7501798,2
0.08134952,0.875969,0
-0.08215766,-0.9051157,2
0.061333403,0.6579382,0
-0.08010065,-0.8827351,3
-0.077785105,-0.8575145,3
0.040456023,0.4304631,0
-0.07838102,-0.86396515,2
0.005364552,0.048320323,2
0.049462784,0.5286064,0
0.049321886,0.52704483,0
0.0784943,0.8448773,0
-0.07778097,-0.85746443,3
-0.08089881,-0.8914329,3
0.013580515,0.13780525,2
-0.07956356,-0.8768858,3
0.051833484,0.5544014,0
-0.043649107,-0.48561445,2
-0.08193138,-0.9026352,2
-0.013102101,-0.15283321,2
-0.08384951,-0.9235485,2
-0.0830535,-0.914885,2
0.016581617,0.1705116,2
-0.054060306,-0.5989291,1
0.029631509,0.31258875,0
0.010670258,0.10608727,2
0.025305511,0.2654106,0
-0.07731215,-0.8523295,2
0.063081935,0.6769816,0
0.05435421,0.58187073,0
0.077586405,0.8349798,0
0.046881642,0.50045323,0
-0.042386036,-0.47191262,0
0.08051618,0.8669024,0
-0.054998413,-0.60923356,2
-0.07891636,-0.8698064,2
-0.01359772,-0.15823554,2
-0.03149396,-0.3531879,2
0.01140877,0.11413146,2
0.06370543,0.6837738,0
0.057673175,0.6180273,0
-0.08283491,-0.9124809,2
0.0020430067,0.012145113,2
0.06314734,0.6777034,0
-0.077281654,-0.85202706,3
0.050352182,0.5382787,0
0.043013044,0.4583347,0
0.0712843,0.76632404,0
0.038564593,0.4098961,0
-0.082233235,-0.9059305,2
0.083083324,0.8948641,0
0.05545035,0.593827,0
-0.03035039,-0.34068578,2
-0.082351,-0.90722686,2
-0.080800116,-0.8903545,3
0.050156377,0.53613335,0
0.08257519,0.8893308,0
0.08119655,0.8743093,0
0.058618233,0.62835085,0
0.057276975,0.6137127,0
-0.06315913,-0.6981335,2
-0.07753666,-0.8547774,2
0.020173836,0.20962906,2
-0.07781422,-0.8577814,2
-0.07904624,-0.87125206,3
0.08377753,0.90242904,0
-0.045137975,-0.5016942,1
-0.08148335,-0.8977752,2
-0.07613498,-0.8394804,2
-0.07970775,-0.8784407,2
0.06857896,0.7368375,0
-0.07793839,-0.8591661,2
0.057432696,0.61539483,0
0.041415624,0.44095245,0
0.07364298,0.7920165,0
0.01988752,0.2065144,2
-0.078903,-0.8696866,3
-0.071610175,-0.7902493,3
-0.084256284,-0.92797744,2
-0.060367472,-0.6677451,2
0.011905865,0.119573325,2
0.013162422,0.13318752,0
0.07851458,0.8450949,0
0.04001739,0.42567074,0
0.051562894,0.5514566,0
0.05506587,0.58962655,0
-0.080574356,-0.8878945,3
-0.07948729,-0.87601316,2
0.04191408,0.44641727,2
0.043061893,0.45884573,0
