tsne-1,tsne-2,cluster
-15.653183,32.903698,4
22.376833,-16.575771,13
17.84651,-7.010027,13
-26.621529,-12.021715,4
-0.30575752,-5.1443434,13
-18.236645,-23.746231,4
-44.9326,59.15023,13
-32.008114,-13.5017,13
17.32038,73.567955,13
-39.246002,53.384712,4
19.539959,4.2484274,13
-24.108301,52.169876,13
34.545464,-46.80426,13
50.72243,-29.151384,13
-36.4054,38.544456,13
-11.886433,23.08416,13
37.033768,34.66716,4
-27.66705,39.361916,13
-15.524956,-13.530509,13
-19.35754,65.15535,4
77.036095,16.429903,13
29.46485,-1.0189784,4
2.5680318,-15.709078,4
-0.7326855,8.267854,13
22.8353,43.836525,4
-6.3885565,13.575328,13
33.15675,2.5549555,4
10.93108,38.704453,13
-49.10136,31.586674,4
23.175673,18.037577,4
-6.283637,-14.108842,4
42.42169,38.76379,4
-6.903651,-18.729885,13
-10.107835,1.8561018,4
-12.717581,6.812153,13
36.821766,-19.19599,13
31.12283,41.73633,13
27.017275,-8.892472,4
32.184826,53.80729,4
20.021744,-10.468127,13
-31.888954,8.8812685,4
33.368633,-19.140148,13
6.6291013,-33.183567,13
9.5278845,-18.23304,4
38.431007,-39.805935,13
-38.238735,-36.582207,13
29.636976,16.93067,13
16.169659,3.3259516,13
34.406902,-25.45186,13
-7.0222354,29.862179,13
30.175352,-50.900284,13
-40.384266,-2.612446,4
-42.71005,23.733788,13
53.705627,-11.669313,13
19.900465,-33.23189,13
19.581577,-45.58013,4
63.203667,13.721832,4
-1.3086323,20.220856,13
3.5534723,24.666233,4
-31.498024,-62.961334,13
8.692832,45.07101,13
-28.200678,27.42241,13
-10.880094,19.171854,4
-53.12261,-58.20583,13
15.484688,-27.067307,13
-53.238197,-20.001831,13
-4.812318,36.477226,13
22.925642,2.172224,4
-33.94029,-5.423681,4
-20.69671,30.319555,13
-35.712814,0.6038379,13
-26.873846,-0.40008235,13
-22.482391,4.8321834,13
15.919673,-18.90028,4
-37.607494,22.302986,13
-20.5144,-54.58952,4
-28.827545,-15.149841,4
-3.9688003,39.796124,13
9.381483,-10.680285,4
-67.54937,-2.4567626,13
28.125134,-33.55777,13
-3.559766,14.277248,13
6.589143,-5.769411,13
-6.725987,21.03047,13
49.500607,18.408434,4
62.51167,-27.287624,13
21.276415,-28.487637,4
-14.1411,-22.407726,13
-6.092323,51.397064,13
-61.634098,24.977852,4
23.870377,-7.5789948,13
-0.17987715,-40.905758,4
-53.22993,-32.958164,13
-47.12678,10.923647,13
2.9064755,-5.0162554,13
-0.6434013,-24.439117,4
31.101412,62.98453,13
0.6224107,-62.79033,13
9.35028,-31.659916,4
-1.6041486,-7.209379,4
-16.85326,-62.10194,13
-48.57535,-16.23882,13
69.51157,-23.551453,13
-23.504301,-46.945454,13
11.463151,-21.781622,13
-14.578208,56.58134,13
14.168572,20.92756,13
27.314083,56.785706,4
-4.091891,45.396473,13
4.346414,-57.30027,13
50.561653,-35.23103,4
-37.96829,-7.9458327,13
65.327446,-17.687283,4
-13.985676,19.382723,4
-39.67486,7.8492823,13
47.507793,-18.818422,13
-57.558857,-16.593155,4
0.27260765,28.583452,4
0.9317648,-6.9033213,13
-35.259518,-56.706352,13
-36.131897,32.059933,4
31.580256,36.56352,4
-8.7139015,-33.05231,4
-38.290634,27.030039,13
4.044271,9.42505,13
-10.752482,39.943558,4
39.23242,47.423866,13
-14.597015,-45.2795,13
32.083694,-68.172005,4
29.536068,31.563679,13
14.424943,24.198898,13
2.190166,-17.903015,13
-33.97457,26.540451,4
5.7938876,-15.174222,13
-16.728704,-34.72754,13
-6.414105,-35.5304,4
59.251034,25.43961,13
10.048806,-0.8187378,13
70.45592,11.197616,4
-45.149696,26.077349,4
77.68882,-21.20819,13
9.172408,-12.91998,13
42.564476,-21.619884,13
-3.9570174,-52.820797,4
17.503017,65.49356,4
11.715519,-48.4837,13
27.15307,-28.379255,13
-35.20237,7.772433,13
13.851235,-66.12603,13
20.95614,-0.70631975,13
-44.18732,-54.415066,13
-0.66540974,41.749165,13
24.734701,51.065647,13
-17.128962,-1.0255647,4
1.802312,17.446455,4
-12.602978,8.580894,13
32.361217,-32.99232,13
-50.115482,25.543098,13
8.96802,-6.5797114,4
-70.14611,7.8263063,4
0.84961253,60.138023,4
-8.580636,-4.7644153,13
-11.962055,35.811584,13
8.091755,-15.711897,13
56.5485,-23.812334,4
-5.1000123,68.72372,13
-22.447681,-6.867484,13
-9.950638,2.3559067,4
-18.936842,-49.03,4
11.402082,-58.238876,13
-47.310287,36.990932,13
-12.836552,15.629124,13
-55.3746,-40.203617,4
-65.39313,12.919165,13
-21.208889,58.31735,4
