tsne-1,tsne-2,cluster
-19.074696,22.44942,2
25.03998,-13.463361,2
7.7685857,-8.360956,12
-12.920381,-14.633149,0
8.202508,-1.2438694,13
-14.843954,-23.808746,14
-40.128475,61.94659,7
-28.464247,-13.159297,0
13.242355,58.54064,13
-38.718243,43.241245,9
25.405169,1.7504342,13
-19.137852,47.086773,7
31.915281,-50.333187,7
35.63594,-29.460232,1
-34.902557,46.845013,7
-9.863939,14.350293,4
35.54082,48.822678,1
-26.636683,39.115543,5
-6.074079,-9.308434,0
-23.819891,71.44154,9
72.901405,13.651817,1
25.326015,-4.292301,13
-19.361853,-16.095236,10
-7.578953,2.0489268,13
29.429413,46.09527,9
-10.952712,16.207697,7
39.314087,-1.0158525,2
10.186922,27.029066,13
-49.157166,30.453049,13
16.153082,13.697182,11
-4.376802,-16.05132,4
38.274395,37.996864,1
14.120301,-12.969534,4
-5.8335047,0.73379046,4
-17.85803,7.7797437,6
28.647535,-11.735995,1
23.676075,38.218266,10
21.733974,-10.379284,5
28.51311,60.934742,9
11.078173,-3.9001815,10
-27.109371,-6.4774275,4
14.47446,-17.266659,13
-2.3786554,-36.377583,13
15.412197,-19.715706,13
39.5103,-26.90129,1
-49.75956,-22.694252,1
19.06908,31.468834,13
16.494736,-4.0824986,13
31.458412,-23.573921,2
-6.6025457,26.317513,1
24.7765,-40.627,13
-35.045322,-1.4468719,13
-47.559746,18.822096,4
55.560745,-10.262904,13
-13.486709,-37.08575,9
4.86631,-44.56179,9
58.019516,16.058828,9
-1.1466811,22.568527,13
1.3768735,33.524876,3
-34.57346,-61.40958,3
18.516153,28.109299,1
-36.17991,19.16721,10
-7.135476,16.043337,13
-49.994858,-54.360764,2
7.141295,-20.114542,3
-50.926693,-17.434778,10
25.957455,30.225765,10
22.70482,-0.8491139,13
-31.626698,10.711973,0
-19.8953,28.940685,1
-28.178825,4.562106,0
-10.39714,-10.051681,4
-25.17786,4.774132,13
20.186628,-16.41426,13
-48.70532,24.043104,7
-15.719788,-46.298923,1
-39.393677,-14.968721,13
-2.7887182,38.418182,1
11.056805,-12.61932,13
-65.036514,0.60012865,9
34.578434,-41.569286,9
-2.6345806,10.801635,13
6.7738147,-14.260369,4
-4.6364293,10.62376,4
48.96921,1.3463365,2
55.03773,-39.719143,10
16.815289,-37.029102,5
-10.71818,-24.38816,13
-1.4680979,54.04957,9
-60.041275,24.813229,9
17.847914,-6.8667145,13
6.3129306,-28.683098,10
-42.866104,-29.23256,3
-49.563877,0.33036184,6
-3.9948564,-10.80611,4
-3.020592,-31.075777,13
34.74266,57.218918,10
-24.054367,-52.59574,5
15.612358,-26.13725,4
4.8238,-16.058985,5
-13.464501,-57.360767,9
-43.112923,-15.734581,3
62.83993,-34.590744,1
-25.690088,-45.04485,14
17.19974,-12.902445,13
-8.636217,58.67334,2
20.087317,19.434309,4
24.153208,56.099857,5
-4.3777843,45.352875,1
7.9476986,-60.44968,5
44.98859,-27.766064,13
-16.317575,1.551998,5
64.99439,-19.937702,1
-12.358978,2.2637947,1
-21.25843,19.501883,6
30.172598,-36.56628,1
-55.530857,-21.285122,5
-6.6319823,30.422523,13
0.25778565,-9.677241,4
-28.559296,-56.498955,9
-26.835482,22.860819,2
30.682262,32.208496,9
-19.563549,-36.52753,7
-37.85465,15.373158,4
-13.554551,-7.3557878,13
-9.254529,29.705492,5
40.435867,43.556484,4
-3.169004,-48.80597,9
30.67167,-68.43495,3
31.791168,23.848803,10
16.874464,21.595793,13
2.1850007,-17.304014,13
-37.552017,28.344767,1
4.7993293,0.5517631,4
-29.583435,-41.577988,0
-10.215512,-34.42741,3
60.27576,26.988098,1
12.477616,8.215807,4
65.035225,13.612145,9
-43.39966,30.120815,13
73.32892,-18.084812,5
4.471919,-5.2957454,4
29.382828,-19.631315,3
-0.7498276,-44.320587,0
19.24346,61.708035,1
10.165147,-44.364597,13
31.228575,-28.095982,1
-38.64841,7.1119094,5
16.685793,-61.20508,2
14.71236,9.800134,13
-50.524925,-39.48418,9
-5.1714253,17.174232,9
24.18009,50.087402,1
-21.044876,2.0029974,13
-0.26367125,17.887138,4
-3.0235302,19.906504,1
30.394964,-15.48026,1
-35.42953,24.296247,9
-2.5301852,-19.703472,13
-69.7377,7.2534833,13
6.2284446,49.883747,9
-18.832836,-7.2382517,13
10.999005,29.304516,1
4.8047476,-10.199608,4
56.046066,-30.762672,5
-5.7119455,65.16372,2
-24.950829,-11.56601,13
10.889853,0.023959275,4
-19.546658,-42.53411,4
9.018368,-54.80524,3
-39.482075,33.28511,2
-7.816354,6.5341597,13
-54.247627,-34.247894,2
-66.178215,13.099096,4
-20.66302,58.492172,4
7.5578613,5.809628,4
10.696412,10.497665,13
-47.315548,43.085464,5
-34.652996,13.847615,13
19.753485,1.982924,1
-18.78191,16.060747,13
38.123055,-20.8005,10
-11.016179,26.857042,13
-6.2117805,-32.430508,4
1.613005,-21.080275,13
-3.6677492,-40.065422,13
18.39763,53.944923,1
15.197745,-46.005653,1
47.123913,31.697462,13
-12.968858,-27.212124,4
-41.451347,18.835842,1
-3.2936542,18.506287,4
11.54201,-49.955242,13
40.993088,53.436695,13
-12.899896,7.3027787,4
-43.435112,-24.60845,13
-52.080387,51.036026,3
-24.112947,47.992027,7
-20.117899,64.55157,5
-34.40005,33.065113,3
36.27019,5.4405437,1
43.04378,-22.68652,2
-40.82447,12.5432205,1
4.9723735,35.23926,9
42.70859,-39.30451,1
-6.842904,-19.92327,13
0.28366905,-2.034666,4
-40.84205,-56.559494,7
-10.993754,32.822117,4
-28.004076,-69.19156,13
-15.836328,17.043537,13
-5.513265,-3.8812504,0
-3.8185718,26.572739,6
-39.380062,-34.76939,3
51.127533,-6.5383277,13
23.326487,-18.657219,14
-29.623022,48.608543,5
-3.5895076,-63.86798,13
-16.2366,-8.4464655,4
-5.6654005,-43.76575,1
1.7521633,-48.880642,1
-7.9548864,-72.33666,10
62.807373,-6.6086607,1
-13.244431,7.8552375,13
-7.2664003,-13.305965,11
-52.34197,5.8431287,3
-28.18632,13.994599,5
-51.85627,15.201687,13
-21.407196,-47.35604,4
-33.80141,1.1952856,1
-33.43132,-8.953704,10
-41.654404,-8.0556,13
10.67699,5.752348,13
21.52503,-0.9114017,1
-42.976456,48.114895,1
-56.91954,-16.370243,1
-31.417099,-4.5289817,1
-21.730984,-22.021994,13
-17.417019,27.995104,5
-43.540016,-38.577877,13
-59.51658,-40.828922,7
10.728813,14.893229,1
2.3344758,25.130024,13
-11.159776,-20.698622,1
50.16898,7.59872,13
-47.31993,-13.249103,7
-25.34275,19.239305,0
17.53175,-1.2645869,13
-8.358822,42.397842,3
-34.86915,38.602695,5
10.552002,-10.0192795,13
-32.95921,-27.269873,9
-6.274427,3.9964046,13
28.097063,-7.874511,7
-74.44757,-0.4368731,5
11.61048,-72.682976,0
-9.951297,-64.88721,2
28.681889,-45.988163,1
-25.171272,33.541416,14
-26.65158,60.373013,1
-48.572502,-28.425308,7
-34.349964,-52.170643,9
34.201168,28.751707,3
-15.725506,-22.946653,6
46.533314,-58.18541,7
-43.048203,-2.6841168,5
25.675919,5.5808897,10
26.00845,-21.573637,13
22.855402,27.370113,3
-19.768665,-1.2182784,13
14.4932165,17.025486,13
-1.8593153,4.7873917,4
-56.49862,-3.919085,13
-24.674791,-33.8078,2
-7.491262,-58.244846,1
-36.563587,-19.485395,10
39.105526,7.7778277,10
