tsne-1,tsne-2,cluster
-22.851696,7.923484,4
20.772743,29.223747,13
11.926206,6.0224276,13
-14.813459,39.97592,4
5.983041,-6.595761,13
-30.650513,-14.733024,4
-56.138985,18.35767,13
-17.285006,6.815611,13
-33.279724,-64.83675,13
-63.154163,-6.8702645,4
-4.224876,20.935135,13
-36.241795,41.545242,13
42.081165,-23.362167,13
37.967533,-64.46422,13
-54.976387,-20.034298,13
-5.089165,6.977479,13
36.997646,-50.81244,4
-50.29095,18.414686,13
-16.596638,-26.360558,13
47.17856,-53.5093,4
25.026754,-59.11812,13
37.647476,8.376117,4
15.058997,0.031428486,4
2.651528,-15.401793,13
16.533493,-50.121006,4
-4.8626866,-2.070463,13
29.048029,19.303318,4
16.745018,17.025398,13
-37.696617,2.1003025,4
15.69817,-1.3419185,4
20.890814,-10.061522,4
40.99646,11.847508,4
11.973367,16.333614,13
-8.846957,16.469038,4
-24.68741,4.3854,13
35.762787,-20.078337,13
-9.845573,61.54822,13
8.673896,22.423916,4
-18.839003,-57.64747,4
-2.6292346,-1.281122,13
33.526638,-2.9549234,4
17.427706,26.688786,13
11.5972,33.675,13
16.875027,9.517702,4
26.22469,23.274952,13
52.094204,-1.0187964,13
28.334225,-9.064278,13
11.036011,17.615519,13
-24.466576,71.20129,13
-31.13057,15.314112,13
15.418656,63.81263,13
-43.362595,13.102125,4
-32.83006,-25.503916,13
9.432651,-36.015694,13
-16.777163,60.321693,13
25.295658,50.971077,4
28.286081,-50.122906,4
-16.819408,12.539884,13
-8.998795,34.71955,4
-30.007282,57.234913,13
39.4096,-33.687263,13
-16.914597,18.988586,13
7.924686,12.921254,4
-60.927094,-22.825268,13
32.952034,-18.744831,13
-41.484585,26.271698,13
41.01593,-14.070215,13
-17.088766,-20.118086,4
6.895989,16.947939,4
-35.199482,25.885174,13
-21.70649,-18.605257,13
-19.559147,-30.594992,13
-30.87525,6.749133,13
24.56138,3.426099,4
-35.486397,29.325506,13
54.927086,-50.09009,4
-27.268478,-11.272649,4
-34.4079,-34.89457,13
19.221962,12.765852,4
-45.29249,-29.11924,13
24.411755,11.550126,13
3.4415586,10.749177,13
15.118292,-2.7503462,13
-5.3110867,-11.902425,13
23.232258,68.79207,4
40.18262,-27.760101,13
35.084663,-15.181395,4
-7.2114725,11.684459,13
-21.421488,48.490135,13
-58.585144,7.4925823,4
13.120952,-23.355783,13
29.5523,11.841441,4
-36.256172,45.55816,13
-8.560254,37.32915,13
-1.1469474,-9.465738,13
-0.8119874,34.06178,4
-35.33224,-46.735947,13
50.246986,-17.287209,13
5.885377,-13.832383,4
24.30809,19.501978,4
-13.23924,-76.74638,13
38.771164,16.234196,13
66.964195,16.531015,13
-22.720928,-27.133028,13
1.9583077,35.591816,13
-13.630908,-35.411633,13
-7.701317,-23.936922,13
5.0891776,-71.32572,4
46.294884,-22.060713,13
37.56194,41.94513,13
71.136986,24.620462,4
-39.754517,-0.40460175,13
57.614616,-34.293552,4
10.572006,-20.637802,4
-17.132133,20.4783,13
28.326157,36.655025,13
-40.031612,-19.881046,4
-10.429752,9.614827,4
-2.7544982,4.145397,13
39.14867,54.687798,13
-27.931572,44.52178,4
-4.7697906,56.97314,4
12.686193,-28.862772,4
-27.959158,32.01271,13
11.038021,-19.21641,13
-20.626562,-39.049767,4
-1.2452348,-47.70266,13
41.85786,-45.974144,13
59.545322,29.198736,4
19.69124,-35.577595,13
5.914085,-34.58028,13
32.404972,24.381357,13
-35.971836,35.18995,4
-15.097882,-8.745543,13
-32.850044,-15.151639,13
0.7219454,-36.471394,4
6.408976,-59.460304,13
7.9338517,-15.026018,13
69.760185,-3.294177,4
-23.6153,22.442284,4
29.442972,-64.94283,13
4.637135,-11.950251,13
-31.434149,64.46462,13
-28.330835,34.413635,4
-7.8276954,-53.453697,4
30.13269,-2.234937,13
42.10517,-7.532452,13
-43.07015,-5.437091,13
64.75588,-8.416581,13
14.63768,-24.359207,13
-58.13399,31.908985,13
-4.1429834,33.71448,13
4.2615256,-64.81042,13
-9.744498,-14.896732,4
-24.454361,-9.034471,4
28.239334,-32.84024,13
9.28398,66.06292,13
-13.374155,-39.3903,13
13.403783,21.836943,4
-31.599209,1.6426733,4
-43.249485,2.8388894,4
11.36118,8.200224,13
14.622858,24.588923,13
16.514214,11.231312,13
57.071198,36.105377,4
-36.5078,-56.891735,13
-29.286129,-22.186815,13
11.008104,12.765478,4
-25.117924,-68.58235,4
60.268814,-13.573942,13
-66.5181,-1.787249,13
-5.22982,-14.538451,13
-49.076458,11.124649,4
-46.631916,56.26326,13
-51.00249,-32.8085,4
6.903053,19.266766,13
-27.202465,-8.143311,13
-64.93757,-16.174387,13
-39.089993,-25.621517,13
14.397781,-16.133888,13
-13.425596,-3.8921537,4
-15.87054,41.92649,4
-9.928499,-24.16188,13
31.841158,-8.092693,4
6.502297,-22.60659,4
33.268597,-28.166199,4
40.71801,-40.128597,13
-2.7912016,39.09977,13
3.4955213,54.94433,4
4.4165792,24.501356,4
6.889896,-39.97153,13
-15.26007,3.5228562,13
-15.139826,-51.519127,4
23.202131,-46.302425,13
3.1102865,10.200732,13
-31.42548,39.977154,4
-52.056362,-54.20398,13
-49.004025,-25.464146,13
-37.19729,56.009476,13
-38.51065,15.189678,4
5.7117686,36.78847,13
51.540123,-27.98173,4
-33.81156,23.243288,13
-13.924448,17.491297,4
54.95191,47.883793,13
-8.402535,14.721903,13
0.36801022,8.681478,13
-66.778046,-34.82193,13
-29.843803,-26.949772,13
-20.152231,-62.73144,4
29.099607,-18.70839,4
10.296173,-3.010464,13
-5.8593183,27.75403,13
44.842583,-34.855484,4
28.285023,47.03142,13
37.411964,11.797109,4
-57.7894,-16.422415,13
20.606388,-25.132158,13
-19.01265,-13.896576,4
21.945618,-39.877502,4
38.279274,34.975033,13
-25.148287,-51.860676,13
53.774452,20.690865,13
-12.730973,17.684103,13
-1.327693,25.523819,4
-50.17663,-6.0432897,4
16.472853,28.864714,13
-38.884563,-5.7025642,13
50.944923,-1.3035715,13
-24.756145,-11.457005,13
-37.49186,20.733313,4
-35.246204,-30.68423,4
-5.8447137,-3.8744602,13
30.091694,-12.83214,13
-62.446476,19.258638,13
-48.630863,23.500998,13
-21.402983,-19.59714,13
-28.336962,38.3942,4
3.0335786,21.719336,13
-59.18818,25.207426,4
-42.61911,-60.966026,4
16.228191,15.634379,13
1.2707269,3.8335438,13
35.788464,-11.966448,13
33.40888,-41.886345,4
-40.569923,-17.124092,13
-38.373867,6.602125,13
3.0768328,24.711748,13
20.520391,-24.990997,13
-48.467896,-19.113476,4
-2.2974117,-12.9411125,13
-9.866312,-35.416187,4
-3.125013,-0.12747374,4
37.88553,3.711434,4
-73.38025,4.8861237,13
40.400578,-56.83748,13
10.172306,-57.016483,13
55.07981,9.375062,13
-23.962702,19.546885,13
