tsne-2d-one,tsne-2d-two,cluster_label
-53.4438,-10.262106,0
38.16036,-8.907151,0
-19.411802,-1.3127557,0
-97.11587,12.662901,0
40.31354,28.325205,0
67.28644,-52.712765,0
-123.665665,-3.1686153,0
-69.16366,-8.233553,0
8.927916,7.671566,0
-38.551636,-4.627862,0
7.0094833,46.31238,0
16.960964,49.945175,0
95.72993,-14.139546,0
-104.677895,-32.69703,0
-52.587456,87.30693,0
8.45592,-84.73413,0
-56.85053,-105.52745,0
-73.85939,37.401287,0
82.77481,25.198698,0
23.421688,-52.464443,0
-38.17676,-53.369057,0
-47.56491,85.87851,0
8.6911955,-83.03918,0
-51.86919,-97.458954,0
-76.724106,40.20198,0
81.20303,68.47573,0
37.94973,-73.882484,0
-46.75503,-50.54301,0
-70.044075,-7.1975594,0
12.673186,5.457981,0
-23.706762,2.4607956,0
4.694821,68.38445,0
17.085913,40.924694,0
98.44609,-38.82247,0
-119.59618,-13.327115,0
-28.686035,5.025445,0
45.398293,-4.0200033,0
-18.115591,-14.326607,0
13.019078,90.25688,0
67.43648,72.915764,0
-23.439283,-104.96098,0
-81.56701,-43.970375,0
-30.743515,23.724062,0
48.71776,2.2764375,0
12.280958,-7.4184203,0
21.256752,94.80413,0
37.18211,54.086525,0
106.41952,-19.448036,0
-89.4991,-39.460358,0
-45.362392,-10.336313,0
15.286216,8.837908,0
-21.849602,-0.8376015,0
5.722644,60.551014,0
66.16243,71.66457,0
107.65813,-14.631827,0
-105.724724,-31.961758,0
-25.70992,99.45599,0
65.8047,-4.735592,0
-13.908116,127.04094,1
20.431051,111.46663,0
71.74508,34.103916,0
87.887375,-64.19517,0
-79.89867,-42.19315,0
-45.861282,-33.858387,0
51.166626,-18.526777,0
-7.5053053,-28.151052,0
12.942289,88.22131,0
58.328434,36.51382,0
-20.625544,-116.346725,0
-59.770466,-26.845861,0
-28.497688,3.4966452,0
35.669807,12.24821,0
-13.103565,-7.4989824,0
4.805775,75.56319,0
47.32479,79.44451,0
99.36113,-4.746501,0
-72.66344,-39.387608,0
-36.78519,2.160654,0
13.398178,2.5226462,0
-17.548874,7.524685,0
10.24509,67.2562,0
19.818022,40.779648,0
103.56027,-36.032795,0
-123.35978,-18.1871,0
-43.49733,84.91775,0
27.465601,-99.90728,0
-51.11732,-94.49375,0
-86.273476,48.705475,0
82.01864,33.85227,0
43.468853,-58.562836,0
-43.872204,-54.397755,0
-81.54268,-81.55859,2
50.97515,-107.99283,0
-50.6347,44.926605,0
-83.21277,70.744286,0
100.392525,37.189938,0
72.46704,-81.917305,0
-39.021816,-42.708164,0
-29.658075,86.88898,0
17.752102,-105.36753,0
-44.278015,-84.56178,0
-85.702644,31.197596,0
88.1285,51.5248,0
35.599983,-72.49266,0
-53.61897,-41.0619,0
-26.74638,60.803307,0
9.447755,-85.42479,0
-49.521023,-89.41529,0
-83.72262,42.50428,0
96.15253,27.577772,0
43.78241,-57.59046,0
-16.765614,-57.53148,0
-59.637264,0.35799247,0
21.273512,10.905128,0
-19.17529,-7.861515,0
3.0861056,71.34246,0
40.84487,33.83657,0
118.71007,-15.197997,0
-85.54744,-17.548037,0
-22.546986,-16.26085,0
36.896484,10.480017,0
-0.63127047,-27.273466,0
39.084854,94.13159,0
67.26993,73.62239,0
-15.916271,-108.95651,0
-35.931675,0.054770235,0
-28.602737,5.5257177,0
39.634373,9.647215,0
-10.384731,5.1715045,0
14.271905,90.20642,0
60.608665,73.02414,0
107.042946,-9.55516,0
-86.34426,-43.756435,0
28.515509,-21.456705,0
41.28932,-20.548742,0
30.712793,-20.285511,0
