date,OT1,OT2
0,0.4199,-0.05928
1,0.35568,-0.03952
2,0.25688,-0.01976
3,0.18278,-0.00494
4,0.12844,0.00988
5,0.06916,0.00988
6,0.0247,0.01482
7,0.0,0.01482
8,-0.00494,0.02964
9,-0.00988,0.03458
10,-0.00988,0.02964
11,-0.03458,0.02964
12,-0.03952,0.02964
13,-0.04446,0.03458
14,-0.03952,0.0247
15,-0.05434,0.02964
16,-0.05928,0.03458
17,-0.02964,0.02964
18,-0.05928,0.0247
19,-0.02964,0.0247
20,-0.04446,0.0247
21,-0.02964,0.01482
22,-0.04446,0.0247
23,-0.03952,0.01482
24,-0.00494,0.01482
25,-0.0247,0.0247
26,-0.01976,0.01976
27,-0.01976,0.01482
28,-0.01482,0.01976
29,-0.03458,0.03458
30,-0.0247,0.01976
31,-0.01976,0.01482
32,-0.01976,0.01976
33,-0.0247,0.01976
34,-0.03458,0.01482
35,-0.03458,0.01482
36,-0.03952,0.0247
37,-0.03458,0.01976
38,-0.05434,0.01976
39,-0.05434,0.00988
40,-0.05434,0.01976
41,-0.05434,0.00988
42,-0.05434,0.0247
43,-0.04446,0.00988
44,-0.00988,0.01976
45,-0.03458,0.01482
46,-0.03458,0.00988
47,-0.03458,0.01976
48,-0.05434,0.00494
49,-0.06916,0.03458
50,-0.0741,0.01976
51,-0.0494,0.01976
52,-0.05928,0.01976
53,-0.0741,0.01482
54,-0.08892,0.00988
55,-0.08398,0.00988
56,-0.0988,0.01976
57,-0.08892,0.00988
58,-0.08892,0.00494
59,-0.08892,0.00988
60,-0.07904,0.01482
61,-0.07904,0.01482
62,-0.07904,0.00988
63,-0.07904,0.01482
64,-0.06916,0.00988
65,-0.0494,0.0247
66,-0.06422,0.03458
67,-0.06422,0.0247
68,0.00494,-0.03458
69,0.26676,-0.09386
70,0.81016,-0.15808
71,0.84968,-0.13338
72,0.2964,0.01482
73,-0.04446,0.06422
74,-0.03458,0.0
75,0.00494,-0.01482
76,-0.00494,0.01482
77,-0.03952,0.01482
78,-0.03458,0.00494
79,-0.05928,0.00494
80,-0.05434,0.01482
81,-0.0741,0.00494
82,-0.06422,-0.00494
83,-0.08398,0.01976
84,-0.06916,0.00494
85,-0.0741,0.00988
86,-0.07904,0.00988
87,-0.06916,0.01482
88,-0.05928,0.01482
89,-0.06916,0.0247
90,-0.05928,0.01976
91,-0.03458,0.00988
92,-0.03952,0.01482
93,-0.0247,0.01976
94,-0.0247,0.01482
95,0.0,0.00988
96,-0.01482,0.0247
97,0.0,0.00988
98,0.03458,0.00988
99,0.03952,0.00494
100,0.07904,-0.00494
101,0.09386,-0.01482
102,0.11856,-0.01976
103,0.15314,-0.03458
104,0.21242,-0.04446
105,0.24206,-0.05928
106,0.28652,-0.06422
107,0.31616,-0.0741
108,0.36556,-0.08398
109,0.39026,-0.08398
110,0.46436,-0.0988
111,0.44954,-0.0988
112,0.4199,-0.0741
113,0.38532,-0.05928
114,0.30628,-0.05434
115,0.23218,-0.02964
116,0.15314,-0.01976
117,0.0988,-0.01482
118,0.04446,0.0
119,0.00494,0.0
120,-0.03952,0.00494
121,-0.05434,0.01482
122,-0.06916,0.01482
123,-0.0741,0.00988
124,-0.09386,0.01976
125,-0.09386,0.01482
126,-0.07904,0.00988
127,-0.06916,0.00494
128,-0.08892,0.01482
129,-0.0988,0.01976
130,-0.06916,0.01976
131,-0.08398,0.01482
132,-0.08892,0.0247
133,-0.08398,0.01482
134,-0.0741,0.0247
135,-0.08892,0.01482
136,-0.06422,0.01482
137,-0.0741,0.00988
138,-0.05434,-0.00494
139,-0.07904,0.0
140,-0.07904,-0.00988
141,-0.07904,0.00988
142,-0.07904,-0.00494
143,-0.07904,-0.00988
144,-0.08398,-0.00494
145,-0.0988,0.0
146,-0.09386,-0.00988
147,-0.0988,0.00494
148,-0.07904,0.01482
149,-0.0741,0.00988
150,-0.10374,0.00494
151,-0.09386,0.01482
152,-0.0988,0.00988
153,-0.14326,0.01976
154,-0.14326,0.01482
155,-0.10374,0.00988
156,-0.11362,0.01482
157,-0.0988,0.01976
158,-0.11362,0.0247
159,-0.11856,0.01976
160,-0.08398,-0.01482
161,0.15314,-0.08892
162,0.66196,-0.14326
163,1.0275,-0.16796
164,0.5434,-0.01976
165,0.00988,0.07904
166,-0.0741,0.02964
167,-0.00494,-0.01482
168,-0.00494,-0.00494
169,-0.05434,0.00494
170,-0.05928,0.0
171,-0.08892,0.0
172,-0.11362,0.00988
173,-0.11856,0.00988
174,-0.09386,0.00988
175,-0.11362,0.01482
176,-0.10374,0.01482
177,-0.09386,0.01482
178,-0.08892,0.00988
179,-0.10374,0.01482
180,-0.06422,0.01976
181,-0.0741,0.0247
182,-0.06422,0.01976
183,-0.05434,0.01482
184,-0.04446,0.01976
185,-0.03458,0.02964
186,-0.00494,0.01482
187,-0.00494,0.01482
188,0.00988,0.01482
189,0.00988,0.00494
190,0.0247,-0.00494
191,0.03952,0.0
192,0.08892,-0.00494
193,0.10374,-0.00494
194,0.11856,-0.02964
195,0.16796,-0.02964
196,0.20748,-0.03952
197,0.23712,-0.0494
198,0.28652,-0.0741
199,0.3458,-0.08398
200,0.39026,-0.09386
201,0.43472,-0.0988
202,0.45448,-0.10868
