tsne-1,tsne-2,cluster
24.47305,1.0880777,24
-48.334427,22.069056,18
31.709309,46.211723,19
3.151185,29.336914,19
-45.099724,-28.786356,10
-22.998024,44.27501,17
12.309149,-28.574106,2
-38.746765,-17.12415,8
-28.70922,-27.809448,10
35.4825,13.876409,7
9.34605,-28.601892,2
-50.06709,-31.014074,4
14.519766,16.19722,12
-15.649489,28.26979,20
20.940586,25.823837,24
17.786453,-16.784847,6
-23.610123,45.123875,17
21.724379,8.774199,24
-38.894104,22.23694,22
-55.219646,4.5219727,9
0.43225494,-48.585873,2
-4.287836,-28.192951,11
-39.69276,-11.138886,4
4.363334,30.759455,7
-34.61475,-16.449501,4
-11.809632,-9.624831,22
34.076862,39.89067,19
-25.01213,15.90455,9
37.951202,-12.810482,0
-28.425741,40.648293,17
29.178936,-1.5168798,16
-4.6819005,-27.403519,22
-10.677653,6.8633366,12
7.503551,20.954477,17
-8.842648,35.134922,24
-30.541225,-43.206608,8
-33.397717,-26.528597,8
39.874207,3.9567678,6
30.639273,-18.616138,2
-0.49221307,-10.686038,15
-8.2716255,-20.315207,11
-30.173119,-47.089325,8
-30.286995,-1.7557868,9
-38.516243,22.475172,22
-42.51483,19.398264,22
19.750765,25.61584,7
-36.637825,-38.415455,8
-30.589817,1.5572293,18
43.990124,-32.975372,12
42.171776,33.741856,0
15.825847,15.659972,12
4.302303,48.639763,14
26.230598,-13.453986,0
28.031254,14.938323,12
10.3236,-21.554255,2
-26.68555,-40.49024,8
10.631824,-43.889915,2
-32.061333,-10.253142,4
-10.459478,30.596508,7
17.712227,12.035362,12
8.359982,-11.758545,21
-9.580021,-5.0020914,5
-11.048491,-9.319929,22
13.921105,-23.6392,2
-20.137138,-33.104862,10
39.93711,4.4516344,17
-0.90412635,36.957867,7
-37.804363,24.241985,22
-47.493473,9.762607,9
38.424324,39.321903,19
1.9017477,8.115408,0
3.2702205,-11.3521805,3
-5.562618,-12.102118,22
-31.930384,1.4309253,18
30.162458,46.119003,19
34.85017,-9.698785,6
20.380539,15.7407055,12
-44.06255,-43.441174,10
-21.588415,-20.151873,8
8.5346155,-3.69511,0
-20.84293,28.516201,18
-22.355097,10.567906,9
31.600897,38.54621,19
36.585438,-3.9859774,6
1.5246431,-24.234259,11
-2.193641,6.419554,9
22.103281,-25.451015,2
-34.21812,-1.5516622,9
-32.333637,41.191246,17
-19.20299,-21.047876,15
-46.099,-33.61754,4
-3.5983407,-4.846686,5
-1.0173844,11.368663,6
-45.785213,-35.85713,4
20.254595,-40.334263,2
-14.9778,16.306349,18
42.691147,-31.552734,12
2.2075484,4.304041,0
-20.995625,-47.432335,8
-46.057995,-24.172312,10
36.683563,27.763033,7
-33.64749,-16.920515,10
8.593015,1.4281216,0
31.699024,3.0562794,6
31.804296,-18.100708,2
29.206127,-1.8177226,16
-36.33824,17.935698,22
-24.835325,43.453182,17
-25.19593,0.18963136,21
23.287498,1.1922652,24
-53.929398,5.3771796,9
-0.36000186,13.495266,17
45.813095,18.168703,7
-4.03419,35.371033,16
-14.636339,46.041264,23
5.364733,8.894588,16
11.809588,-25.166424,2
14.88088,21.066706,7
-30.712059,33.16258,17
-48.249714,-16.594536,10
-34.26062,-34.376453,8
-27.040932,-41.005795,8
42.6264,22.108335,7
24.601648,27.049566,13
-8.2465105,-12.268263,22
-4.02277,26.86734,12
42.572178,-3.656007,6
-41.29235,-18.542048,8
4.0117726,38.900486,7
33.035088,22.041225,7
13.326442,-11.553948,6
-8.995961,29.866997,7
0.7972937,-15.362234,21
-54.486687,3.0091968,9
0.3456121,2.2637131,6
23.167957,-16.354591,2
43.936974,-33.2203,12
47.374138,-20.458664,3
-30.892508,44.9865,17
-36.89413,-36.789707,8
-11.45972,30.262589,14
-2.4475384,60.946007,5
-22.585299,49.95857,13
31.885313,15.849931,12
-42.17427,19.30118,22
16.181917,53.31822,19
-27.81784,25.895561,9
-39.358833,22.372543,22
9.096922,-16.363844,2
10.141982,-30.807962,2
8.617506,-3.1818118,0
16.0426,51.822433,19
-44.561886,8.419198,22
-3.8076973,11.695788,9
-7.8780274,-28.864386,22
9.635097,-41.987896,11
-53.980854,-32.17079,4
33.995697,38.915504,19
-33.383053,-20.57227,10
-30.064198,-40.76028,8
37.185295,16.500984,24
-41.48288,4.7916384,9
-16.25155,26.397726,20
-15.090713,16.20155,18
-29.416477,40.333057,17
