tsne-1,tsne-2,cluster
24.402023,1.176301,22
-45.43034,21.96318,17
31.338884,47.033672,24
2.3546693,30.494982,22
-23.369156,-38.115536,11
-24.635185,44.365772,21
13.130934,-29.17239,17
-39.64061,-19.462788,3
-26.279526,-29.617563,3
35.807274,15.331399,22
12.296287,-29.419437,12
-49.1786,-16.725708,11
15.317823,15.981575,2
-18.429953,26.891388,21
19.20338,27.854416,12
19.17556,-18.500034,6
-23.535727,44.07934,21
22.125853,9.142724,12
-37.36802,20.691505,6
-55.317326,6.5644164,18
0.4180448,-47.570225,5
-4.937312,-27.529114,0
-36.71342,-10.067527,3
3.8421834,30.476254,22
-38.29797,-17.278553,3
-10.47276,-9.534856,4
32.724762,39.01543,8
-23.255322,14.868649,6
36.004402,-13.297625,12
-29.431068,39.91291,20
29.009943,-3.0821934,5
-5.4158144,-27.01071,0
-5.8425703,5.774886,20
4.640196,22.460999,21
-9.269883,39.047337,8
-40.35704,-36.60638,3
-43.346977,-44.335705,3
39.438343,4.538004,21
29.433973,-18.713512,16
0.4972484,-9.605941,21
-13.279134,-16.911802,6
-46.571804,-34.36946,3
-29.528746,-1.4768872,23
-37.52668,21.324162,6
-41.357048,17.43326,21
18.164776,27.76206,12
-35.43489,-38.59486,3
-30.892838,1.7990624,23
49.23413,-27.218927,24
40.451515,34.60222,9
16.375078,15.959324,2
1.7037945,49.56653,19
27.055462,-13.249568,5
28.461319,15.537866,21
11.951722,-23.100784,15
-36.73542,-35.647045,3
9.568138,-43.296066,4
-33.765465,-10.085668,3
-12.422277,29.477709,8
18.901697,12.919986,6
8.101898,-11.3518095,4
-8.172279,-5.3590527,12
-9.552044,-9.161634,4
14.717448,-24.823933,6
-18.20287,-26.481297,3
39.947826,4.4124722,14
-0.35453644,37.60945,21
-38.594387,21.839966,22
-46.38758,9.273158,8
37.02486,39.356884,10
2.824999,8.065925,20
5.6526117,-17.616276,2
-8.084489,-14.403323,0
-30.076748,1.4637824,23
29.068642,46.56867,24
34.014996,-8.430808,16
21.305416,17.301388,4
-33.357594,-47.546455,11
-24.602583,-16.65001,3
9.266654,-4.0530066,12
-22.367838,31.563177,0
-19.972939,8.949906,12
29.758389,38.751396,14
36.164986,-5.0043993,16
-0.20801069,-23.223253,6
-1.2134893,6.5074368,22
23.513744,-28.24572,21
-33.614475,-1.7224373,23
-33.08566,41.37382,20
-22.028225,-15.445492,3
-24.358105,-42.908295,11
-2.5617402,-4.3843966,4
-0.52008104,10.835668,20
-23.396002,-44.422653,11
18.388275,-33.5755,16
-14.266038,14.8881,0
47.470387,-25.90244,24
2.6221545,4.404824,22
-50.864212,-30.979813,3
-46.278446,-21.762182,3
32.598618,22.344826,8
-34.460327,-18.917343,3
10.015196,1.7453108,12
30.753664,2.8444395,20
29.881102,-19.12409,16
28.997992,-2.7337704,5
-34.4628,17.70619,17
-24.94553,42.684444,21
-24.354343,-0.8623026,23
23.456215,0.8597419,22
-52.488766,4.744089,18
0.46901423,13.00283,20
46.077286,17.746214,7
-4.5046363,34.06608,0
-15.965428,45.93515,19
6.093771,8.90524,20
11.9706955,-17.82123,17
13.365071,20.8077,12
-31.02432,32.54334,2
-20.251951,-29.877657,3
-33.537872,-33.43806,3
-37.004936,-35.909973,3
45.82093,22.74303,7
23.664219,27.254725,12
-7.296822,-12.233501,0
-5.415547,26.3518,21
42.380356,-2.9922607,12
-34.083973,-24.38763,3
4.055935,39.265114,1
36.472263,23.445047,0
17.469826,-12.474558,22
-11.174717,28.826183,8
1.4874822,-13.093999,21
-52.708576,5.852022,18
1.4104567,2.4388294,8
23.781076,-15.9627905,5
49.576664,-27.186317,24
47.847702,-14.890641,4
-30.245861,45.366108,19
-33.512646,-38.118603,3
-12.501092,30.932423,4
-0.06625574,56.69585,6
-20.254715,41.785686,12
31.993235,16.07906,14
-41.29442,18.17921,21
17.624084,51.09095,1
-28.533716,23.716566,6
-38.04466,20.14997,6
11.405386,-17.304241,17
9.300502,-30.435282,12
9.234812,-3.5452874,12
16.303078,51.661736,1
-43.345074,8.418496,8
-2.3712933,12.331518,20
-7.5769672,-29.414005,0
7.5194845,-41.231586,4
-52.569992,-20.092928,11
31.701681,39.127594,8
-35.205063,-22.096455,3
-41.75378,-32.626434,3
35.807045,18.83093,22
-40.599945,4.3238964,15
-19.822567,25.094028,21
-14.372666,14.926104,0
-30.490936,39.75896,20
0.71999884,19.004797,4
3.9890363,-55.4235,19
-30.788805,-10.556839,3
-38.702686,-20.250584,3
-0.30661744,-46.756424,5
38.029633,-28.991468,8
30.17447,28.287235,21
9.695179,35.028084,8
2.6495636,4.4072495,22
-38.61356,-19.435478,3
-1.0996034,14.098491,20
-12.43299,46.11257,19
-22.944399,-24.877089,11
6.4678736,40.908703,1
-15.050229,15.618573,0
36.393383,-10.342084,5
-24.21472,7.9843373,22
43.805344,15.261167,7
1.01699,-41.58864,19
-3.562508,-48.023926,22
-33.15957,-43.81434,11
40.511288,34.61459,9
-44.65451,-31.840162,3
29.52049,25.668705,21
41.86479,35.273396,9
-14.375113,-18.824823,12
0.44719654,-17.248873,15
23.649063,-28.102152,21
-43.89648,-14.519769,3
-39.173965,23.587927,17
32.042194,-22.07528,5
-6.3486676,57.320847,6
14.2530365,21.40474,12
-44.387676,-16.168968,3
-40.516064,4.1534395,15
0.4838397,-47.859802,5
-31.381332,-26.464558,3
21.061789,-1.3869119,21
-7.5253844,-52.00276,0
-9.966053,23.713743,6
-15.697829,20.236336,8
-42.24864,6.5894885,8
34.852036,1.7267058,14
26.72271,-36.24246,17
-53.41172,-17.612421,11
-7.677425,-0.5176598,12
24.317482,-7.612611,19
-1.487211,38.664764,21
19.713661,-13.306665,22
26.940254,-35.388325,17
10.01507,32.72453,8
19.942305,36.48592,8
15.530105,-7.853425,19
24.18249,15.714549,21
11.224844,-27.653214,17
46.533756,20.715446,7
14.527765,-10.883397,14
6.232536,35.300167,8
14.327734,-0.8644762,15
47.10127,20.158682,7
-53.59017,6.646109,18
13.727609,33.82876,14
33.31942,-4.794876,16
19.082441,56.117943,22
37.419697,-19.048267,8
3.036465,8.452638,20
-34.013386,40.851677,20
6.4163165,0.68872863,13
15.842695,-8.933375,19
38.305782,-20.117283,8
12.371949,17.079151,2
-24.488781,16.119272,6
14.390397,-45.723812,19
35.60021,-13.614432,12
-37.788757,-21.921656,3
-41.870335,-29.021727,3
-18.508812,41.70195,12
21.540728,-8.783377,19
6.82533,-48.629772,6
9.729316,17.337334,2
52.45502,-2.3041646,0
38.783264,-14.6664295,17
-18.443913,27.449175,21
-31.485617,-23.961077,3
-44.428047,-16.067337,3
-7.0797133,24.811691,21
-7.8411074,32.543503,0
-39.499153,16.791721,21
13.253003,-2.9537833,15
3.3578827,51.553265,19
-2.1182556,-35.93092,23
6.717262,58.789257,20
-18.155891,-9.808421,21
4.8907504,4.7614856,14
-34.61949,7.4986277,12
-5.2076464,41.117496,12
17.909193,-33.642075,16
9.3006,-43.34545,4
12.529574,17.059805,2
24.22259,11.720454,2
-38.08011,13.9529085,21
-10.067676,-22.450233,6
48.304718,-4.3063145,13
15.450559,-46.62337,19
13.931595,-0.8561917,15
-34.179386,-15.430067,3
-15.556539,-9.116119,21
10.013614,27.56092,15
