tsne-1,tsne-2,cluster
-5.6078486,-20.421822,1
-20.335539,26.566893,2
9.911693,8.523267,2
14.196453,9.408187,2
11.682226,10.103387,2
-36.42498,-4.9296794,1
13.451497,8.728577,2
-21.08254,26.764105,2
-18.438772,0.8992114,1
4.9300556,-30.919333,1
14.439379,-21.17622,1
10.107365,12.664621,2
-34.226604,-4.346094,1
13.73342,8.951534,2
11.657575,14.260553,2
12.172989,8.516704,2
-1.7744616,-13.159337,1
-12.852717,-12.473961,1
7.3512635,-41.233044,1
15.144644,-21.501875,1
-20.017529,-12.051074,1
-20.719934,15.177144,1
12.539306,10.102282,2
13.58563,11.166032,2
-41.649727,1.1506317,1
10.772756,9.877095,2
4.565217,-31.363214,1
13.639812,-29.303696,1
-13.860817,-14.553483,1
11.31224,9.140179,2
-41.107285,-2.0978374,1
-40.309105,1.0496294,1
9.750889,13.201971,2
14.524889,11.661375,2
-21.1301,14.447044,1
16.262733,-29.997168,1
9.55329,12.238693,2
8.835137,10.223983,2
-11.312742,-11.836598,1
-15.182619,-7.5856557,1
10.102022,9.648814,2
6.8882604,-33.579678,1
-17.09829,-9.4128065,1
10.591775,10.692602,2
9.441724,8.921921,2
16.105604,-20.428833,1
-11.743332,-18.983536,1
-22.539577,0.043839004,1
13.833599,11.993647,2
-5.940272,-22.30727,1
16.233751,-25.878954,1
0.9106249,-44.317913,1
10.305381,-32.99433,1
-42.216652,-0.11328686,1
-4.0266237,-22.713795,1
-16.906094,-5.921548,1
8.724193,12.0374365,2
-4.716383,-19.978554,1
12.611497,10.763942,2
10.401324,8.381988,2
14.155146,-18.75998,1
2.8645883,-35.19503,1
11.022838,11.358657,2
10.127735,11.794729,2
11.712266,11.322248,2
-16.912998,-13.8243065,1
12.887555,9.058278,2
-3.152997,-21.146027,1
11.770028,13.242591,2
13.486377,9.934352,2
10.655878,12.892014,2
-21.180439,14.450416,1
14.604313,10.206282,2
12.842138,-33.85243,1
5.3199944,-35.3582,1
-9.987412,-24.501772,1
11.617362,12.546204,2
13.333762,11.0692425,2
13.244149,12.7437525,2
10.561772,11.237751,2
-17.45787,-5.2171254,1
8.8873205,9.429131,2
-35.27034,-6.2674966,1
14.298089,12.836612,2
-35.5558,-6.3107133,1
9.309256,11.063696,2
-22.591372,-9.052562,1
-20.736954,18.78299,1
-29.267609,-3.9214363,1
16.200045,-18.431408,1
4.689454,-37.777725,1
-6.565737,-22.962898,1
-4.153452,-20.83034,1
10.984587,12.221563,2
12.654112,-35.36207,1
12.148007,12.676284,2
-0.5475192,-36.275547,1
-20.614826,23.35608,2
-21.199543,-6.4859815,1
11.207133,10.056923,2
12.695018,11.430402,2
1.9390635,-40.843624,1
-41.200874,3.582206,1
3.7238178,-41.232395,1
10.480865,13.528089,2
7.4477615,-30.917297,1
-20.08563,4.114396,1
14.636227,-31.917692,1
-24.543507,-3.0915143,1
12.220095,11.2283325,2
-34.967976,-2.5286043,1
-20.662743,22.270155,2
-35.41177,-5.00274,1
-21.39395,24.976864,2
16.074179,-22.295532,1
3.6559575,-38.405334,1
-18.393967,-11.363224,1
12.055143,7.988405,2
-42.091522,-0.98828536,1
3.9545734,-36.600067,1
-21.183523,14.451491,1
-5.688122,-22.326565,1
5.343225,-43.57111,1
-21.421799,23.82917,2
8.618701,10.048798,2
12.604431,12.7682,2
16.387768,-28.83722,1
-3.8324773,-20.904991,1
14.190462,10.059173,2
9.854726,11.024188,2
10.716738,13.7254095,2
11.18244,12.928404,2
9.177234,13.215863,2
-18.03513,-15.021538,1
12.654622,9.534152,2
13.017971,10.512135,2
13.318074,12.176549,2
-6.3973827,-20.657217,1
11.000835,8.008607,2
-41.55007,0.34523898,1
14.2998085,-19.840933,1
10.196031,11.922723,2
9.961964,10.519181,2
12.343771,12.071266,2
11.376055,8.247477,2
11.795771,12.041824,2
12.040322,10.095177,2
13.335824,10.097575,2
10.8476095,9.030964,2
9.666877,13.824265,2
12.374562,14.247264,2
-10.389537,-20.664173,1
-22.290224,29.561144,2
13.1837225,13.337089,2
14.060159,11.019386,2
-41.465633,-1.8504237,1
8.88087,12.623182,2
11.846095,10.696257,2
-40.875946,-2.754958,1
14.677364,11.054853,2
-17.431469,-14.297378,1
-38.996998,-3.699926,1
2.54243,-39.086582,1
6.703968,-38.009346,1
-23.373337,-1.7546637,1
8.569584,-40.626785,1
12.0117035,-37.466408,1
11.341511,12.037287,2
-35.93862,-1.9722396,1
15.479418,-29.817612,1
10.976578,14.320904,2
-20.609047,23.30988,2
8.647518,11.081985,2
-20.121048,9.464726,1
-14.033639,-11.462346,1
-21.421791,23.82917,2
-10.021134,-21.131748,1
-14.001959,-8.732063,1
12.54458,13.611469,2
-0.840252,-34.410713,1
12.988914,11.912349,2
-20.372961,-10.555644,1
12.799882,8.26999,2
11.24665,-38.233044,1
-20.560575,26.562239,2
11.050852,10.674189,2
11.641644,9.156056,2
-39.92383,-2.7693431,1
-9.566004,-24.792639,1
14.471094,-27.6947,1
-5.8072333,-19.723999,1
-38.662136,-0.89990973,1
-23.460546,-10.243874,1
10.124268,9.185461,2
-10.448659,-20.20503,1
-9.069794,-24.72823,1
18.343208,10.0466,2
5.8045597,16.871523,2
20.62146,22.291708,2
16.32375,-20.05787,1
8.83421,2.84584,2
-30.075882,-4.92844,1
10.493482,1.1522515,2
-15.78476,-16.738749,1
-20.644861,10.1974325,1
-35.66468,-5.070742,1
15.395894,13.738619,2
-21.800802,29.858982,2
-29.547733,-8.02435,1
16.279835,-21.949116,1
-25.025173,-6.5732594,1
8.840489,18.811346,2
10.078477,15.377598,2
4.923226,23.788935,2
-0.9374543,-33.93559,1
8.607778,11.49574,2
12.8228245,-30.836817,1
11.462703,-33.2526,1
-19.42407,2.5186446,1
-30.318546,-7.7722306,1
9.436592,10.072135,2
10.203542,9.951621,2
9.539299,11.595956,2
10.072652,-37.593838,1
13.769729,13.286284,2
-31.920591,1.3992428,1
14.406257,12.16211,2
-6.134612,-22.77854,1
13.175209,13.833485,2
12.159601,9.219897,2
