tsne-1,tsne-2,cluster
-4.1196427,-14.882601,2
-20.569927,26.857555,0
11.831908,8.091647,0
11.208956,8.590296,0
9.540698,13.597666,0
-37.308357,-5.138286,2
12.442899,9.796215,0
-21.243757,27.03508,0
-19.588264,0.9734224,2
5.1352377,-30.141308,1
16.461088,-22.916567,1
14.355616,12.557551,0
-35.19221,-4.330941,2
12.687441,8.032413,0
9.590517,11.656254,0
11.59991,11.054666,0
3.1877954,-18.969286,2
-13.531001,-12.520131,2
4.694315,-40.90644,1
17.048296,-23.493998,1
-20.928658,-12.442034,2
-21.452925,15.00391,0
13.113979,12.626329,0
13.610184,12.466806,0
-42.80146,0.84407663,2
8.483218,12.067064,0
4.546054,-30.554058,1
13.805072,-30.819935,1
-14.798131,-14.301438,2
11.086391,8.011106,0
-42.168224,-2.4235168,2
-41.202316,0.7025618,2
8.865394,10.668135,0
10.634837,9.244824,0
-20.80151,14.119275,0
16.266916,-32.110996,1
14.744157,10.651506,0
10.623845,14.4258375,0
-12.092036,-11.490308,2
-16.511877,-7.4676504,2
8.834901,12.60249,0
6.1912465,-33.25278,1
-18.186802,-9.631724,2
14.250019,10.983846,0
12.082997,12.539676,0
18.115194,-22.602093,1
-10.638713,-17.398638,2
-23.398342,0.10417299,2
12.986765,10.74596,0
-3.6364205,-16.754501,2
17.069937,-27.949177,1
-2.3033686,-42.2171,1
9.695309,-33.60278,1
-43.208935,-0.31665713,2
-1.7935017,-16.267017,2
-18.118275,-5.994126,2
10.126596,13.840117,0
-3.5252604,-13.95617,2
9.567368,11.003624,0
13.96929,10.220169,0
16.607965,-20.524633,1
1.9916031,-33.754566,1
12.7936325,9.07327,0
13.122625,11.56014,0
10.461371,11.134827,0
-17.684145,-14.132343,2
11.471511,10.607228,0
-1.5860527,-14.405872,2
11.162728,13.766639,0
13.420828,13.78532,0
9.815294,10.757747,0
-21.580286,14.307589,0
13.852597,12.766291,0
11.972387,-35.040237,1
4.206629,-34.55932,1
-6.9546547,-20.406256,2
10.920729,10.561774,0
11.017849,11.908093,0
9.139736,9.544822,0
9.987139,12.493293,0
-18.791843,-5.34054,2
14.357994,9.861472,0
-36.158207,-6.223192,2
9.060625,11.642111,0
-36.4634,-6.1918426,2
13.553819,11.833676,0
-23.642712,-9.551408,2
-20.918797,18.7397,0
-29.973251,-4.1860585,2
19.08806,-21.23864,1
3.0370429,-36.773968,1
-3.9443629,-17.330582,2
-2.5994756,-14.452967,2
11.53964,9.11675,0
11.256783,-36.49853,1
10.136231,8.25859,0
-1.6529765,-33.907043,1
-21.323957,23.373499,0
-22.23936,-6.7736907,2
13.6163,11.092555,0
10.324588,12.482845,0
-0.45691264,-38.966675,1
-42.3257,3.357983,2
1.1324334,-39.70441,1
11.829445,13.496123,0
7.415066,-30.970016,1
-21.338028,4.038125,2
14.15686,-33.484047,1
-25.142242,-3.489352,2
11.772942,14.354382,0
-33.717285,-7.3678966,2
-21.398193,22.538256,0
-36.318153,-5.182245,2
-20.771505,25.230394,0
17.740395,-24.504148,1
1.7429397,-36.93175,1
-19.475872,-11.645613,2
13.53836,8.759678,0
-43.003067,-1.2640746,2
2.622049,-35.40531,1
-20.801414,14.119357,0
-3.500875,-16.423817,2
1.8975921,-42.483658,1
-21.165258,24.125994,0
12.424416,13.194341,0
9.776217,9.37955,0
16.58664,-30.970953,1
-2.294678,-14.248113,2
12.728279,14.228891,0
8.56984,9.819793,0
12.075675,11.179887,0
10.477369,8.691173,0
10.05019,9.899897,0
-18.688044,-15.462603,2
10.217962,13.140364,0
11.955423,12.007504,0
12.374628,10.865862,0
-4.7961555,-15.327046,2
10.666711,11.985982,0
-42.658394,0.16416007,2
16.49416,-21.736214,1
14.785746,11.730749,0
13.846926,13.302286,0
12.354681,8.619895,0
12.128542,13.866387,0
14.193671,11.640521,0
11.611763,11.866934,0
12.655634,11.831433,0
13.333125,9.809914,0
9.19492,13.149454,0
8.52517,10.709111,0
-8.87617,-16.05152,2
-22.171423,29.78121,0
11.367062,13.133537,0
11.965099,10.243198,0
-42.49126,-2.1636648,2
10.352565,11.596174,0
12.875324,13.473798,0
-41.723877,-2.947499,2
12.45301,11.806635,0
-18.1202,-14.798414,2
-39.827118,-3.8585684,2
0.4763974,-37.449913,1
4.8877864,-37.585217,1
-24.357065,-1.8857582,2
6.021824,-40.56436,1
10.144167,-38.313957,1
9.3861265,10.1685915,0
-36.908962,-2.2607338,2
15.405341,-31.755178,1
11.037652,11.109031,0
-21.560125,23.385748,0
10.700854,9.608875,0
-21.39579,9.362839,0
-14.757721,-11.448705,2
-20.8898,24.091705,0
-8.421958,-15.490723,2
-15.088006,-8.646514,2
9.482694,8.832179,0
-1.5299134,-32.06837,1
10.521981,10.439477,0
-21.452847,-10.896495,2
8.547433,11.234711,0
9.238203,-38.886726,1
-20.569937,26.857555,0
12.214405,12.7602,0
12.013871,9.571317,0
-40.771893,-2.9819608,2
-5.99221,-20.354162,2
14.940249,-29.445658,1
-4.685426,-14.191556,2
-39.724,-1.1448047,2
-24.382431,-10.740617,2
10.755864,10.017346,0
-8.9555435,-16.537405,2
-5.87733,-20.185635,2
5.1976027,-0.5405894,0
7.2050047,-1.8684038,0
17.107283,-1.8942902,0
18.376701,-22.137194,1
11.549491,-2.523715,0
-30.844522,-5.086446,2
14.365198,-2.4612746,0
-16.026836,-16.769012,2
-21.731173,10.263612,0
-36.53048,-5.22948,2
19.709595,-0.39448303,0
-21.733074,30.179409,0
-30.509668,-8.25507,2
17.984455,-24.184443,1
-25.873434,-7.0249553,2
16.641273,12.060733,0
14.237179,6.319465,0
12.903311,-0.8820068,0
-1.4957545,-31.513176,1
14.099974,9.398304,0
12.648434,-32.22266,1
10.725238,-34.127354,1
-20.622566,2.7239747,2
-31.277706,-7.9719806,2
13.330504,9.391559,0
11.197533,12.391773,0
13.405755,10.592641,0
8.211788,-38.032238,1
12.372658,10.413879,0
-32.502953,1.0414528,2
9.337771,12.377416,0
-3.571042,-17.11264,2
12.098074,9.122443,0
10.81433,12.773941,0
-2.2066662,-13.192174,2
10.830518,13.622213,0
11.521971,9.983582,0
-0.6932291,-38.55708,1
4.4345284,-37.21902,1
9.846246,-28.542421,1
8.123961,-39.371338,1
-1.5989393,-32.990906,1
6.327806,-35.41078,1
-14.051971,-17.189022,2
-0.41324618,4.5604873,0
-2.8323658,-27.148983,1
-32.63401,-14.177336,2
-27.010656,-8.334233,2
-25.476072,-8.612024,2
17.135677,-22.207787,1
