tsne-1,tsne-2,cluster
-30.349495,-25.12856,0
25.279547,-23.732141,2
39.287212,7.1265426,2
24.520292,3.450117,2
-39.196903,-8.041358,0
39.257454,5.3113804,2
36.0105,7.11791,2
-26.64935,14.511516,5
35.806576,-20.623209,2
-21.796597,-9.03113,1
-36.384865,-1.8621557,0
38.88457,2.6669927,2
-31.708155,-13.59334,0
23.795452,-26.090685,2
-23.934942,16.166485,5
-12.0613575,-25.941687,1
22.18662,25.564137,2
2.856536,3.7556,1
-0.87188333,41.135834,3
26.73193,-31.061642,2
-12.19478,-10.457664,1
-3.688276,-10.072651,1
24.24011,0.44749582,2
-27.533539,14.141989,5
-34.913067,-21.53726,0
36.096848,9.285844,2
-32.13776,-10.439683,0
-40.360085,-10.59992,0
-0.2542926,8.077361,1
16.31152,-8.256953,2
24.861498,-22.934374,2
-6.6552305,20.046305,5
21.108215,22.476122,2
17.472433,-27.39604,2
-26.52665,-1.966742,1
-8.459716,10.320844,5
-6.9822783,36.325077,3
25.725931,-23.497923,2
32.60322,-20.18514,2
-9.151535,-25.76575,1
-18.522312,-0.33502713,1
17.939833,-3.2802958,2
8.456748,30.423744,2
23.494026,30.066229,2
-12.73125,24.273237,4
13.924296,-0.21083975,2
22.610085,27.629215,2
7.7012415,31.292025,2
-32.167137,14.146827,5
-0.33710283,16.83058,1
-40.10508,-11.6971245,0
-2.6950104,44.880947,3
-7.483138,35.985893,3
15.102764,1.2935075,2
14.112571,32.430946,2
-17.447742,-7.5985146,1
23.533432,-27.099789,2
35.755447,-18.824024,2
-30.944181,16.070517,5
14.77617,0.14718983,2
-17.374233,-9.461351,1
-18.743828,-2.3338609,1
18.08523,31.938578,2
14.240039,25.22747,2
13.636303,31.957972,2
-6.3908777,43.532608,3
16.90015,17.450048,2
-18.962526,0.32434496,1
10.95342,29.197115,2
-17.170078,-6.9608707,1
-9.422566,14.252197,4
31.688854,-20.186258,2
33.12945,12.6561165,2
13.86063,-0.9418576,2
-17.482174,-7.776972,1
24.253979,3.927966,2
16.313326,-24.396343,2
-5.966661,35.300804,3
26.030481,-31.534874,2
-5.912794,-2.119382,1
19.517506,-21.46951,2
-6.5632257,-2.6517122,1
16.93527,16.860043,2
-20.544104,20.018564,5
-23.879805,-26.065512,0
-33.21972,2.2141552,1
-24.32121,14.394473,5
-2.082063,13.598299,1
-30.904922,-24.40109,0
23.878166,28.829193,2
24.569069,-0.56528413,2
7.69252,34.25292,2
27.670252,-19.343378,2
37.64089,14.106192,2
-7.8099303,-24.47618,1
13.701003,-19.503645,2
-23.420677,-1.69621,1
-3.604244,12.183529,1
-3.5853171,-9.079653,1
-32.553196,-23.351189,0
13.068926,25.3986,2
33.514996,-20.754972,2
-34.02663,-26.835464,0
7.9638224,33.40907,2
-9.302741,-23.531626,1
-22.740973,1.4926585,1
11.077142,38.66388,2
-26.468576,-25.738924,0
-37.405273,-4.34849,0
-6.4390817,15.68589,5
-2.3795273,13.512763,1
19.058105,33.602398,2
-22.959272,-9.956004,1
-39.331055,-11.081811,0
31.698717,-18.3094,2
-16.258886,19.898724,4
-31.628954,14.243736,5
-26.481146,-23.394485,0
17.341736,-9.420233,2
20.536201,-0.09833965,2
21.829737,20.548574,2
-16.249538,19.410696,4
14.94539,-18.455591,2
15.883112,17.747927,2
17.00899,-25.104736,2
-24.111517,-4.591517,1
17.426155,3.354027,2
-2.650197,41.442833,3
26.18984,-19.295094,2
16.344679,-18.206028,2
-22.424355,0.9877591,1
-2.8102927,36.88257,3
17.602608,2.870919,2
-3.9811547,-10.504327,1
35.714855,-19.956955,2
-18.54225,-1.2108862,1
39.433533,4.267654,2
16.459787,-24.877817,2
15.131866,3.0161288,2
15.192892,26.434326,2
12.053189,-27.67684,2
25.152164,3.23413,2
10.743407,-26.441801,2
-24.763083,-4.67912,1
16.485516,3.3907478,2
-7.4826326,10.731962,5
9.970637,-21.641808,2
27.671574,-20.405533,2
15.831964,-23.94275,2
-39.798145,-10.777429,0
22.484493,4.9575834,2
11.830682,-28.612423,2
-39.979214,-10.145772,0
27.282557,-19.60125,2
-31.25607,5.3511853,1
-5.745622,-7.625107,1
32.402496,-14.853857,2
-33.895584,-23.938885,0
-31.074057,15.912421,5
20.927969,25.20685,2
23.383171,4.387039,2
10.04121,38.414757,2
7.0134597,32.967484,2
14.599505,-7.0425034,2
-2.5083494,7.317732,1
12.480611,-28.13634,2
-29.601212,-27.180655,0
-10.713539,-26.416668,1
-2.3160212,6.6867375,1
-37.997158,-22.00863,0
-7.217009,36.83644,3
10.121405,24.968737,2
38.737003,14.18523,2
20.181992,1.6110117,2
-19.73518,20.161812,5
-12.248196,-9.904727,1
20.799776,25.839825,2
-8.364635,40.543,3
25.256212,-2.72646,2
-30.344074,-15.968737,0
-5.667717,-8.974351,1
-7.882874,38.16749,3
-35.17951,-20.809208,0
23.262697,29.275223,2
-6.6564193,41.34013,3
-31.569387,3.0079942,1
15.853386,17.464706,2
-3.2197316,37.427044,3
13.525904,32.866825,2
20.729204,2.0770938,2
15.704046,-18.737318,2
26.698795,-17.253662,2
22.887619,17.7306,2
39.945614,5.116171,2
-11.515937,-1.18184,1
11.873548,-23.927551,2
-32.644802,6.613926,1
-27.42042,-28.233782,0
-38.569653,-6.6116443,0
-20.992237,-1.6007568,1
9.283502,-21.722923,2
14.072236,37.215626,2
8.575295,31.328354,2
-31.9119,2.9688675,1
23.27073,-26.654364,2
21.278,-4.1269145,2
23.221935,-3.0871801,2
38.811546,14.635133,2
14.006484,-18.323456,2
-35.653187,-21.770126,0
-34.738113,-22.334595,0
35.946766,6.4124193,2
13.63319,38.650074,2
6.9980173,26.172459,2
-18.481373,1.2056987,1
20.84794,-9.424596,2
-10.128551,13.956173,4
22.005917,-27.03732,2
-1.4127771,7.0565934,1
-16.666065,-8.988121,1
13.292162,32.020447,2
-21.77804,0.39326343,1
19.2367,-10.033706,2
33.548233,10.642835,2
16.786915,-9.20243,2
11.513603,-26.633217,2
32.41106,-13.941662,2
3.5802128,-0.014164743,1
-26.001078,14.025445,5
21.344593,25.57668,2
38.079517,14.724731,2
-1.0837805,15.253585,1
14.641575,31.613373,2
26.820446,-19.699867,2
40.976967,10.2569475,2
29.32276,-15.200732,2
-21.265175,19.182068,5
17.089235,35.985004,2
2.3781953,4.356788,1
-39.866867,-9.623058,0
-28.626053,-17.667747,0
-27.34314,-23.690083,0
-32.109688,-23.594877,0
33.877254,10.023217,2
17.00152,-8.513176,2
3.7170348,-4.115691,1
-15.134553,24.823929,5
21.246525,-21.991888,2
-26.013018,-1.0835907,1
-36.638157,-25.833315,0
-11.659487,22.64767,4
-21.068356,2.9683626,1
11.284625,-15.329043,2
-8.844348,-26.549164,1
34.77189,-21.18955,2
21.86198,26.01921,2
-29.868427,-17.719675,0
7.3529487,26.700222,2
-40.07138,-8.014571,0
-8.045257,-23.352951,1
9.601172,29.446674,2
-21.579504,2.3565712,1
