tsne-1,tsne-2,cluster
-34.133232,-21.36712,4
21.716402,-24.346725,2
40.025486,9.493286,1
15.652037,-4.7811193,2
-35.250027,-4.858969,4
40.371292,7.7017674,1
34.59467,7.9863667,1
-24.852924,14.160501,1
33.867344,-27.269129,2
-18.27502,-14.249102,0
-33.833374,0.41478345,1
40.834045,5.128328,1
-43.071613,-6.692139,4
20.449553,-27.402533,2
-21.780582,15.30494,1
-13.49657,-25.072523,3
21.503433,25.928734,1
4.4834366,-3.2763484,5
-5.480987,43.156986,2
25.843233,-23.098438,2
-8.716109,-7.912933,0
-5.8129725,1.884191,5
18.07062,-7.0328693,2
-25.743519,13.602888,1
-36.817947,-16.889029,4
33.239624,9.391436,1
-39.940662,-5.097327,4
-34.505875,-8.099676,4
4.1550574,5.1109734,5
27.231472,-4.4600964,2
21.39511,-23.710045,2
-4.350864,19.854631,3
19.896242,23.182692,1
15.49206,-26.90883,2
-22.033634,-2.1093373,0
-6.4192853,11.273903,3
-7.143374,35.12919,2
21.794071,-24.659801,2
31.215311,-25.959053,2
-10.610454,-25.559935,3
-21.326748,-10.314059,0
26.4192,-0.061355066,2
8.384541,32.322422,1
23.065718,30.513494,1
-10.889385,23.928543,3
23.446419,2.398822,2
21.895987,27.984035,1
6.2456965,32.78658,1
-30.272179,14.182291,1
3.4180806,13.728397,3
-35.152645,-8.835639,4
-1.9097198,42.564526,2
-6.4810314,35.165894,2
21.081593,3.4616663,2
14.061937,33.88313,1
-14.689046,-10.07275,0
20.660967,-28.29533,2
34.711063,-25.745163,2
-29.0685,16.018824,1
22.36655,2.1136992,2
-13.2259,-11.548201,0
-19.660599,-9.460581,0
18.148708,32.612694,1
13.134918,26.27857,1
13.763351,33.298306,1
-8.317038,41.587887,2
15.366096,18.28848,1
-22.156,-10.150873,0
9.814487,30.161789,1
-14.180466,-9.256284,0
-7.8637137,15.125256,3
30.229605,-25.488642,2
36.998333,12.3951025,1
23.569088,3.0644531,2
-14.452056,-9.9921,0
15.264003,-4.1652026,2
14.48323,-23.951757,2
-8.1526165,34.30051,2
25.78814,-22.445696,2
-10.48276,4.490943,1
18.537458,-18.917238,2
-11.044598,5.208828,1
15.847422,17.95812,1
-18.97593,19.525314,1
-31.59715,-26.184046,4
-29.747446,4.3754387,1
-22.839352,14.212013,1
0.51061136,11.337868,3
-35.40371,-21.364996,4
23.264736,29.291265,1
18.328892,-5.8853736,2
7.694605,36.04823,1
26.640877,-29.458822,2
38.07559,15.913187,1
-8.836487,-24.43295,3
11.072625,-19.423244,2
-21.063042,-5.2925377,0
