tsne-1,tsne-2,cluster
-0.009036263,0.0012758147,0
0.029556027,-0.0060483916,5
-0.15973788,0.02987658,1
-0.031513926,0.005541717,2
-0.0989784,0.018345373,0
0.21246809,-0.04076222,3
0.09026498,-0.017570002,9
0.07774645,-0.015194169,2
0.027072836,-0.005577108,0
0.09137673,-0.01778096,6
-0.16647574,0.031155312,7
0.07722238,-0.015094697,7
-0.13841382,0.025829583,8
0.15243487,-0.029368842,3
-0.16641615,0.031143976,8
-0.0029512413,0.00012097543,4
0.13232255,-0.025551828,2
0.21398696,-0.041050404,3
0.1251206,-0.02418504,2
-0.13220371,0.024651045,8
-0.13761234,0.025677502,9
0.19565347,-0.037571047,6
-0.13535789,0.02524965,1
-0.04427758,0.007964037,7
0.16742325,-0.03221343,2
-0.12064961,0.022458233,2
0.19118045,-0.03672211,5
-0.036690623,0.006524173,4
0.02125162,-0.004472353,5
-0.0031375848,0.00015633646,0
-0.13127092,0.024474,8
0.10848507,-0.02102786,6
-0.05999893,0.010947709,9
0.010800235,-0.0024888462,0
0.022773646,-0.004761185,2
-0.16308062,0.03051096,1
-0.058902703,0.010739663,7
-0.07238826,0.013299014,8
-0.11841674,0.022034477,7
-0.046165146,0.008322269,9
-0.08182679,0.015090298,7
-0.15016511,0.028059872,1
0.21151596,-0.040581465,3
0.1902114,-0.036538206,6
0.16820817,-0.03236231,5
-0.13734142,0.025626116,1
-0.14061195,0.026246823,1
-0.14573354,0.027218765,7
0.040909268,-0.008203066,5
0.03788626,-0.007629327,9
0.14544278,-0.02804184,6
0.21598926,-0.041430585,3
0.20751587,-0.03982229,5
-0.15975967,0.02988073,1
0.19286409,-0.037041698,6
-0.1192676,0.022195948,2
0.24849059,-0.047598727,3
-0.13507669,0.025196347,8
-0.019149078,0.0031950604,0
0.096462056,-0.01874608,5
0.1083247,-0.02099746,6
0.05844532,-0.011531105,2
-0.11659451,0.021688655,0
-0.07082739,0.013002785,5
-0.12008856,0.022351757,4
0.15774556,-0.03037672,6
0.15985358,-0.030776817,5
-0.06127918,0.011190669,2
-0.15222406,0.028450582,1
0.23164551,-0.0444018,3
0.21010348,-0.040313505,6
0.03861089,-0.0077668643,2
-0.08326715,0.015363644,7
-0.100189134,0.018575195,9
0.16560332,-0.03186802,2
0.025765417,-0.0053289942,2
0.006124762,-0.001601508,5
-0.15614326,0.029194338,8
0.112957604,-0.02187671,6
-0.17200956,0.032205604,1
0.026501054,-0.0054686177,2
0.0034384022,-0.0010916886,7
0.23804986,-0.04561723,3
0.22153573,-0.042483047,3
-0.15982233,0.02989265,1
-0.10158052,0.018839255,7
-0.055121727,0.010022101,7
-0.12712552,0.023687255,1
-0.077239454,0.0142196715,7
-0.07071286,0.012981036,9
0.20752206,-0.039823487,3
-0.15040736,0.028105836,1
-0.09965093,0.018473024,2
-0.041155614,0.0073715434,9
0.059869573,-0.011801404,4
0.15662974,-0.03016498,0
0.013366745,-0.0029759228,5
0.078350425,-0.015308786,6
0.05459322,-0.010800054,0
0.10728574,-0.020800257,5
-0.11805918,0.021966644,7
-0.106077805,0.01969276,7
-0.14776795,0.027604874,0
0.11214806,-0.021722993,5
-0.135052,0.025191616,8
0.0032882113,-0.0010631682,0
-0.05931285,0.010817506,8
-0.15759882,0.0294706,1
-0.114049844,0.021205721,7
0.07000013,-0.013724019,2
-0.09853407,0.018261047,9
-0.12879677,0.024004426,9
-0.16741635,0.03133383,1
0.20134114,-0.03865045,5
0.16957556,-0.032621868,5
-0.019598607,0.0032803789,9
0.20210259,-0.038794994,3
0.16600505,-0.03194424,5
0.21166623,-0.04060997,3
-0.14980823,0.02799209,1
-0.06938244,0.012728547,7
0.22756588,-0.04362752,3
0.16073373,-0.030943858,5
-0.16344349,0.030579817,8
0.015056999,-0.0032967145,9
0.1772857,-0.0340852,2
-0.09995519,0.018530814,8
-0.13145618,0.024509173,4
-0.10461541,0.01941521,7
0.106258675,-0.020605318,0
0.019364033,-0.004114106,2
-0.14900766,0.027840177,8
-0.1425634,0.026617132,1
-0.14961241,0.027954875,4
0.09147394,-0.017799424,6
-0.020373067,0.0034273663,2
-0.12931687,0.024103157,1
-0.13191018,0.024595305,8
0.21478032,-0.04120095,6
-0.11878111,0.022103637,2
-0.11936531,0.022214485,0
0.093655616,-0.018213471,2
0.21691372,-0.041605867,3
-0.11953482,0.02224667,7
-0.17008595,0.031840496,1
0.14393263,-0.027755234,2
-0.092325516,0.017082773,4
-0.15154898,0.028322414,8
0.18319282,-0.035206277,5
-0.15776749,0.02950263,1
0.23406143,-0.044860296,3
-0.00016140354,-0.00040849936,7
0.115567096,-0.02237188,2
-0.0584621,0.010656044,0
0.12230688,-0.02365104,2
0.21881114,-0.041966047,3
0.08706908,-0.01696345,6
-0.14019819,0.026168266,0
0.09901201,-0.01923001,5
-0.105621405,0.019606125,4
-0.15577528,0.029124564,1
-0.13896607,0.02593421,8
0.14064132,-0.02713061,0
-0.1069279,0.019854102,9
0.07052527,-0.013823704,6
-0.15233187,0.028471021,1
-0.16274671,0.030447572,1
-0.0077317846,0.0010282465,2
0.17973645,-0.034550242,2
0.21277308,-0.04082005,3
-0.09464729,0.017523436,9
0.011686114,-0.0026569678,9
0.012792511,-0.0028669324,0
-0.13693391,0.025548765,7
-0.12077202,0.0224815,8
0.2156369,-0.041363485,3
-0.1486674,0.027775722,1
-0.1646468,0.030808214,1
0.120101966,-0.023232566,2
-0.13626844,0.02542249,1
-0.029880874,0.005231789,7
0.22146592,-0.042469848,3
0.06921918,-0.013575834,5
0.23330976,-0.044717573,3
0.17670591,-0.03397514,2
0.22187862,-0.042548142,3
0.20481654,-0.039310027,6
0.19337419,-0.03713846,6
0.16490354,-0.03173519,6
-0.14168142,0.026449718,0
-0.14685768,0.027432133,1
-0.1681627,0.031475507,1
0.21952671,-0.042101923,3
0.120028816,-0.023218688,2
0.001026659,-0.00063396664,7
0.03223187,-0.0065562283,7
-0.11581547,0.021540748,7
-0.05846755,0.010657097,9
-0.056993525,0.010377347,7
0.21737768,-0.041693963,3
-0.042520933,0.0076306663,5
-0.025896594,0.004475636,8
0.08185441,-0.015973788,6
0.16774234,-0.032273944,6
-0.11059041,0.020549169,9
-0.08476994,0.015648862,7
0.10998818,-0.021313144,0
-0.16943938,0.031717774,8
0.0775981,-0.015166011,5
-0.15760985,0.029472651,8
0.078794025,-0.015392974,2
-0.06875378,0.012609226,9
-0.018529745,0.0030775238,5
-0.019658629,0.0032917778,7
-0.11328869,0.021061268,8
0.20201488,-0.038778353,3
-0.062266823,0.011378129,7
0.11593819,-0.022442333,6
0.1066258,-0.020675007,5
-0.1411289,0.026344884,1
-0.10085928,0.018702362,8
-0.074539356,0.013707276,8
0.21164533,-0.04060615,5
-0.09445732,0.017487392,7
-0.08848517,0.016353944,9
0.18745781,-0.03601564,5
0.19467184,-0.037384734,3
-0.14379716,0.026851276,4
0.2132204,-0.04090491,3
0.0034303106,-0.001090149,4
-0.12800257,0.02385371,1
-0.13287714,0.024778875,1
-0.16378857,0.03064539,1
-0.15605153,0.029176993,1
0.008606251,-0.002072463,5
-0.06549502,0.011990808,4
-0.067950614,0.012456823,9
0.1957804,-0.037595153,5
-0.1847198,0.03461774,1
-0.104971595,0.019482818,9
-0.024762215,0.004260351,2
-0.14955223,0.027943473,4
-0.099738926,0.018489748,8
-0.10857169,0.020166054,7
0.04275515,-0.008553379,6
-0.05245398,0.009515812,9
-0.0829877,0.015310601,2
-0.11359147,0.021118721,9
0.055970922,-0.011061516,2
0.10337344,-0.02005776,2
0.06953392,-0.013635558,9
-0.08323425,0.015357419,7
-0.16323932,0.03054108,1
0.07224852,-0.014150747,2
0.19362564,-0.037186194,5
-0.15690811,0.029339518,1
-0.014833282,0.002375993,4
-0.15495215,0.028968345,1
