tsne-1,tsne-2,cluster
-0.006525269,0.001562725,7
0.031974576,-0.006232942,4
-0.15686592,0.032004453,5
-0.02894904,0.0061031994,8
-0.09625182,0.01973099,5
0.21444884,-0.04318127,3
0.09253819,-0.018496158,9
0.08004958,-0.0159674,9
0.029497402,-0.0057313386,2
0.093647406,-0.018720714,0
-0.16358757,0.033365466,2
0.07952683,-0.015861534,2
-0.13559277,0.027696928,1
0.15455915,-0.031054419,9
-0.16352813,0.03335344,5
-0.0004547721,0.00033352667,6
0.13449511,-0.026991773,8
0.21596386,-0.04348795,3
0.12731028,-0.02553699,8
-0.1293977,0.026442543,1
-0.13479337,0.027535077,5
0.19767448,-0.039784618,0
-0.13254443,0.027079206,6
-0.04168223,0.008681443,1
0.16951182,-0.03408217,8
-0.11787112,0.024108557,1
0.19321209,-0.03888106,4
-0.034113355,0.007148884,9
0.023690147,-0.0045554508,4
-0.0006406746,0.000371168,7
-0.12846716,0.026254093,1
0.110714704,-0.022176636,0
-0.05736578,0.011857167,9
0.013263826,-0.0024442654,3
0.025208406,-0.0048628747,8
-0.1602007,0.032679636,5
-0.056272216,0.01163573,2
-0.06972557,0.014359819,1
-0.115643784,0.023657534,2
-0.04356517,0.009062739,9
-0.079141475,0.01626638,2
-0.14731601,0.030070754,5
0.21349876,-0.042988703,3
0.19224548,-0.038685307,0
0.1702946,-0.034240592,7
-0.13452314,0.027480386,5
-0.13778597,0.028141,2
-0.14289497,0.029175548,1
0.043300763,-0.008526308,2
0.040284883,-0.00791563,9
0.14758381,-0.029642034,9
0.21796376,-0.043892603,0
0.20950806,-0.042181,4
-0.15688764,0.03200884,5
0.19489159,-0.039221153,0
-0.11649239,0.023829421,1
0.25038517,-0.05045774,3
-0.13226397,0.027022865,1
-0.01661381,0.0036054882,3
0.09872036,-0.019747943,7
0.11055475,-0.02214425,6
0.0607947,-0.01206857,8
-0.11382613,0.0232895,1
-0.06816838,0.014044505,1
-0.117311485,0.02399528,5
0.15985739,-0.03212723,0
0.16196033,-0.032553088,4
-0.058643,0.012115781,8
-0.14937006,0.030486649,5
0.23358034,-0.047055017,4
0.21208982,-0.042703547,0
0.041007783,-0.008062011,8
-0.08057841,0.01655734,1
-0.097459756,0.019975578,6
0.16769616,-0.033714406,8
0.028193088,-0.005467226,8
0.008599441,-0.0014998163,7
-0.15327977,0.031278312,1
0.11517648,-0.023080051,0
-0.16910839,0.03448333,5
0.028927028,-0.005615838,8
0.005919619,-0.00095718785,2
0.23996942,-0.048348725,0
0.22349475,-0.045012847,0
-0.15695019,0.0320215,5
-0.09884789,0.020256668,1
-0.05250038,0.010871973,1
-0.12433163,0.025416713,2
-0.07456507,0.015339732,5
-0.068054125,0.01402137,9
0.20951436,-0.04218208,3
-0.14755793,0.0301197,5
-0.09692289,0.019866854,1
-0.03856764,0.0080507975,2
0.06221552,-0.012356287,6
0.15874405,-0.031901855,7
0.015824113,-0.0029627027,4
0.08065219,-0.016089402,9
0.056951873,-0.011290436,9
0.10951832,-0.021934383,4
-0.11528711,0.023585325,2
-0.1033342,0.021164913,2
-0.14492469,0.029586503,5
0.114368856,-0.022916518,7
-0.13223931,0.0270179,1
0.005769654,-0.0009268295,1
-0.056681417,0.011718567,1
-0.15473174,0.031572312,5
-0.11128736,0.022775488,2
0.07232176,-0.01440262,8
-0.09580851,0.019641256,5
-0.12599896,0.025754323,5
-0.16452594,0.033555485,5
0.20334838,-0.040933575,4
0.17165884,-0.034516886,4
-0.017062297,0.0036962922,9
0.20410816,-0.04108733,3
0.16809683,-0.03379564,4
0.21364877,-0.04301924,0
-0.14696011,0.02999864,5
-0.06672678,0.013752606,2
0.22951041,-0.046231,0
0.16283843,-0.03273087,7
-0.16056281,0.032752965,1
0.017510386,-0.0033041525,9
0.17935076,-0.03607434,8
-0.09722647,0.019928321,1
-0.12865216,0.026291532,6
-0.101875566,0.02086969,2
0.10849356,-0.021726856,6
0.021806985,-0.0041741547,8
-0.14616142,0.029836936,5
-0.13973267,0.02853516,5
-0.14676479,0.029959075,6
0.09374429,-0.01874036,9
-0.017834965,0.0038527625,8
-0.12651771,0.02585938,5
-0.12910475,0.026383238,5
0.21675509,-0.04364822,0
-0.11600723,0.023731153,1
-0.11659018,0.023849156,1
0.09592077,-0.019181073,7
0.21888353,-0.044079155,3
-0.11675916,0.023883397,2
-0.16718936,0.034094773,5
0.1460772,-0.029337011,8
-0.08961504,0.018387139,6
-0.14869651,0.030350298,1
0.18524396,-0.03726767,4
-0.1549003,0.031606413,5
0.2359902,-0.047543,4
0.0023283935,-0.00023001387,2
0.117779575,-0.023607148,8
-0.055832762,0.011546734,1
0.12450332,-0.024968587,8
0.22077651,-0.044462446,7
0.08934989,-0.017850574,6
-0.13737315,0.028057396,5
