tsne-1,tsne-2,cluster
-21.322136,-3.52504,2
-2.6900365,23.294945,2
-21.330708,-3.5235298,2
-21.239227,-3.5183504,2
-20.4152,-3.2225447,2
4.1001844,-36.874496,1
-20.41515,-3.2226207,2
-20.429987,-3.2425363,2
-20.412388,-3.219322,2
-20.42944,-3.2398887,2
-21.430742,-3.5057025,2
-21.529526,-3.4893126,2
1.5106374,24.28356,2
-20.414831,-3.2222838,2
2.5641866,-31.0516,1
-21.576015,-3.4922028,2
-21.303904,-3.3684626,2
-21.259684,-3.4798555,2
-20.412405,-3.2204182,2
-7.7214584,45.780296,1
-21.245794,-3.3548784,2
-21.289057,-3.4048853,2
2.1368299,23.117924,2
33.427948,25.68675,1
19.378077,-6.393296,1
-20.413593,-3.2214272,2
39.984234,-11.076195,1
-8.473722,44.84608,1
29.467543,-27.076105,1
2.0261097,16.20062,2
-20.415712,-3.2231567,2
-21.579723,-3.4907815,2
-22.218685,-3.0465465,2
40.038048,7.1152873,1
-21.200111,-1.0839871,2
36.934933,-12.957999,1
-22.440144,-2.0034032,2
17.422968,-7.974534,1
-21.351635,-2.130448,2
-22.20442,-3.0966775,2
47.407787,-0.2563432,1
1.4199332,23.834494,2
-7.047529,41.050568,2
-22.446224,-2.0179892,2
17.173386,21.53328,2
-21.40771,-2.105872,2
14.693188,22.354877,2
-20.377682,-1.5890206,2
40.552788,6.7327347,1
2.4358008,14.295967,2
-21.35032,-2.1294353,2
13.814756,-43.842804,1
38.85527,-1.1771656,1
2.3496466,24.216898,2
42.175568,4.95105,1
15.241471,-25.223572,1
38.7301,7.7797575,1
-21.38903,-2.1578336,2
2.5877197,-31.069798,1
-22.217451,-3.076521,2
-21.331474,-2.8309798,2
5.317676,-39.605003,1
-19.810982,24.875278,2
-20.37327,-1.5925469,2
-21.264273,-1.0958327,2
7.091381,-10.182133,1
-22.220646,-3.0610306,2
30.435173,23.521883,1
30.104279,-20.584433,1
38.198196,-3.1594634,1
32.592873,10.416732,1
-20.444729,-2.226734,2
32.27964,11.169654,1
15.338906,-3.447864,1
-20.439686,-1.6499046,2
8.553884,-42.209938,1
-21.408697,-1.1288108,2
46.4307,3.009291,1
-21.415861,-1.1307077,2
-21.574978,-1.1894594,2
-20.162872,-2.403103,2
9.230786,-38.457844,1
9.358859,10.643956,2
14.785667,6.536629,2
-22.072447,-1.8817887,2
17.979977,26.717169,2
-22.22019,-3.0587726,2
-22.216928,-3.0685272,2
-21.361456,-2.8429766,2
-21.35504,-2.134724,2
-22.445377,-2.0131555,2
-21.32788,-2.831751,2
-21.36438,-2.130643,2
20.9583,-24.498083,1
5.9792967,-40.63454,1
-22.452877,-2.086296,2
-22.155636,-2.4233751,2
18.451721,25.173405,2
10.469869,-38.66789,1
-10.273714,39.75949,2
9.102085,-10.46234,1
-21.392166,-2.1615007,2
29.169832,-27.791668,1
38.152657,7.965721,1
-20.476477,-2.104834,2
-12.163649,40.284554,1
4.536567,29.982086,2
9.647922,10.112067,2
13.896147,40.092205,2
-22.210962,-3.0161402,2
-22.45983,-2.1079493,2
28.447004,-17.157494,1
-20.179476,-2.193041,2
21.317345,44.472935,2
-22.320953,-2.4579096,2
16.740778,21.442812,2
-22.461576,-2.1061456,2
47.821358,-0.8943636,1
-5.9778447,41.831272,2
-21.363503,-2.133788,2
-21.237307,-2.097727,2
38.68377,-11.069467,1
45.40822,-1.0905988,1
-20.357561,-1.6169934,2
-20.338282,-1.6913692,2
29.27435,-27.017849,1
-20.432472,-2.8071156,2
38.241314,-2.6576278,1
-20.381466,-1.6006125,2
5.274851,-28.507524,1
1.7434815,20.851805,2
-20.114286,-2.305231,2
-20.433598,-1.6497656,2
31.275286,19.724285,1
-22.131296,-1.4739337,2
30.290722,23.925623,1
5.577937,-18.258924,1
-21.407244,-2.886427,2
34.699337,-17.829279,1
-21.36163,-2.1300821,2
-20.459703,-1.5566648,2
-22.124155,-1.4292792,2
6.012749,-16.020056,1
-21.341618,-1.1553437,2
-21.397354,-2.1530004,2
-21.446981,-1.1367801,2
-21.361197,-2.1277492,2
-21.515642,-1.163734,2
6.6900268,-15.771438,1
-21.317709,-1.0844553,2
16.262232,-43.671234,1
-20.368021,-1.5894127,2
-21.357128,-2.833898,2
-21.55598,-1.1698899,2
-22.411444,-1.7999061,2
-9.641219,40.040882,1
20.802921,6.6832256,2
12.370384,41.674374,2
-22.45272,-2.087144,2
-20.429184,-2.705849,2
-21.36124,-2.1314156,2
-20.136787,-2.26013,2
-21.64982,-1.2148992,2
-20.370464,-1.6059375,2
27.076654,-14.417865,1
8.314093,-42.089157,1
-24.966751,-5.8817863,2
-16.797716,21.06681,2
-20.707626,-2.151001,2
-23.271578,21.730032,2
33.023083,10.01427,1
-22.450327,-2.052012,2
5.4747286,-18.17771,1
-20.445473,-2.2115083,2
6.3118773,11.277139,2
-21.446508,20.870869,2
13.295986,44.865776,2
4.6418567,-25.644032,1
-23.239323,-0.87592554,2
41.97284,-14.89102,1
-19.239796,20.941864,2
21.754253,42.229797,2
12.547526,7.158115,2
41.687992,-15.380504,1
21.963108,-24.28346,1
46.99343,-2.8024561,1
-27.127575,-3.6497958,2
-22.489119,-2.1657796,2
-10.926487,39.500336,1
-13.002852,1.4049524,2
-26.089699,19.962711,2
20.040346,41.2577,2
-10.629912,39.60297,1
-10.1876135,-1.0284299,2
-21.370865,-2.1691165,2
-6.351426,8.84369,2
13.806768,-11.907078,1
4.6453137,-23.92722,1
-28.257378,21.02472,2
36.84183,8.3169985,1
40.115517,-10.761631,1
-25.58194,20.931644,2
4.67804,-26.75,1
16.05952,-38.779377,1
19.525442,-6.402872,1
13.582845,22.224672,2
-21.362364,-2.1334615,2
-22.45446,-1.9930891,2
33.95384,18.52584,1
-22.211391,-3.0660064,2
0.0019791508,18.025352,2
15.669821,-38.759823,1
-20.965824,-1.2407073,2
4.3540306,-17.742014,1
12.413269,6.9774246,2
-20.56031,-2.140759,2
