tsne-1,tsne-2,cluster
-19.89585,-3.0206027,0
4.7550783,23.575794,2
-19.877295,-3.0177917,0
-19.99337,-3.2151413,0
-19.888464,-3.0148563,0
3.847309,-39.81659,0
-19.737835,-1.5835085,0
-19.770903,-1.5679404,0
-19.76046,-1.5853317,0
-19.887487,-3.0124557,0
-19.797314,-1.5570674,0
-19.911884,-3.0253534,0
2.50986,28.440807,0
-19.816818,-1.5638957,0
-1.6250635,-37.50864,0
-19.892262,-3.0140874,0
-19.974434,-3.0915983,0
-19.653036,-2.948475,0
-19.758148,-1.5876973,0
-8.355973,38.127144,0
-19.797506,-1.5571344,0
-19.83669,-2.979176,0
1.3266375,28.506744,0
21.587856,11.6827755,0
16.718557,0.0981974,0
-19.801786,-1.5511343,0
36.42831,-9.86675,0
-8.77616,37.42203,0
14.668631,-25.324463,0
-1.2626096,22.078548,1
-19.76432,-1.5670394,0
-19.4091,-2.3775134,0
-20.509031,-1.2892194,0
39.386772,3.3110025,0
-20.730217,-2.5018227,0
33.925785,-12.536137,0
-20.663746,-3.376939,0
15.330579,-2.305126,0
-20.844769,-1.4063821,0
-21.558956,-1.8090085,0
48.59189,-0.8954662,1
2.2482204,28.148727,0
-12.77202,37.013847,0
-20.570578,-1.2698756,0
16.946634,22.769289,0
-19.793829,-2.249159,0
18.46955,20.773233,0
-20.836395,-1.3093534,0
39.94857,3.0676126,0
-1.7253904,20.341099,1
-20.675825,-1.9007185,0
14.062787,-34.935883,0
43.281467,-4.7316365,0
2.186509,29.183092,0
41.251972,1.4036912,0
2.6432533,-20.500513,2
37.781933,3.8161402,0
-22.082005,-2.3888102,0
-1.6341978,-37.514297,0
-20.889936,-1.4172494,0
-19.569216,-2.3500805,0
6.9376936,-40.368324,0
-30.78956,21.697802,0
-21.604963,-1.9761653,0
-19.920006,-2.6369567,0
10.730348,-9.463573,1
-20.282335,-2.6336565,0
25.13772,12.323288,0
25.481192,-11.116619,0
42.168476,-6.3438687,0
31.477705,2.6365123,0
-20.66713,-2.5115957,0
30.774265,2.879084,0
20.33726,-2.585421,0
-21.551311,-2.0273712,0
11.075451,-39.32956,0
-19.525274,-2.3388956,0
46.174488,1.1864445,1
-21.589394,-2.5175352,0
-20.79608,-3.77599,0
-20.631077,-1.9099044,0
8.038481,-37.460346,0
5.333677,13.64603,2
10.913269,10.386651,2
-20.83925,-1.871025,0
21.446686,23.870525,0
-21.605335,-2.5519197,0
-20.818726,-3.5075407,0
-20.814583,-2.9663255,0
-20.769213,-3.1626737,0
-20.723576,-2.5030065,0
-20.814148,-1.2199131,0
-21.484951,-2.9650745,0
4.875588,-25.04498,2
8.164883,-40.335033,0
-20.688828,-2.5174837,0
-21.57652,-2.5499978,0
20.362003,25.099777,0
8.761499,-37.208633,0
-12.387683,33.711823,0
10.65709,-7.352987,1
-20.876194,-3.7322364,0
14.583475,-26.131416,0
37.463272,3.77697,0
-20.602644,-1.9222785,0
-14.251132,33.657104,0
9.25628,31.623713,0
5.681052,13.2728405,2
13.845346,43.636444,1
-21.826841,-2.366683,0
-20.828196,-3.6829123,0
24.38534,-14.312088,0
-20.570284,-1.3904057,0
6.210816,48.29982,2
-20.632349,-1.9164622,0
17.243202,22.559465,0
-21.519165,-2.5272582,0
49.04808,-1.2763399,1
-12.412769,38.283264,0
-20.572456,-1.2856964,0
-20.651232,-2.5212524,0
35.919746,-10.853017,0
47.569664,-2.6364365,1
-21.574717,-3.0926518,0
-20.658537,-1.9477363,0
14.597414,-25.40309,0
-21.782936,-2.1002524,0
42.394737,-5.9964385,0
