tsne-1,tsne-2,cluster
8.040791,23.743847,0
7.02916,-7.606955,0
-8.541815,4.412138,3
-7.4629707,4.6257286,3
56.68537,-16.939554,1
50.42213,18.03886,0
-44.60641,12.175995,2
23.974413,-0.9281707,6
40.92776,16.731546,6
49.90955,18.86047,0
24.753607,-48.501926,7
-28.823578,4.9804564,3
7.907661,-40.57017,7
13.496541,-4.019254,0
-9.5542345,-20.899977,7
-50.83707,-37.409294,2
30.273085,7.7371535,6
20.641132,-38.018845,7
-14.231435,22.329584,5
-17.196098,51.52678,4
25.268341,33.688965,0
12.547885,-1.9002975,0
24.486593,-38.772205,7
22.7524,-27.676844,6
51.159637,0.60557747,1
-3.7355578,-24.10114,7
15.746155,29.53946,0
7.6721325,57.82624,4
-37.03516,15.734493,3
-9.45297,-20.959742,7
0.5018826,-60.256207,7
12.970979,-3.9447954,0
-3.5269961,-0.950211,3
-7.092745,40.82495,4
1.2733973,-33.352104,7
22.148008,-37.243057,7
40.5585,16.78954,6
-12.398094,22.82087,3
-32.36017,-25.847761,2
39.709026,37.117725,0
21.037266,-12.814181,0
-51.026558,-20.91042,2
-49.158688,-31.183916,2
15.502123,24.818516,0
43.56601,-28.120586,1
-40.67215,-7.733686,2
-12.247971,64.19954,4
-54.80163,14.879834,2
21.233526,24.468283,4
34.80199,34.384853,0
-8.163089,-15.50346,7
-36.800648,-25.920332,2
39.80429,38.854824,0
18.319818,-40.48123,7
16.667925,-52.713154,7
-4.5113845,41.02043,4
-24.675932,-14.082528,2
-13.914158,-4.8435135,3
52.333973,2.0077164,1
24.272038,-4.2101173,6
49.924335,20.546247,0
13.848338,27.03802,0
-43.189606,-24.941895,2
-21.19583,16.945621,3
29.547527,-1.6579545,6
-9.383702,-38.707855,7
4.1797743,-35.329826,7
43.09408,-28.064444,1
-30.53015,-26.029953,2
30.222399,-18.59008,6
50.20124,-3.7993534,1
-18.431646,37.13584,3
-52.12016,-23.137133,2
28.883215,9.107767,6
30.08155,-11.268505,6
36.33724,1.6272777,6
-9.636655,-20.890991,7
12.506149,-28.809958,7
11.032682,-8.832987,0
9.60691,14.858513,0
24.474482,36.381657,0
-1.3807998,-36.041916,7
-20.170212,1.5394242,3
-4.6454763,56.54048,4
-26.758377,-19.659266,2
32.675835,38.194324,0
5.441756,-9.73571,0
-20.89012,12.607526,3
25.547953,21.620407,0
21.01924,-12.771466,0
-10.545629,12.170424,5
59.370056,15.389804,7
44.842567,-17.640385,6
-67.4445,4.3999877,2
-37.06127,15.775977,3
48.419544,19.985075,0
30.641373,-17.58768,6
-21.28768,-21.755476,2
33.53795,30.939295,0
-29.931957,32.17832,3
-40.789146,45.085247,4
-4.317726,-0.93084806,3
9.943072,18.093977,0
4.3807874,39.9467,0
-15.655646,26.224764,3
22.681217,-27.51448,6
-15.510999,8.249023,3
-6.0689898,17.502815,3
-66.890274,9.42182,2
20.05376,7.6959605,0
-30.967497,6.4707174,3
-1.270487,43.236683,4
-59.930393,2.60483,2
21.780407,-26.694004,6
39.205788,9.369229,6
-38.155594,43.50487,4
-22.334263,-25.286913,2
9.512605,48.52262,0
43.379868,-7.022012,1
17.86491,40.271027,0
33.70188,35.69769,0
-11.119895,55.310898,4
-45.184803,-14.798485,2
21.721025,-37.76158,7
52.6257,25.883068,0
3.4370844,35.40484,0
6.0276566,47.660835,0
-2.7714612,13.28124,3
12.599947,49.83512,0
-53.84408,-4.1691995,2
-40.392345,-20.707153,2
-34.863228,47.508034,4
-7.426032,-44.3469,7
54.423504,-3.083985,1
34.531265,-37.93002,1
15.419562,-39.64316,7
45.435673,-9.903474,1
31.345701,-30.771233,5
47.707726,34.921947,0
47.940006,-25.215862,1
-49.425823,-16.351625,2
3.8745189,36.208336,0
-46.074574,-21.938759,2
-35.76591,3.0448594,3
10.733237,-24.557281,7
9.513584,14.882558,0
-44.161438,38.488567,1
4.594788,-24.034737,7
53.26545,22.046549,0
20.044577,-13.470293,0
57.979286,-2.8534358,1
-8.916323,-3.217287,3
-26.722933,-40.02307,2
-1.5648795,44.870777,4
-11.825011,20.51118,3
55.032658,25.839746,0
-14.430659,6.742185,5
24.242025,28.794268,0
29.596945,40.85826,4
-13.576026,17.807552,5
57.795177,-1.9865265,1
-54.47111,27.28512,6
42.74955,-28.053102,1
24.562202,21.751097,0
23.465721,-25.371742,6
-16.54664,15.575988,3
56.22312,-17.763876,1
33.58922,33.94459,0
-12.436901,63.93028,4
42.38697,-30.17401,1
-29.578934,-0.5725726,3
-36.913124,2.4966373,3
-34.931583,47.55009,4
-42.899746,10.644446,2
35.819912,-10.3172245,6
37.595474,-38.10421,1
-41.807438,10.190789,2
-48.36295,14.389925,2
-33.03236,-19.51669,2
-15.536081,48.84604,4
11.631122,16.548162,0
-3.4151118,-14.871038,7
7.3783526,-41.24301,7
55.097996,20.46185,0
22.300583,41.57863,4
-32.89051,-26.7095,2
-10.751712,44.381138,4
24.458021,-5.518325,6
-64.59573,8.694671,2
-3.4086304,17.631205,3
-25.3934,-44.246647,2
3.1588306,2.443989,3
-16.763012,34.672314,3
-0.62813926,-50.52509,7
25.031776,20.78808,0
30.46739,-3.6561582,6
31.431793,33.8985,0
19.122375,-13.954139,0
50.406998,-13.542966,1
-41.02609,19.551893,3
-65.36429,7.9794846,2
-24.698044,4.1115775,3
26.30776,37.812275,0
-25.017473,6.799719,3
-58.737236,9.7367935,2
-48.90886,34.809486,6
-33.428806,-33.64315,2
-61.59978,1.1956654,2
-11.10728,55.27486,4
15.58243,-16.195082,0
-33.519962,27.990181,3
0.02936517,2.6947002,3
-16.613094,-27.1071,2
-52.574608,-32.140053,2
5.761341,30.850046,0
-44.447063,-6.1647305,2
29.517204,-18.968136,6
-35.194508,-26.328434,2
-6.0993824,17.520655,3
-27.443727,4.4727955,3
-20.693703,18.63883,3
29.628643,-18.953938,6
0.7031438,-0.79291093,3
-12.727064,1.2774817,3
-9.670042,-39.165386,7
-43.442635,-12.016338,2
-13.939105,-48.7908,7
-39.87675,-8.299574,2
-45.360764,-33.00678,2
-8.81915,27.91006,5
42.38602,16.173923,6
-11.779023,12.822824,5
7.9120746,-11.999924,0
8.277673,23.446165,0
0.46101108,-33.581898,7
15.347536,9.44716,0
-48.356182,6.825203,2
-24.580688,6.78205,3
-8.715695,56.515118,4
-14.956673,-57.07412,7
-8.420398,12.364581,5
-54.992825,13.887586,2
-26.099588,24.174114,3
40.53145,20.38335,6
1.4577433,-3.422279,3
-53.42591,27.701303,6
-5.7857947,-54.128452,7
-0.7662481,-61.89611,7
-14.218733,31.331272,3
-62.691475,8.914747,2
-4.421986,29.25019,3
-30.571447,16.234882,3
-29.459963,15.545553,3
40.731396,-36.01731,1
-25.262796,9.98327,3
-11.116841,40.673668,4
1.4959613,10.762439,3
-38.385967,44.39774,4
12.083036,19.29074,0
-66.1924,3.8702693,2
-15.97831,49.33687,4
-36.14547,14.109487,3
-2.8432763,-18.55983,7
-34.88981,-33.881454,2
9.610479,-29.196888,7
14.600153,29.68651,0
24.595943,36.290337,0
24.04821,-19.113636,6
-50.076294,-11.984148,2
-29.826029,32.219208,5
7.500185,-57.77575,7
36.838528,9.496413,6
47.647087,-24.180624,1
58.796303,-23.12715,1
13.513691,1.4784437,0
3.522663,-59.768887,7
-37.291813,6.078615,3
4.0994782,-10.776037,0
4.117819,18.778683,6
-16.34684,15.539254,3
-42.8342,-22.159306,2
-27.003403,-20.25002,2
10.048907,10.474518,0
8.789208,-55.710827,7
28.7506,19.47683,0
-12.005855,-6.8134074,3
-22.396223,35.778267,3
5.2151575,26.971348,0
28.017458,-4.039861,6
-20.560543,-22.509237,2
-3.0899591,13.158314,3
-37.452385,3.2310576,3
-0.7925206,6.6673527,3
24.060226,36.605568,0
-21.812458,-3.9112904,3
30.376808,-18.406792,6
29.930466,34.208782,0
14.679129,-3.1189234,0
44.795357,-17.752165,6
-35.200043,-26.236734,2
45.299755,-11.115186,1
55.644444,-11.891592,1
-44.281967,-11.343507,2
50.12569,11.085284,7
-0.43293858,-54.7282,7
20.798716,-12.99513,0
-5.8003283,-54.221497,7
7.9526052,-39.443077,7
-50.60555,-22.1083,2
-46.72954,34.9833,2
17.386185,19.68724,0
-13.837134,-48.786545,7
-39.824146,43.165417,4
36.869553,-38.138737,1
21.278803,35.010902,0
61.680313,-3.321679,1
-16.421673,36.23805,3
33.631527,-38.918774,1
24.179092,-31.243742,6
53.20613,3.8849924,1
-17.623539,11.940571,3
36.358517,33.976215,0
12.493041,-46.88536,7
24.517212,-4.5371094,6
49.789837,-12.472093,1
-28.480415,4.9050565,3
21.962915,-20.394445,5
7.466413,-23.48241,7
29.798206,34.48705,0
-15.64294,-45.46854,7
-19.80298,51.01886,4
-67.440765,3.6995997,2
19.83824,-43.948364,7
-7.5798073,28.972256,3
60.503742,-1.8141636,1
-3.680004,56.742107,4
-47.515076,3.543115,2
34.676197,23.61043,0
-31.823332,16.956553,3
-8.179974,53.208138,4
15.886359,-15.977858,0
29.40526,-1.5352547,6
10.031807,2.71781,0
50.010265,-36.450108,1
19.439838,26.402569,0
-27.777279,-9.368372,5
-14.918708,15.241624,3
-7.7609534,45.622658,4
0.06319623,-22.936604,7
8.450309,20.810669,0
8.96052,52.680153,0
-36.939663,-44.365234,2
-30.157867,-1.904073,3
15.202124,24.865362,0
-52.083626,12.717196,2
-44.22359,20.658594,3
-48.910954,13.506977,2
-39.4608,51.091774,4
21.834867,13.864434,0
0.010985203,-47.13787,7
2.2463443,-51.44692,7
15.210501,-28.14965,7
-0.37659538,2.6695373,3
-46.83291,1.7897396,2
-27.037392,-1.9722161,5
48.700066,13.029839,7
24.36036,-30.470263,6
-30.350988,16.39048,3
20.613941,-22.056269,5
-20.22685,-57.710037,7
59.006405,-12.321893,1
45.782337,4.209237,6
-10.493042,28.459705,3
58.04684,-23.035948,1
-11.901054,12.511489,5
12.742744,-58.593018,7
-2.999764,-0.94620246,3
-19.967066,-56.00663,7
21.219349,-50.919926,7
35.480713,25.770603,0
-47.244892,3.4597344,2
34.168667,34.149326,0
26.473356,41.27392,0
48.85357,11.723252,7
16.447338,-15.606965,0
-9.483259,-28.457626,7
-18.802544,-20.62227,2
-22.715225,-18.664532,2
-32.785328,-32.088165,2
-0.19033088,-34.618748,7
40.13275,4.787609,1
28.177519,-27.793898,6
23.959805,-22.524855,5
9.846651,18.151981,0
-11.440513,-32.645725,7
-35.037647,47.683506,4
-42.367756,-25.218084,2
55.005806,25.730118,0
-21.19071,-19.861242,2
-48.68338,-6.7187514,2
19.065191,-3.853263,0
30.801538,38.080563,0
-33.620667,-0.5658381,3
-29.377539,49.839798,4
-0.70428264,-50.49342,7
6.699393,-10.474677,3
-26.179127,22.365913,3
19.901197,-13.553011,0
11.427842,44.05893,0
6.2884574,-22.65559,7
-42.714104,-28.985607,2
-34.23556,-26.460289,2
-19.333874,50.710434,4
-3.7343946,4.3948154,3
25.129307,38.471992,0
33.411903,3.5483813,6
1.4374133,-61.405746,7
-45.303246,21.774021,3
-3.9962819,-10.975987,0
49.72194,-37.91061,1
-6.057462,31.643934,3
-45.516556,-13.357755,2
36.027733,34.151566,0
60.497517,-1.7990161,1
16.207596,24.740036,0
-22.671623,-24.934248,2
52.8785,22.063385,0
31.397968,-23.362356,6
32.907543,24.589127,0
-19.027987,7.5492043,3
13.50237,36.070827,0
-26.156624,-44.23722,2
8.036886,-39.079494,7
61.590782,-3.099046,1
-3.216566,5.8270426,3
40.70858,3.4687824,6
7.3812256,-38.345554,7
34.746967,-14.800492,6
24.117968,28.718857,0
31.223433,-29.499023,5
-6.6992545,59.56029,4
58.895184,-12.245223,1
13.602657,-46.479683,7
6.0477695,-16.614248,0
44.02075,-8.423392,1
36.59323,26.106167,0
10.875482,30.359756,0
-8.447355,-37.15208,7
31.369791,-28.898016,5
-46.18182,-33.92381,2
-20.03415,-5.431715,3
23.603157,1.0888515,6
7.253064,-22.748308,7
16.790354,-55.376472,7
49.12672,-37.76198,1
-8.900623,33.39198,3
13.140877,15.504879,0
22.273237,-27.13515,6
-22.272657,28.762203,3
-27.9669,4.1974854,3
16.413143,-31.407938,7
38.529053,-3.7556949,6
11.756948,20.294268,0
-15.269125,-45.83568,7
-45.30427,21.749634,3
-9.821215,52.169167,4
22.209686,11.036779,0
12.648905,-58.65342,7
-6.126508,-16.012877,7
-22.246052,17.8182,3
6.024234,-23.561842,7
50.357704,-36.0642,1
-2.8350935,41.920094,4
15.7759495,-39.550156,7
-23.291697,-14.805463,2
-63.1732,4.8434606,2
12.02071,20.55468,0
9.854161,11.485296,0
5.909803,-23.505182,7
21.545507,15.243208,0
-31.41522,6.9562087,3
-43.829185,-7.0819473,2
16.066824,34.02543,0
-38.88066,28.824278,3
16.542109,-52.283424,7
-45.913383,-27.970137,2
-3.4246507,-20.985674,7
-37.23396,3.245579,3
-14.446977,6.670291,5
-6.712347,59.533966,4
-43.07668,-5.9472494,2
13.67878,52.268238,0
31.05166,-3.1708615,6
4.0998755,35.284595,0
9.895848,51.12498,0
-3.8987277,-58.384045,7
19.178696,54.35301,0
0.058895327,22.092045,3
-2.2054913,42.610344,4
14.603545,16.109632,0
-5.336363,-38.50625,7
-15.106178,-47.25396,7
15.342434,37.993454,0
-17.713602,4.0317655,3
12.841928,28.199383,0
-35.977036,-29.07037,2
-56.22964,8.775743,2
-8.694383,52.82252,4
0.99771583,4.0930696,3
-53.254494,26.729794,6
-44.33075,-7.598306,2
-27.442095,14.716651,3
-21.212269,16.877857,3
13.7143345,-4.284741,0
