tsne-1,tsne-2,cluster
10.100479,23.500042,4
6.40145,-5.9050374,0
-17.61087,1.1402627,1
-17.285702,-0.6746653,1
57.897797,-17.027885,1
53.97922,18.789621,4
-42.496006,10.985121,0
24.642921,2.064445,4
40.917843,20.970957,6
52.1637,18.766722,4
25.256563,-48.489773,4
-30.327423,12.038764,0
7.5461206,-43.12181,4
13.1818905,-2.1290178,0
-7.702201,-23.498095,4
-44.22319,-40.28622,3
33.253345,9.185033,4
20.952396,-36.857506,4
-13.313668,17.789902,1
-13.671259,60.76409,4
26.749372,44.3471,4
10.426847,-0.023775343,0
26.177435,-36.989132,4
23.113409,-26.043226,4
54.345425,3.6752634,1
-2.1369147,-25.136518,4
19.064856,28.864172,4
7.071303,57.450195,4
-30.420208,24.469423,3
-7.557563,-23.637413,4
4.7997437,-61.44792,4
12.237956,-1.821789,0
-13.40911,-5.9890423,1
-3.0810726,42.31515,4
4.701693,-31.113693,4
23.31657,-36.19707,4
40.709496,21.49883,6
-7.709634,17.82532,1
-33.500072,-22.958353,4
34.260674,39.772243,4
19.779476,-13.0544405,1
-52.127144,-24.442099,4
-48.97779,-34.95758,3
5.4049115,32.3759,5
44.043907,-25.743086,3
-59.400646,-7.2052536,0
-14.143918,45.41314,4
-52.691696,12.865475,3
1.131393,35.995007,5
34.297604,35.007126,4
-8.577991,-18.19094,4
-39.331676,-24.733047,4
32.99479,40.749794,4
19.620453,-39.5366,4
17.701475,-53.110603,4
-1.6475533,44.65975,4
-34.235367,-13.794822,4
-24.52199,-8.554362,1
53.796364,4.4816833,4
24.218185,-2.2187948,5
50.962933,20.035732,4
17.530558,26.341084,4
-45.22735,-21.109276,4
-20.49835,17.207554,1
29.700966,-0.35522914,4
-11.241396,-43.815475,4
6.125501,-35.425514,4
43.873615,-25.928888,3
-33.05398,-21.145447,4
29.503504,-15.700037,3
60.26815,0.17815787,1
-11.493892,35.420856,1
-51.36416,-25.774149,4
31.626099,10.117497,4
31.245594,-8.4529505,4
39.133873,3.7690914,4
-7.7727327,-23.444387,4
13.299082,-29.87486,4
12.848424,-10.055338,0
10.971871,18.237316,4
25.315691,40.58733,4
2.0028906,-33.20719,4
-25.580538,4.2453475,1
-5.1714797,60.47775,4
-26.801361,-18.02484,0
25.648666,32.215725,4
11.306812,-8.313614,0
-3.779288,6.776044,1
26.147923,16.937838,4
19.88029,-13.031165,1
-9.330709,9.956113,1
55.990936,15.426848,4
44.469376,-18.293335,4
-62.71231,8.26495,3
-30.404697,24.512299,3
50.20546,19.14805,4
29.294983,-14.962608,3
-21.335243,-24.068052,4
40.91347,35.829662,4
-22.861038,40.01439,1
-38.17137,41.752316,1
-13.912093,-6.864376,1
6.689593,21.10048,4
8.751652,39.687206,4
-11.427186,24.884258,1
22.973675,-25.936962,4
-15.350503,7.645225,1
-1.8311383,7.704733,1
-62.011433,12.375605,3
15.318962,8.959298,4
-32.123386,14.776833,1
0.53420055,47.654144,4
-54.467083,6.0141606,3
22.319876,-24.96806,4
42.216663,12.450473,2
-37.297867,43.03876,1
-22.104982,-19.806347,3
11.7418165,50.034542,4
45.548695,-6.626473,1
16.243555,32.596664,4
32.01376,35.22864,4
-10.290462,53.91666,4
-53.045975,-15.763345,4
23.403124,-36.778023,4
53.0561,27.550432,4
6.758055,35.696976,4
7.0956454,48.868195,4
-5.3926497,3.1738427,1
14.252842,52.497383,4
-52.487843,-3.526162,4
-47.322998,-23.272173,4
-36.353374,48.31031,1
-5.164636,-48.811054,4
55.85802,-0.16466592,4
35.113163,-37.572678,1
16.640274,-39.569668,4
47.15491,-10.093239,1
32.325245,-28.206472,4
30.1723,56.69405,2
53.740543,-26.556929,1
-54.607025,-19.742334,4
5.970239,38.33238,4
-48.205738,-18.847054,4
-41.633408,25.443474,0
-0.24582732,-31.073185,4
11.186354,18.251333,4
-41.298954,38.329613,1
-5.502697,-32.346107,4
54.03426,22.26624,4
19.045773,-12.854272,1
52.904713,-2.5134025,3
-17.369093,-9.667221,1
-25.10756,-46.62769,4
-1.1873099,49.491673,4
-8.384928,15.567463,1
54.885002,28.14309,4
-16.058807,5.793364,1
22.25423,23.918558,4
21.866383,33.950336,4
-11.503381,13.964954,1
52.96325,-1.9091622,3
-50.505405,25.42318,2
43.413033,-26.410124,3
25.986797,17.96599,4
21.170563,-23.698187,4
-11.312151,20.177067,0
56.94291,-17.732912,1
33.181408,36.593216,4
-14.207138,45.444736,4
44.580505,-28.70089,1
-32.427208,3.1039839,0
-40.838036,26.814827,0
-36.183178,48.583893,1
-40.986702,9.209219,0
36.6675,-8.547492,4
37.118645,-38.85154,1
-39.495586,7.7794285,0
-45.66953,13.190589,0
-30.085556,-26.389341,4
-16.23451,58.12556,4
7.907681,20.83968,4
-1.5901649,-16.596376,4
8.312322,-43.26848,4
56.893795,23.205147,4
27.594738,34.82175,4
-34.073303,-22.344877,4
-7.845969,42.54134,4
24.919323,-2.8281004,5
-59.573013,11.615565,3
-2.296534,8.316487,1
-29.770185,-47.970825,4
-9.36675,-8.9630375,1
-9.380815,32.751953,1
0.402294,-52.27939,4
25.30317,15.949518,4
31.289583,-1.4747298,4
31.384983,37.848404,4
18.178968,-13.576904,1
52.132107,-12.318162,0
-36.031876,29.50595,1
-60.289272,11.33068,3
-26.971157,9.429182,0
24.39619,43.156013,4
-25.159552,11.213748,0
-55.998646,18.529722,3
-44.868996,33.110985,4
-34.327404,-30.174843,4
-56.20826,4.855715,3
-9.98695,54.173515,4
14.737816,-16.17872,0
-27.139591,36.17271,1
-11.590966,-10.948412,1
-15.089164,-19.413103,3
-48.552963,-37.745518,3
10.903409,30.848766,4
-51.73923,-8.757544,0
29.119114,-15.998036,3
-35.286842,-24.016373,4
-1.9567769,7.644824,1
-28.956886,10.97477,0
-19.167751,18.448992,1
29.002762,-16.045553,3
-9.596208,-3.0635915,5
-22.820358,2.5456824,1
-11.496356,-44.201954,4
-55.120796,-11.687422,0
-9.807834,-59.172142,3
-59.99215,-8.517657,0
-43.676285,-32.90596,3
-5.713256,23.129065,1
42.229836,20.826824,6
-12.607768,9.810654,1
7.4699745,-10.556032,0
9.969084,23.404766,4
4.101595,-31.477722,4
11.411428,11.738755,4
-46.07628,5.3542824,4
-24.911428,11.238475,0
-8.666079,55.662457,4
-14.744111,-53.338814,3
-8.489291,7.8986416,1
-51.34601,15.062181,1
-21.393139,24.374239,0
42.73333,24.709768,6
-7.7859354,-5.2197843,5
-50.916836,26.827234,2
-2.3548677,-57.118652,4
4.1417274,-63.94117,4
-7.946258,28.969831,1
-56.74969,11.966271,3
-5.459211,26.278223,1
-34.92856,18.52561,1
-35.648693,17.583223,1
41.743862,-35.017506,1
-24.415968,14.708825,0
-5.901475,39.94506,4
-1.281979,0.4488972,1
-38.339184,43.904736,1
5.417055,19.983957,4
-60.314117,7.234275,3
-16.1581,58.57253,4
-30.40686,23.008833,3
-0.21234138,-20.153547,4
-33.384277,-30.158747,4
14.853511,-34.137276,4
18.66917,28.703993,4
25.39568,40.642902,4
24.275305,-16.51698,4
-57.645187,-13.595251,0
-22.757154,40.094265,1
9.811796,-56.64383,4
39.675858,12.314922,2
54.53646,-26.232597,1
63.044502,-17.961,3
9.795342,3.7641304,0
7.5027685,-63.283897,4
-40.80681,23.725653,0
9.965654,-8.077219,0
20.52028,7.5276165,1
-11.21732,19.979841,0
